time,no,review,score,read_volume,label
2022/6/29,2,"['贵司', '2021', '年度', '红利', '什么', '时候', '分派', '？']",1.0,1271,1
2022/6/29,3,"['除息日', '是', '什么', '时间', '，', '股权', '登记日', '是', '哪天']",0.0,1181,1
2022/6/27,6,"['买', '了', '就', '等', '着', '享受', '7%', '，', '8%', '......', '的', '分红', '吧', '！']",0.0,926,1
2022/6/27,7,"['皖通', '高速', '分红', '挺好', '的', '，', '为什么', '不涨', '昵', '，', '人气', '还', '这么', '差', '，', '是']",4.5,946,1
2022/6/26,9,"['皖通', '高速', '本周', '沪', '股通', '持股', '市值', '减少', '1157.96', '万元', '，', '居', '铁路']",4.0,615,1
2022/6/24,10,"['是', '福', '还是', '祸', '，', '我', '7.32', '成交', '了']",-1.0,1219,1
2022/6/23,12,"['请问', '一下', '2021', '年收入', '突然', '增加', '33%', '的', '原因', '是', '啥', '？']",1.0,721,1
2022/6/22,13,"['做', '投资', '20', '年', '了', ',', ' ', '第一次', '见到', '""', '天', '地板', '地天板', '""', '长', '什么样', '!', ' ', '醉']",0.0,643,1
2022/6/22,15,"['快', '做', '不住', '了', '，', '哈哈哈']",-1.0,620,1
2022/6/22,16,"['我', '7.68', '卖完', '了', '，', '微', '利润', '，', '这个', '股太', '磨叽', '了', '，', '回调', '到', '7.32', '再']",-1.5,1278,1
2022/6/21,17,"['股市行情', '还', '不错', '就要', '抓住机会', '做', '差价']",1.5,564,1
2022/6/19,18,"['皖通', '高速', '本周', '沪', '股通', '持股', '市值', '减少', '685.54', '万元', '，', '居', '铁路', '公']",4.0,658,1
2022/6/15,24,['我'],0.0,607,1
2022/6/14,25,"['昨天', '7.41', '进来', '，', '今天', '7.52', '走', '了', '，', '赚', '一个点', '多']",0.0,607,1
2022/6/13,28,"['来待', '两天', '，', '看看', '有', '没', '机会']",-1.0,614,1
2022/6/8,33,"['先', '不', '走']",0.0,555,1
