time,no,review,score,read_volume,label
2022/6/30,1,"['旅游', '高速', '不要', '上', '的', '吗', '？']",5.0,872,1
2022/6/28,4,"['尊敬', '的', '董秘', '，', '你好', '！', '请问', '截止', '2022', '年', '6', '月', '26', '日', '，', '皖通', '高速']",8.0,1138,1
2022/6/28,5,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '此股', '真正', '的', '流通股', '也', '就', '两亿', '多点', '，']",10.0,1052,1
2022/6/26,8,"['皖通', '高速', '本周', '融资', '净', '买入', '482.09', '万元', '，', '居', '铁路', '公路', '板块', '第']",5.0,632,1
2022/6/23,11,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '汽车', '卖', '的', '好', '，', '是不是', '高速', '收费', '就', '会']",15.0,688,1
2022/6/22,14,"['不要', '扭扭捏捏', '的', '小家子气', '～']",5.0,529,1
2022/6/18,19,"['皖通', '高速', '是', '最好的', '标的', '，', '今天', '先来', '了', '10', '万股', '！', '7.56', '元', '！']",6.0,1504,1
2022/6/18,20,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '没有', '故事', '，', '讲不出', '故事', '。']",5.0,1088,1
2022/6/17,21,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '哪位', '大佬', '帮下', '忙', '，', '怎样', '取消', 'k', '线叠']",6.0,545,1
2022/6/16,22,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '应该', '要出', '分红', '公告', '了', '，', '另外', '高速', '收']",10.0,1137,1
2022/6/15,23,"['还有', '哪', '类股票', '具有', '高速', '股', '这么', '确定', '的', '现金', '奶牛', '？']",5.0,874,1
2022/6/14,26,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '何时', '才', '轮', '到', '皖通', '大涨', '一回', '哟', '[', '好困']",6.0,1383,1
2022/6/14,27,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '都', '没人', '发言', '，', '这个', '股没人', '玩', '了', '吗']",5.0,591,1
2022/6/11,29,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '神奇', '两点', '半']",5.0,998,1
2022/6/10,30,"['高速公路', '股', '没有', '什么', '故事', '可', '讲', '死气沉沉', '。']",5.0,988,1
2022/6/10,31,"['皖通', '高速', '，', '中铁', '装配', '，', '连板', '涨停']",6.0,930,1
2022/6/10,32,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '现金', '充沛', '，', '稳扎稳打', '，', '干', '就是', '了', '，']",19.0,635,1
2022/6/7,34,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '就', '这', '车流量', '不用', '怕']",5.0,762,1
2022/6/6,37,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '好股']",6.0,1022,1
2022/6/6,38,"['涨停', '就行了', '。', '不要', '扭扭捏捏', '的', '小家子气', '～']",6.0,1019,1
2022/6/1,40,"['刺激', '汽车', '，', '不得', '上', '高速', '来', '跑跑', '？', '经济', '要是', '转好', '了', '，', '高速', '能']",6.0,953,1
2022/6/1,41,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '季净', '4', '亿', '，', '皖通', '高速', '总值', '可翻', '5', '倍', '[']",10.0,734,1
2022/6/1,42,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '7.64', '全部', '出', '了']",5.0,934,1
2022/6/1,43,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '冲冲', '冲', '！', '！', '！']",5.0,696,1
2022/5/29,49,"['皖通', '高速', '的', '铁铁们', '，', '皖通', '高速', '的', '大腿', '没有', '中铁', '装配', '的', '大腿']",10.0,768,1
2022/5/27,50,"['皖通', '高速', '今天', '没阳', '包阴', '，', '突破', '7.37', '就', '漂亮']",18.0,985,1
2022/5/26,52,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '收藏', '？']",5.0,813,1
2022/7/8,54,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '快买', '，', '下午', '涨停']",7.0,309,1
2022/7/8,55,"['皖通', '高速', '07', '月', '07', '日获', '沪', '股通', '增持', '9.08', '万股']",6.0,329,1
2022/7/7,58,"['皖通', '高速', '：', '连续', '3', '日', '融资', '净', '买入', '累计', '1582.3', '万元', '（', '07', '-', '06', '）']",5.0,314,1
2022/7/6,60,"['皖通', '高速', '：', '融资', '净', '买入', '290.15', '万元', '，', '融资', '余额', '8470.11', '万']",5.0,305,1
2022/7/5,62,"['皖通', '高速', '：', '融资', '净', '买入', '311.76', '万元', '，', '融资', '余额', '8179.96', '万']",5.0,346,1
2022/6/30,65,"['皖通', '高速', '：', '聘任', '公司', '副总经理', '吴', '长明', '先生', '为', '公司', '董事会', '秘']",8.0,479,1
2022/6/30,66,"['600012', ':', '皖通', '高速', '关于', '变更', '公司', '董事会', '秘书', '、', '公司', '秘书', '及']",5.0,377,1
2022/6/30,67,"['600012', ':', '皖通', '高速', '独立', '董事', '关于', '拟', '提交', '公司', '九届', '二十', '一次']",6.0,313,1
