time,no,review,score,read_volume,label
2022/6/30,1,"['旅游', '高速', '不要', '上', '的', '吗', '？']",5.0,872,1
2022/6/29,2,"['贵司', '2021', '年度', '红利', '什么', '时候', '分派', '？']",1.0,1271,1
2022/6/29,3,"['除息日', '是', '什么', '时间', '，', '股权', '登记日', '是', '哪天']",0.0,1181,0
2022/6/28,4,"['尊敬', '的', '董秘', '，', '你好', '！', '请问', '截止', '2022', '年', '6', '月', '26', '日', '，', '皖通', '高速']",8.0,1138,1
2022/6/28,5,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '此股', '真正', '的', '流通股', '也', '就', '两亿', '多点', '，']",10.0,1052,1
2022/6/27,6,"['买', '了', '就', '等', '着', '享受', '7%', '，', '8%', '......', '的', '分红', '吧', '！']",0.0,926,0
2022/6/27,7,"['皖通', '高速', '分红', '挺好', '的', '，', '为什么', '不涨', '昵', '，', '人气', '还', '这么', '差', '，', '是']",4.5,946,1
2022/6/26,8,"['皖通', '高速', '本周', '融资', '净', '买入', '482.09', '万元', '，', '居', '铁路', '公路', '板块', '第']",5.0,632,1
2022/6/26,9,"['皖通', '高速', '本周', '沪', '股通', '持股', '市值', '减少', '1157.96', '万元', '，', '居', '铁路']",4.0,615,1
2022/6/24,10,"['是', '福', '还是', '祸', '，', '我', '7.32', '成交', '了']",-1.0,1219,-1
2022/6/23,11,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '汽车', '卖', '的', '好', '，', '是不是', '高速', '收费', '就', '会']",15.0,688,1
2022/6/23,12,"['请问', '一下', '2021', '年收入', '突然', '增加', '33%', '的', '原因', '是', '啥', '？']",1.0,721,1
2022/6/22,13,"['做', '投资', '20', '年', '了', ',', ' ', '第一次', '见到', '""', '天', '地板', '地天板', '""', '长', '什么样', '!', ' ', '醉']",0.0,643,0
2022/6/22,14,"['不要', '扭扭捏捏', '的', '小家子气', '～']",5.0,529,1
2022/6/22,15,"['快', '做', '不住', '了', '，', '哈哈哈']",-1.0,620,-1
2022/6/22,16,"['我', '7.68', '卖完', '了', '，', '微', '利润', '，', '这个', '股太', '磨叽', '了', '，', '回调', '到', '7.32', '再']",-1.5,1278,-1
2022/6/21,17,"['股市行情', '还', '不错', '就要', '抓住机会', '做', '差价']",1.5,564,1
2022/6/19,18,"['皖通', '高速', '本周', '沪', '股通', '持股', '市值', '减少', '685.54', '万元', '，', '居', '铁路', '公']",4.0,658,1
2022/6/18,19,"['皖通', '高速', '是', '最好的', '标的', '，', '今天', '先来', '了', '10', '万股', '！', '7.56', '元', '！']",6.0,1504,1
2022/6/18,20,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '没有', '故事', '，', '讲不出', '故事', '。']",5.0,1088,1
2022/6/17,21,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '哪位', '大佬', '帮下', '忙', '，', '怎样', '取消', 'k', '线叠']",6.0,545,1
2022/6/16,22,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '应该', '要出', '分红', '公告', '了', '，', '另外', '高速', '收']",10.0,1137,1
2022/6/15,23,"['还有', '哪', '类股票', '具有', '高速', '股', '这么', '确定', '的', '现金', '奶牛', '？']",5.0,874,1
2022/6/15,24,['我'],0.0,607,0
2022/6/14,25,"['昨天', '7.41', '进来', '，', '今天', '7.52', '走', '了', '，', '赚', '一个点', '多']",0.0,607,0
2022/6/14,26,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '何时', '才', '轮', '到', '皖通', '大涨', '一回', '哟', '[', '好困']",6.0,1383,1
2022/6/14,27,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '都', '没人', '发言', '，', '这个', '股没人', '玩', '了', '吗']",5.0,591,1
2022/6/13,28,"['来待', '两天', '，', '看看', '有', '没', '机会']",-1.0,614,-1
2022/6/11,29,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '神奇', '两点', '半']",5.0,998,1
2022/6/10,30,"['高速公路', '股', '没有', '什么', '故事', '可', '讲', '死气沉沉', '。']",5.0,988,1
2022/6/10,31,"['皖通', '高速', '，', '中铁', '装配', '，', '连板', '涨停']",6.0,930,1
2022/6/10,32,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '现金', '充沛', '，', '稳扎稳打', '，', '干', '就是', '了', '，']",19.0,635,1
2022/6/8,33,"['先', '不', '走']",0.0,555,0
2022/6/7,34,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '就', '这', '车流量', '不用', '怕']",5.0,762,1
2022/6/6,35,"['要是', '能', '卖', '到', '7.71', '就', '好', '了', '，', '因为', '我', '是', '微利', '卖', '的', '，', '仅仅', '挣', '1000']",-2.0,1290,-1
2022/6/6,36,"['7', '+', '1', '股']",0.0,634,0
2022/6/6,37,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '好股']",6.0,1022,1
2022/6/6,38,"['涨停', '就行了', '。', '不要', '扭扭捏捏', '的', '小家子气', '～']",6.0,1019,1
2022/6/6,39,"['涨停', '？']",1.0,607,1
2022/6/1,40,"['刺激', '汽车', '，', '不得', '上', '高速', '来', '跑跑', '？', '经济', '要是', '转好', '了', '，', '高速', '能']",6.0,953,1
2022/6/1,41,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '季净', '4', '亿', '，', '皖通', '高速', '总值', '可翻', '5', '倍', '[']",10.0,734,1
2022/6/1,42,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '7.64', '全部', '出', '了']",5.0,934,1
2022/6/1,43,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '冲冲', '冲', '！', '！', '！']",5.0,696,1
2022/5/31,44,['垃圾'],-1.0,666,-1
2022/5/31,45,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '警告', '过', '了', '，', '砸盘', '首选', '股']",2.0,724,1
2022/5/31,46,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '别', '回头', '让', '卖', '了', '的', '人', '买', '不', '回来', '[', '大笑', ']']",0.0,730,0
2022/5/31,47,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '立即', '拋弃', '，', '大盘', '过', '不了', '阻力', '，', '此股']",2.0,734,1
2022/5/30,48,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '以为', 'A股', '是', '讲', '业绩', '，', '哪', '你', '就', '大错', '特']",4.0,727,1
2022/5/29,49,"['皖通', '高速', '的', '铁铁们', '，', '皖通', '高速', '的', '大腿', '没有', '中铁', '装配', '的', '大腿']",10.0,768,1
2022/5/27,50,"['皖通', '高速', '今天', '没阳', '包阴', '，', '突破', '7.37', '就', '漂亮']",18.0,985,1
2022/5/26,51,"['7.49', '全部', '卖', '了', '！']",0.0,977,0
2022/5/26,52,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '收藏', '？']",5.0,813,1
2022/7/9,53,"['皖通', '高速', '：', '融资', '净', '偿还', '419.8', '万元', '，', '融资', '余额', '8786.7', '万元']",4.0,426,1
2022/7/8,54,"['$', '皖通', '高速', '(', 'SH600012', ')', '$', '快买', '，', '下午', '涨停']",7.0,309,1
2022/7/8,55,"['皖通', '高速', '07', '月', '07', '日获', '沪', '股通', '增持', '9.08', '万股']",6.0,329,1
2022/7/8,56,"['皖通', '高速', '：', '融资', '净', '偿还', '243.99', '万元', '，', '融资', '余额', '9206.5', '万元']",4.0,357,1
2022/7/7,57,"['皖通', '高速', '07', '月', '06', '日', '被', '沪', '股通', '减持', '106.7', '万股']",4.0,324,1
