id,time,review,read_volume
1,2022/6/30,旅游高速不要上的吗？,872
2,2022/6/29,贵司2021年度红利什么时候分派？,1271
3,2022/6/29,除息日是什么时间，股权登记日是哪天,1181
4,2022/6/28,尊敬的董秘，你好！请问截止2022年6月26日，皖通高速,1138
5,2022/6/28,$皖通高速(SH600012)$此股真正的流通股也就两亿多点，,1052
6,2022/6/27,买了就等着享受7%，8%......的分红吧！,926
7,2022/6/27,皖通高速分红挺好的，为什么不涨昵，人气还这么差，是,946
8,2022/6/26,皖通高速本周融资净买入482.09万元，居铁路公路板块第,632
9,2022/6/26,皖通高速本周沪股通持股市值减少1157.96万元，居铁路,615
10,2022/6/24,是福还是祸，我7.32成交了,1219
11,2022/6/23,$皖通高速(SH600012)$汽车卖的好，是不是高速收费就会,688
12,2022/6/23,请问一下2021年收入突然增加33%的原因是啥？,721
13,2022/6/22,"做投资20年了, 第一次见到""天地板地天板""长什么样! 醉",643
14,2022/6/22,不要扭扭捏捏的小家子气～,529
15,2022/6/22,快做不住了，哈哈哈,620
16,2022/6/22,我7.68卖完了，微利润，这个股太磨叽了，回调到7.32再,1278
17,2022/6/21,股市行情还不错就要抓住机会做差价,564
18,2022/6/19,皖通高速本周沪股通持股市值减少685.54万元，居铁路公,658
19,2022/6/18,皖通高速是最好的标的，今天先来了10万股！7.56元！,1504
20,2022/6/18,$皖通高速(SH600012)$没有故事，讲不出故事。,1088
21,2022/6/17,$皖通高速(SH600012)$哪位大佬帮下忙，怎样取消k线叠,545
22,2022/6/16,$皖通高速(SH600012)$应该要出分红公告了，另外高速收,1137
23,2022/6/15,还有哪类股票具有高速股这么确定的现金奶牛？,874
24,2022/6/15,我,607
25,2022/6/14,昨天7.41进来，今天7.52走了，赚一个点多,607
26,2022/6/14,$皖通高速(SH600012)$何时才轮到皖通大涨一回哟[好困,1383
27,2022/6/14,$皖通高速(SH600012)$都没人发言，这个股没人玩了吗,591
28,2022/6/13,来待两天，看看有没机会,614
29,2022/6/11,$皖通高速(SH600012)$神奇两点半,998
30,2022/6/10,高速公路股没有什么故事可讲死气沉沉。,988
31,2022/6/10,皖通高速，中铁装配，连板涨停,930
32,2022/6/10,$皖通高速(SH600012)$现金充沛，稳扎稳打，干就是了，,635
33,2022/6/8,先不走,555
34,2022/6/7,$皖通高速(SH600012)$就这车流量不用怕,762
35,2022/6/6,要是能卖到7.71就好了，因为我是微利卖的，仅仅挣1000,1290
36,2022/6/6,7+1股,634
37,2022/6/6,$皖通高速(SH600012)$好股,1022
38,2022/6/6,涨停就行了。不要扭扭捏捏的小家子气～,1019
39,2022/6/6,涨停？,607
40,2022/6/1,刺激汽车，不得上高速来跑跑？经济要是转好了，高速能,953
41,2022/6/1,$皖通高速(SH600012)$季净4亿，皖通高速总值可翻5倍[,734
42,2022/6/1,$皖通高速(SH600012)$7.64全部出了,934
43,2022/6/1,$皖通高速(SH600012)$冲冲冲！！！,696
44,2022/5/31,垃圾,666
45,2022/5/31,$皖通高速(SH600012)$警告过了，砸盘首选股,724
46,2022/5/31,$皖通高速(SH600012)$别回头让卖了的人买不回来[大笑],730
47,2022/5/31,$皖通高速(SH600012)$立即拋弃，大盘过不了阻力，此股,734
48,2022/5/30,$皖通高速(SH600012)$以为A股是讲业绩，哪你就大错特,727
49,2022/5/29,皖通高速的铁铁们，皖通高速的大腿没有中铁装配的大腿,768
50,2022/5/27,皖通高速今天没阳包阴，突破7.37就漂亮,985
51,2022/5/26,7.49全部卖了！,977
52,2022/5/26,$皖通高速(SH600012)$收藏？,813
53,2022/7/9,皖通高速：融资净偿还419.8万元，融资余额8786.7万元,426
54,2022/7/8,$皖通高速(SH600012)$快买，下午涨停,309
55,2022/7/8,皖通高速07月07日获沪股通增持9.08万股,329
56,2022/7/8,皖通高速：融资净偿还243.99万元，融资余额9206.5万元,357
57,2022/7/7,皖通高速07月06日被沪股通减持106.7万股,324
58,2022/7/7,皖通高速：连续3日融资净买入累计1582.3万元（07-06）,314
59,2022/7/6,皖通高速07月05日被沪股通减持5.83万股,322
60,2022/7/6,皖通高速：融资净买入290.15万元，融资余额8470.11万,305
61,2022/7/5,皖通高速07月04日被沪股通减持35万股,339
62,2022/7/5,皖通高速：融资净买入311.76万元，融资余额8179.96万,346
63,2022/7/2,皖通高速：连续4日融资净偿还累计841.28万元（07-01）,463
64,2022/7/1,皖通高速：连续3日融资净偿还累计635.35万元（06-30）,408
65,2022/6/30,皖通高速：聘任公司副总经理吴长明先生为公司董事会秘,479
66,2022/6/30,600012:皖通高速关于变更公司董事会秘书、公司秘书及,377
67,2022/6/30,600012:皖通高速独立董事关于拟提交公司九届二十一次,313
68,2022/6/30,600012:皖通高速独立董事关于公司九届二十一次董事会,280
69,2022/6/30,600012:皖通高速第九届董事会第二十一次会议决议公告,359
70,2022/6/30,皖通高速06月29日被沪股通减持32.39万股,343
71,2022/6/30,皖通高速：融资净偿还257.47万元，融资余额8178.49万,337
72,2022/6/29,皖通高速06月28日被沪股通减持68.38万股,340
73,2022/6/29,皖通高速：融资净偿还273.51万元，融资余额8436.4万元,389
