time,all_num_皖通高速,all_dic_score,皖通高速舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,2,2.00,1.00,2,2.00,0,0.00
2021-01-03,4,4.00,1.00,4,4.00,0,0.00
2021-01-04,12,6.00,0.49,9,9.00,3,-3.00
2021-01-05,9,5.00,0.67,7,7.00,2,-2.00
2021-01-06,21,21.00,1.00,21,21.00,0,0.00
2021-01-07,16,14.00,0.85,15,15.00,1,-1.00
2021-01-08,9,5.00,0.61,7,7.00,2,-2.00
2021-01-09,3,3.00,1.00,3,3.00,0,0.00
2021-01-10,4,4.00,1.00,4,4.00,0,0.00
2021-01-11,12,4.00,0.35,8,8.00,4,-4.00
2021-01-12,7,5.00,0.72,6,6.00,1,-1.00
2021-01-13,10,10.00,1.00,10,10.00,0,0.00
2021-01-14,7,5.00,0.73,6,6.00,1,-1.00
2021-01-15,6,6.00,1.00,6,6.00,0,0.00
2021-01-16,2,2.00,1.00,2,2.00,0,0.00
2021-01-17,4,4.00,1.00,4,4.00,0,0.00
2021-01-18,11,11.00,1.00,11,11.00,0,0.00
2021-01-19,7,5.00,0.79,6,6.00,1,-1.00
2021-01-20,10,6.00,0.66,8,8.00,2,-2.00
2021-01-21,6,6.00,1.00,6,6.00,0,0.00
2021-01-22,22,22.00,1.00,22,22.00,0,0.00
2021-01-23,2,2.00,1.00,2,2.00,0,0.00
2021-01-24,5,5.00,1.00,5,5.00,0,0.00
2021-01-25,12,10.00,0.85,11,11.00,1,-1.00
2021-01-26,8,4.00,0.64,6,6.00,2,-2.00
2021-01-27,7,3.00,0.14,5,5.00,2,-2.00
2021-01-28,5,5.00,1.00,5,5.00,0,0.00
2021-01-29,8,8.00,1.00,8,8.00,0,0.00
2021-01-30,2,2.00,1.00,2,2.00,0,0.00
2021-01-31,4,4.00,1.00,4,4.00,0,0.00
2021-02-01,2,2.00,1.00,2,2.00,0,0.00
2021-02-02,8,6.00,0.79,7,7.00,1,-1.00
2021-02-03,9,9.00,1.00,9,9.00,0,0.00
2021-02-04,7,5.00,0.81,6,6.00,1,-1.00
2021-02-05,7,5.00,0.75,6,6.00,1,-1.00
2021-02-06,2,2.00,1.00,2,2.00,0,0.00
2021-02-07,3,3.00,1.00,3,3.00,0,0.00
2021-02-08,12,6.00,0.60,9,9.00,3,-3.00
2021-02-09,5,3.00,0.50,4,4.00,1,-1.00
2021-02-10,7,5.00,0.82,6,6.00,1,-1.00
2021-02-18,4,2.00,0.57,3,3.00,1,-1.00
2021-02-19,4,4.00,1.00,4,4.00,0,0.00
2021-02-20,2,2.00,1.00,2,2.00,0,0.00
2021-02-21,1,1.00,1.00,1,1.00,0,0.00
2021-02-22,4,4.00,1.00,4,4.00,0,0.00
2021-02-23,6,4.00,0.79,5,5.00,1,-1.00
2021-02-24,7,7.00,1.00,7,7.00,0,0.00
2021-02-25,4,4.00,1.00,4,4.00,0,0.00
2021-02-26,5,5.00,1.00,5,5.00,0,0.00
2021-02-27,2,2.00,1.00,2,2.00,0,0.00
2021-02-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-01,6,6.00,1.00,6,6.00,0,0.00
2021-03-02,6,2.00,0.41,4,4.00,2,-2.00
2021-03-03,4,2.00,0.53,3,3.00,1,-1.00
2021-03-04,3,3.00,1.00,3,3.00,0,0.00
2021-03-05,3,3.00,1.00,3,3.00,0,0.00
2021-03-06,2,2.00,1.00,2,2.00,0,0.00
2021-03-07,3,3.00,1.00,3,3.00,0,0.00
2021-03-08,1,1.00,1.00,1,1.00,0,0.00
2021-03-09,7,5.00,0.81,6,6.00,1,-1.00
2021-03-10,4,4.00,1.00,4,4.00,0,0.00
2021-03-11,5,5.00,1.00,5,5.00,0,0.00
2021-03-12,5,5.00,1.00,5,5.00,0,0.00
2021-03-13,3,3.00,1.00,3,3.00,0,0.00
2021-03-14,5,5.00,1.00,5,5.00,0,0.00
2021-03-15,7,7.00,1.00,7,7.00,0,0.00
2021-03-16,9,7.00,0.84,8,8.00,1,-1.00
2021-03-17,8,8.00,1.00,8,8.00,0,0.00
2021-03-18,5,3.00,0.74,4,4.00,1,-1.00
2021-03-19,5,5.00,1.00,5,5.00,0,0.00
2021-03-20,3,1.00,0.35,2,2.00,1,-1.00
2021-03-21,2,2.00,1.00,2,2.00,0,0.00
2021-03-22,1,1.00,1.00,1,1.00,0,0.00
2021-03-23,5,5.00,1.00,5,5.00,0,0.00
2021-03-24,3,1.00,0.54,2,2.00,1,-1.00
2021-03-25,6,4.00,0.68,5,5.00,1,-1.00
2021-03-26,1,1.00,1.00,1,1.00,0,0.00
2021-03-27,3,3.00,1.00,3,3.00,0,0.00
2021-03-28,26,26.00,1.00,26,26.00,0,0.00
2021-03-29,28,22.00,0.88,25,25.00,3,-3.00
2021-03-30,34,32.00,0.96,33,33.00,1,-1.00
2021-03-31,27,11.00,0.44,19,19.00,8,-8.00
2021-04-01,19,17.00,0.92,18,18.00,1,-1.00
2021-04-02,16,12.00,0.79,14,14.00,2,-2.00
2021-04-03,4,4.00,1.00,4,4.00,0,0.00
2021-04-04,1,1.00,1.00,1,1.00,0,0.00
2021-04-05,2,2.00,1.00,2,2.00,0,0.00
2021-04-06,6,4.00,0.63,5,5.00,1,-1.00
2021-04-07,4,2.00,0.61,3,3.00,1,-1.00
2021-04-08,7,5.00,0.74,6,6.00,1,-1.00
2021-04-09,8,8.00,1.00,8,8.00,0,0.00
2021-04-10,3,3.00,1.00,3,3.00,0,0.00
2021-04-11,4,4.00,1.00,4,4.00,0,0.00
2021-04-12,3,3.00,1.00,3,3.00,0,0.00
2021-04-13,8,6.00,0.73,7,7.00,1,-1.00
2021-04-14,11,7.00,0.74,9,9.00,2,-2.00
2021-04-15,9,9.00,1.00,9,9.00,0,0.00
2021-04-16,4,4.00,1.00,4,4.00,0,0.00
2021-04-17,2,2.00,1.00,2,2.00,0,0.00
