time,no,review,score,read_volume,label
2022/6/30,1,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '一瓶', '茅台', '没', '了']",0.0,334,-1
2022/6/30,2,"['今天', '不', '跑', '的', '明天', '又', '是', '跌', '七个', '点']",1.0,544,1
2022/6/30,3,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '走', '早', '了', '亏了', '卖', '没想到', '会涨', '这么', '多']",0.0,301,1
2022/6/30,4,"['散户', '应该', '甩', '下车', '不少', '[', '偷笑', ']']",0.0,347,1
2022/6/30,6,"['603486', ':', '关于', '开立', '理财', '专用', '结算', '账户', '的', '公告']",0.0,296,1
2022/6/30,7,"['603486', ':', '关于', '科沃', '斯', '机器人', '股份', '有限公司', '回购', '注销', '部分', '限']",-1.0,323,1
2022/6/30,8,"['603486', ':', '关于', '使用', '可', '转换', '公司债券', '部分', '闲置', '募集', '资金', '进行']",-2.0,261,1
2022/6/30,10,"['涨', '一点', '就', '晒图', '，', '就', '这点', '格局', '[', '囧', ']']",1.0,323,-1
2022/6/30,11,"['我', '走', '了', '，', '随便', '涨', '吧']",-4.0,281,-1
2022/6/30,12,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '继续', '上', '，', '搞上去', '。']",0.0,153,-1
2022/6/30,14,"['兄弟', '们', '我', '8%', '走', '了', '，', '你们', '赚大钱']",1.0,190,-1
2022/6/30,16,"['科沃', '斯', '06', '月', '23', '日获', '沪', '股通', '增持', '4.68', '万股']",1.0,482,1
2022/6/30,17,"['完', '了', '完', '了', '，', '还', '没', '上车', '，', '我', '的', '拖地', '机飞', '了']",0.0,190,-1
2022/6/30,18,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '给', '短线', '选手', '又', '一记', '重击']",0.0,415,-1
2022/6/30,19,"['603486', ':', '关于', '使用', '可', '转换', '公司债券', '部分', '闲置', '募集', '资金', '进行']",-2.0,745,1
2022/6/30,20,"['一到', '120', '就', '出货']",0.0,288,-1
2022/6/30,21,"['昨日', '的', '分歧', '迎来', '的', '是', '今天', '的', '机会']",0.0,197,1
2022/6/30,22,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这次', '介入', '时机', '还', '不错', '，', '看看', '124', '测试']",1.5,282,1
2022/6/30,24,"['最新消息', '科沃', '斯', '正在', '研究', '机器人', '和', '扫地', '机器人']",0.0,334,1
2022/6/30,25,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '估计', '中报', '业绩', '是', '不错', '的']",3.0,550,1
2022/6/30,26,"['难道', '科沃', '斯', '打算', '研发', '人形', '机器人', '[', '亏大', '了', ']']",0.0,301,1
2022/6/30,27,"['科沃', '斯', '6', '月', '30', '日', '盘中', '涨幅', '达', '5%']",1.0,198,1
2022/6/30,28,"['120', '追高进', '的', '，', '准备', '140', '走']",0.0,414,1
2022/6/30,29,"['既然', '没有', '强攻', '的', '意思', '，', '那', '敢不敢', '下杀', '一波']",0.0,285,-1
2022/6/30,30,"['蛟龙', '出海']",0.0,182,-1
2022/6/30,31,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这么', '好的', '图形', '还', '抛', '？']",1.0,273,1
2022/6/30,33,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这么', '好的', '图形', '还', '抛', '？']",1.0,182,1
2022/6/30,34,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '可以', '冲', '了']",0.0,190,-1
2022/6/30,35,"['科沃', '斯', '06', '月', '29', '日', '被', '沪', '股通', '减持', '13.66', '万股']",-1.0,291,1
2022/6/30,36,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '[', '为什么', ']', '每次', '大盘', '跌', '你', '就', '硬顶', '，', '大盘']",-1.0,317,1
2022/6/29,37,"['科沃', '斯跌', '7.2%', ' ', '中信证券', '精准', '定位', '其', '“', '大', '顶', '”', '目标价']",3.0,1575,1
2022/6/29,38,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '今天', '很抗', '揍', '前']",0.0,175,1
2022/6/29,39,"['举报', '吧']",-1.0,169,-1
2022/6/29,41,"['都', '已经', '洗', '的', '秃噜', '皮', '了', '，', '再', '洗', '麽', '我', '也', '要', '走', '了', '，', '自', '嗨', '去', '吧']",0.0,280,1
2022/6/29,42,"['涨', '一天', '跌', '3', '天']",0.0,577,-1
2022/6/29,43,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '150', '很快', '来', '了']",0.0,379,1
