time,no,review,score,read_volume,label
2022/6/30,5,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这', '股', '主力', '喜欢', '做', 't']",12.0,172,1
2022/6/30,9,"['前面', '二楼', '的', '兄弟', '好像', '知道', '我', '看到', '了', '美女', '，', '苗条', '淑女', '，', '君子']",17.0,682,1
2022/6/30,13,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这个', '股', '喜欢', '整数', '？']",5.0,185,1
2022/6/30,15,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '我', '亏本', '卖', '了', '你们', '可以', '涨', '了', '每次', '我', '卖', '一']",6.0,267,1
2022/6/30,23,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '我', '真的', '好', '无语', '，', '我', '亏本', '卖', '了', '，', '狂拉']",-5.0,405,-1
2022/6/30,32,"['科沃', '斯', '6', '月', '30', '日', '快速', '上涨']",6.0,190,1
2022/6/29,40,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '庄都', '说', '了', '，', '我', '喜欢', '反着', '来', '，', '家', '人们', '来']",5.0,182,1
2022/6/28,51,"['帅到', '六亲不认', '，', '渣', '到', '五族', '不分', '，', '可恶', '斯', '就是', '可恶', '斯', '，', '不一']",-23.0,153,-1
2022/6/28,59,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '跑', '了', '那么', '多', '，', '明天', '还', '能', '拉', '起来', '吗']",17.5,174,1
2022/6/28,63,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '实在太', '恶心', '了', '，', '科', '垃斯']",-5.0,157,-1
2022/6/28,70,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '家电', '逆子', '科沃', '斯']",-7.0,183,-1
2022/6/27,94,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '转战', '宜宾', '、', '旷达', '，', '跟', '的', '兄弟', '，', '晚点', '吧']",5.0,286,1
2022/6/27,104,"['主力', '这么', '费力', '砸', '是', '为了', '啥', '，', '就', '为了', '""', '人工智能', '""']",7.0,577,1
2022/6/27,111,"['科沃', '斯', '6', '月', '27', '日', '快速', '上涨']",6.0,224,1
2022/6/24,134,"['大家', '不要', '慌', '，', '下跌', '就是', '买入', '机会', '，', '和', '主力', '抢筹']",10.0,283,1
2022/6/24,136,"['抄底', '抄底', '，', '主力', '恐惧', '我', '贪婪', '哈哈']",7.0,286,1
2022/6/24,141,"['谁', '在', '卖', '，', '招灾', '了', '？', '还是', '预测', '将', '招灾', '？']",-10.0,202,-1
2022/6/24,146,"['这么', '好的', '行情', '浪费', '在', '这个', '垃圾', '身上', '了', '，', '唉']",-7.0,190,-1
2022/6/24,152,"['垃圾', '的', '不能', '再', '垃圾', '的', '股', '，', '劝', '你', '善良']",5.0,348,1
2022/6/24,153,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '拉高', '出货', '，', '主力', '这', '几天', '已']",8.0,239,1
2022/6/24,161,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这里', '的', '主力', '是', '真的', '磨人', '我忍', '！']",7.0,158,1
2022/6/24,169,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '拉高', '出货', '了']",8.0,217,1
2022/6/24,172,"['不要脸', '的', '东西', '，', '科沃', '斯', '，', '江苏', '股中', '的', '垃圾']",-9.0,173,-1
2022/6/24,173,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '别怕', '今天', '必须', '涨']",8.0,163,1
2022/6/23,189,"['必须', '清仓', '这种', '烂股', '，', '我', '实在', '找不出', '脏话', '骂', '你', '了']",-6.0,219,-1
2022/6/23,193,"['原来', '被', '炒', '的', '太', '高', '了', '，', '即使', '跌到', '现在', '，', '依然', '有', '30', '倍', '市盈率', '，']",5.0,172,1
2022/6/23,218,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '所属', '板块', '全', '飘红', '，', '你', '也', '坚挺', '一下', '啊']",5.0,159,1
2022/6/23,219,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '建仓', '完毕', '，', '现在', '都', '是', '散户', '在', '操作']",7.0,156,1
2022/6/23,222,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这', '垃圾', '真的', '浪费', '大盘', '板块', '，', '，']",-8.0,191,-1
2022/6/23,233,"['不行', '啊', '这个', '股']",-7.0,163,-1
2022/6/22,252,"['媳妇', '买个', '扫地机', '感觉', '很', '不错', '，', '今天', '看到', '下跌', '买', '了', '它', '，', '谁知']",5.0,138,1
2022/6/22,265,"['够', '狠', '，', '我', '喜欢', '，', '越跌', '越', '喜欢', '哈哈哈']",10.0,148,1
2022/6/22,275,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '黄金', '坑', '！', '！', '！']",5.0,147,1
2022/6/22,277,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '给', '我', '跌停', '，', '[', '微笑', ']', '[', '微笑', ']', '[', '微笑', ']']",6.0,134,1
2022/6/22,283,"['荀', '曰', '的', '，', '我', '就', '不', '相信', '你', '能', '跌亭']",-7.0,141,-1
2022/6/22,286,"['两天', '套', '十个', '点', '，', '真是', '有一套', '呀']",-9.0,299,-1
2022/6/22,287,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '跌', '起来', '是', '瀑布', '，', '涨起来', '是', '什么玩意', '[']",6.0,295,1
2022/6/22,288,"['使劲', '砸', '，', '不要脸', '的', '东西', '，']",-8.0,135,-1
2022/6/22,298,"['马斯克', '人形', '机器人', '的', '降维', '打击', '可能', '会', '让', '科沃', '斯', '这种', '无', '技术']",-5.0,432,-1
2022/6/22,308,"['科沃', '斯', '6', '月', '22', '日', '快速', '上涨']",6.0,361,1
2022/6/22,310,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '怎么', '这么', '垃圾', '，', '无语', '了', '[', '好', '困惑', ']']",-6.0,292,-1
2022/6/22,313,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '怎么', '这么', '垃圾', '，', '无语', '了', '[', '好', '困惑', ']']",-6.0,148,-1
2022/6/21,334,"['六阳', '升天', '，', '机器人', '概念', '火', '了', '。', '明天', '封板', '！']",-7.0,143,-1
2022/6/21,335,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这股', '业绩', '不错', '，', '基本面', '也', '很', '优秀', '，', '为']",13.0,575,1
2022/6/21,338,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '目标价', '150', '，', '随便', '洗']",-5.0,1018,-1
2022/6/21,349,"['个人', '觉得', '可以', '清仓', '了', '，', '今明两天', '大盘', '必定', '回调', '。']",7.0,156,1
2022/6/21,354,"['科沃', '斯', '6', '月', '21', '日', '快速', '上涨']",6.0,211,1
2022/6/21,355,"['98', '的', '本', '，', '准备', '拿到', '200', '，', '哈哈', '，', '。', '发财', '了', '，', '过年', '我们', '200', '再']",7.0,389,1
2022/6/21,361,['哈哈'],7.0,162,1
2022/6/21,362,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '今天', '收复', '半年线', '，', '突破', '就', '指日可待']",8.0,179,1
2022/6/20,370,"['112', '/', '113', '左右', '闭', '着眼', '加仓', '哈哈']",7.0,225,1
2022/6/20,373,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '618', '数据', '大卖', '，', '主力', '肯定', '拉过', '130']",7.0,343,1
2022/6/19,378,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '618', '都', '过', '了', '，', '看来', '确实', '不适合', '炒作', '，']",13.0,202,1
2022/6/18,390,"['添可', '洗地机', '均价', '3000', '，', '300', '万个', '家庭', '买', '的话', '就', '90', '亿', '，', '可观']",5.0,496,1
2022/6/17,398,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '散户', '把', '股价', '拉', '起来', '？']",7.0,275,1
2022/6/17,408,"['主力', '今天', '没', '一点', '先手', '优势']",6.75,279,1
2022/6/17,411,"['科沃', '斯', '6', '月', '17', '日', '快速', '反弹']",6.0,369,1
2022/6/16,431,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '你', '就', '尽情', '表演', '我', '静静地', '看着', '你']",12.0,299,1
2022/6/16,438,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '618', '到', '了', '，', '主力', '该醒', '了']",7.0,241,1
2022/6/16,445,"['无视', '618', '就是', '跌', '啊', '！', '没完没了', '！']",-5.0,360,-1
2022/6/15,454,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '哪些', '大爷', '在', '卖', '呀', '没', '看到', '主力', '在', '吸', '吗']",-12.0,246,-1
2022/6/15,455,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '随便', '你', '怎么', '弱鸡', '，', '我', '都', '不', '卖', '，', '继续', '玩']",-5.0,334,-1
2022/6/15,457,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '618', '了', '，', '主力', '醒醒', '，', '干活', '了']",7.0,326,1
2022/6/15,458,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '也', '不', '知道', '是', '主力', '故意', '在', '压盘', '好多', '卖单']",-8.0,193,-1
2022/6/15,461,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '格力', '都', '不如', '。', '。', '。']",5.0,176,1
2022/6/15,465,"['科沃', '斯', '6', '月', '15', '日', '快速', '上涨']",6.0,221,1
2022/6/15,469,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '真够', '恶心', '的']",-5.0,196,-1
2022/6/15,470,"['垃圾', '东西', '，', '完蛋', '了']",-7.0,200,-1
2022/6/14,478,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '资金', '618', '肯定', '拉', '，', '因为', '去年', '双', '12']",7.0,548,1
2022/6/14,487,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '618', '这天', '突破', '130']",7.0,407,1
2022/6/14,488,"['科沃', '斯', '6', '月', '14', '日', '快速', '反弹']",6.0,197,1
2022/6/14,490,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '是否', '拉涨', '，', '完全', '看', '主力', '心情', '，', '什么', '技']",22.0,220,1
2022/6/14,492,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '为了', '拿到', '更多', '的', '筹码', '，', '也', '是', '想尽']",7.0,369,1
2022/6/14,496,"['主力', '净', '流出', '9000', '万', '，', '不', '跑', '等', '什么']",7.0,404,1
2022/6/13,504,"['完蛋', '放量', '下跌']",-6.0,416,-1
2022/6/13,505,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '完蛋', '了', '跌', '有量', '[', '哭', ']']",-6.0,227,-1
2022/6/13,526,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '有没有', '扫地出门', '的', '机器人', '给', '我', '来', '几台']",-5.0,244,-1
