time,no,review,score,read_volume
2022/6/30,1,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '一瓶', '茅台', '没', '了']",0,334
2022/6/30,2,"['今天', '不', '跑', '的', '明天', '又', '是', '跌', '七个', '点']",1,544
2022/6/30,3,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '走', '早', '了', '亏了', '卖', '没想到', '会涨', '这么', '多']",0,301
2022/6/30,4,"['散户', '应该', '甩', '下车', '不少', '[', '偷笑', ']']",0,347
2022/6/30,5,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这', '股', '主力', '喜欢', '做', 't']",12,172
2022/6/30,6,"['603486', ':', '关于', '开立', '理财', '专用', '结算', '账户', '的', '公告']",0,296
2022/6/30,7,"['603486', ':', '关于', '科沃', '斯', '机器人', '股份', '有限公司', '回购', '注销', '部分', '限']",-1,323
2022/6/30,8,"['603486', ':', '关于', '使用', '可', '转换', '公司债券', '部分', '闲置', '募集', '资金', '进行']",-2,261
2022/6/30,9,"['前面', '二楼', '的', '兄弟', '好像', '知道', '我', '看到', '了', '美女', '，', '苗条', '淑女', '，', '君子']",17,682
2022/6/30,10,"['涨', '一点', '就', '晒图', '，', '就', '这点', '格局', '[', '囧', ']']",1,323
2022/6/30,11,"['我', '走', '了', '，', '随便', '涨', '吧']",-4,281
2022/6/30,12,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '继续', '上', '，', '搞上去', '。']",0,153
2022/6/30,13,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这个', '股', '喜欢', '整数', '？']",5,185
2022/6/30,14,"['兄弟', '们', '我', '8%', '走', '了', '，', '你们', '赚大钱']",1,190
2022/6/30,15,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '我', '亏本', '卖', '了', '你们', '可以', '涨', '了', '每次', '我', '卖', '一']",6,267
2022/6/30,16,"['科沃', '斯', '06', '月', '23', '日获', '沪', '股通', '增持', '4.68', '万股']",1,482
2022/6/30,17,"['完', '了', '完', '了', '，', '还', '没', '上车', '，', '我', '的', '拖地', '机飞', '了']",0,190
2022/6/30,18,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '给', '短线', '选手', '又', '一记', '重击']",0,415
2022/6/30,19,"['603486', ':', '关于', '使用', '可', '转换', '公司债券', '部分', '闲置', '募集', '资金', '进行']",-2,745
2022/6/30,20,"['一到', '120', '就', '出货']",0,288
2022/6/30,21,"['昨日', '的', '分歧', '迎来', '的', '是', '今天', '的', '机会']",0,197
2022/6/30,22,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这次', '介入', '时机', '还', '不错', '，', '看看', '124', '测试']",1.5,282
2022/6/30,23,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '我', '真的', '好', '无语', '，', '我', '亏本', '卖', '了', '，', '狂拉']",-5,405
2022/6/30,24,"['最新消息', '科沃', '斯', '正在', '研究', '机器人', '和', '扫地', '机器人']",0,334
2022/6/30,25,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '估计', '中报', '业绩', '是', '不错', '的']",3,550
2022/6/30,26,"['难道', '科沃', '斯', '打算', '研发', '人形', '机器人', '[', '亏大', '了', ']']",0,301
2022/6/30,27,"['科沃', '斯', '6', '月', '30', '日', '盘中', '涨幅', '达', '5%']",1,198
2022/6/30,28,"['120', '追高进', '的', '，', '准备', '140', '走']",0,414
2022/6/30,29,"['既然', '没有', '强攻', '的', '意思', '，', '那', '敢不敢', '下杀', '一波']",0,285
2022/6/30,30,"['蛟龙', '出海']",0,182
2022/6/30,31,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这么', '好的', '图形', '还', '抛', '？']",1,273
2022/6/30,32,"['科沃', '斯', '6', '月', '30', '日', '快速', '上涨']",6,190
2022/6/30,33,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这么', '好的', '图形', '还', '抛', '？']",1,182
2022/6/30,34,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '可以', '冲', '了']",0,190
2022/6/30,35,"['科沃', '斯', '06', '月', '29', '日', '被', '沪', '股通', '减持', '13.66', '万股']",-1,291
2022/6/30,36,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '[', '为什么', ']', '每次', '大盘', '跌', '你', '就', '硬顶', '，', '大盘']",-1,317
2022/6/29,37,"['科沃', '斯跌', '7.2%', ' ', '中信证券', '精准', '定位', '其', '“', '大', '顶', '”', '目标价']",3,1575
2022/6/29,38,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '今天', '很抗', '揍', '前']",0,175
2022/6/29,39,"['举报', '吧']",-1,169
2022/6/29,40,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '庄都', '说', '了', '，', '我', '喜欢', '反着', '来', '，', '家', '人们', '来']",5,182
2022/6/29,41,"['都', '已经', '洗', '的', '秃噜', '皮', '了', '，', '再', '洗', '麽', '我', '也', '要', '走', '了', '，', '自', '嗨', '去', '吧']",0,280
2022/6/29,42,"['涨', '一天', '跌', '3', '天']",0,577
2022/6/29,43,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '150', '很快', '来', '了']",0,379
2022/6/29,44,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '大盘', '涨', '又', '不', '跟', '跌', '就', '来', '了']",2,195
2022/6/29,45,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '最高点', '116', '了', '一天', '比', '一天', '低']",0,186
2022/6/29,46,"['$', '科沃', '斯', '(', 'SH603486', ')', '$']",0,179
2022/6/29,47,"['科沃', '斯', '06', '月', '28', '日', '被', '沪', '股通', '减持', '24.21', '万股']",-1,263
2022/6/29,48,"['科沃', '斯欠', '我', '一个', '涨停板']",1,594
2022/6/28,49,"['这', '公司', '的确', '是', '真的', '机器人', '公司']",0,271
2022/6/28,50,"['明能', '收', '大阳线', '吗']",0,158
2022/6/28,51,"['帅到', '六亲不认', '，', '渣', '到', '五族', '不分', '，', '可恶', '斯', '就是', '可恶', '斯', '，', '不一']",-23,153
2022/6/28,52,"['假', '机器人', '，', '不会', '蹭', '热点']",-1,166
2022/6/28,53,"['每天', '这顿', '磨']",0,156
2022/6/28,54,"['加仓', '还是', '获利', '了结', '？', '大家', '拿个', '主意']",1,414
2022/6/28,55,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这', '垃圾', '走', '得', '很', '极端', '。']",-1,152
2022/6/28,56,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '垃圾', '科', '，', '对比', '一下', '，', '你', '有何感想', '？']",-1,412
2022/6/28,57,"['造', '了', '什么', '孽', '今天', '买', '这货']",0,270
2022/6/28,58,"['把', '庄拿去', '狗头', '铡']",0,157
2022/6/28,59,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '主力', '跑', '了', '那么', '多', '，', '明天', '还', '能', '拉', '起来', '吗']",17.5,174
2022/6/28,60,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这个', '垃圾', '，', '可以', '清仓', '了']",-2,306
2022/6/28,61,"['垃圾', '科沃', '斯', '，', '大盘', '都', '起飞', '了']",0,251
2022/6/28,62,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '昨天', '叫', '你们', '跑', '不', '跑', '[', '想', '一下', ']']",0,245
2022/6/28,63,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '实在太', '恶心', '了', '，', '科', '垃斯']",-5,157
2022/6/28,64,"['卖', '了', '卖', '了', '，', '还', '得', '跌']",-0.5,321
2022/6/28,65,"['真的', '是', '扫', '垃圾', '的', '机器人']",-1,168
2022/6/28,66,"['一个', '扫拉及', '们', '还', '配当', '智能', '机器人', '，', '太', '拿', '科沃', 'S', '当神', '了']",0,261
2022/6/28,67,"['还', '不如', '飞科', '电器']",2.5,169
2022/6/28,68,"['不当人子', '科沃', '斯']",0,171
2022/6/28,69,"['这货', '到底', '跟', '谁', '？']",0,167
2022/6/28,70,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '家电', '逆子', '科沃', '斯']",-7,183
2022/6/28,71,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '买', '的', '长安', '几天', '赚', '40%', '看看', '的', '你', '拿', '了', '一']",0,187
2022/6/28,72,"['随便', '翻翻', '其他', '股', '，', '都', '反弹', '到', '年线', '了', '，', '去年', '7', '月份', '买', '了', '这个']",-4,457
2022/6/28,73,"['120', '今年', '的', '顶']",0,170
2022/6/28,74,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '卖', '了', '就', '涨', '了']",1,377
2022/6/28,75,"['一个', '假', '机器人', '，', '机器人', '概念', '都', '起飞', '了']",1,169
2022/6/28,76,"['股', '性事', '真的', '好', '，', '反复', '做', '差价', '。']",-2,170
2022/6/28,77,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '这个', 'A股', '的', '票', '还是', '道', '指', '的', '票', '，', '到底', '跟']",0,350
2022/6/28,78,"['你', '不是', '机器人', '概念', '吗', '[', '大哭', ']']",0,181
2022/6/28,79,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '摩擦', '摩擦', '150', '揍']",-2,179
2022/6/28,80,"['这个', '庄', '感觉', '操盘', '有点', '狠', '，', '直接', '就', '砸', '，', '管', '你', '什么', '高', '地点']",-1,166
2022/6/28,81,"['搓揉', '线']",0,161
2022/6/28,82,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '看', '石头', '科技', '跌下', '更惨', '，', '就', '不', '太', '难过', '了']",0,206
2022/6/28,83,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '20', '分钟', '把', '三天', '涨幅', '泄', '了']",1,175
2022/6/28,84,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '庄家', '试盘', '失败', '。', '明后天', '调整', '。', '周五', '左']",-1,404
2022/6/28,85,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '涨', '不行', '跌倒', '是', '不含糊', '[', '滴汗', ']']",-2,185
2022/6/28,86,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '起飞']",1,581
2022/6/28,87,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '还好', '昨天', '跑', '了', '，', '不然', '又', '是', '套']",0,179
2022/6/28,88,"['量', '价齐升', '，', '大盘', '也', '没', '放量', '，', '看高', '一线', '，', '145', '目标价', '。']",-1,439
2022/6/28,89,"['炒作', '机器人', '概念', '不拉', '科沃', '斯', '咋', '可能', '，', '这是', '货真价实', '的', '。']",4,845
2022/6/28,90,"['科沃', '斯', '06', '月', '27', '日获', '沪', '股通', '增持', '70.48', '万股']",1,321
2022/6/27,91,"['明天', '能', '不能', '站', '上半年', '压力', '位', '[', '滴汗', ']']",1,280
2022/6/27,92,"['一起', '同步操作']",0,161
2022/6/27,93,"['被', '半年线', '压', '的', '死死的']",0,153
2022/6/27,94,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '转战', '宜宾', '、', '旷达', '，', '跟', '的', '兄弟', '，', '晚点', '吧']",5,286
2022/6/27,95,"['603486', ':', '中国', '国际金融', '股份', '有限公司', '关于', '科沃', '斯', '机器人', '股']",0,825
2022/6/27,96,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '有臻良', '老师', '推荐', '买', '的', '人', '吗', '？', '？', '？']",0,430
2022/6/27,97,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '沿着', '跳高', '缺口', '做', '的', '，', '已', '满仓', '，', '加油', '啊']",0,524
2022/6/27,98,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '赶紧', '明天', '又', '要', '跌', '！', '！']",-1,155
2022/6/27,99,"['科沃', '斯', '618', '销售', '数据', '点评', '：', '618', '数据', '亮眼', '，', '看好']",2,8836
2022/6/27,100,"['成本', '143', '还有', '机会', '回本', '吗', '？']",1,404
2022/6/27,101,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '115.85', '收盘']",0,294
2022/6/27,102,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '真是', '浪费时间', '，']",-1,196
2022/6/27,103,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '散户', '处', '那么', '多', '太好了']",3,166
2022/6/27,104,"['主力', '这么', '费力', '砸', '是', '为了', '啥', '，', '就', '为了', '""', '人工智能', '""']",7,577
2022/6/27,105,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '到底', '是', '谁', '外卖']",0,374
2022/6/27,106,"['不要', '瞎', '操作', '，', '卖卖', '飞', '了', '吧', '活该']",0,348
2022/6/27,107,"['科沃', '斯', '到底', '算', '家电', '还是', '机器人', '呀']",0,648
2022/6/27,108,"['科沃', '斯', '6', '月', '27', '日', '盘中', '涨幅', '达', '5%']",1,228
2022/6/27,109,"['能', '不能', '让', '我', '赚', '个', '拖地', '机', '的', '钱']",0,194
2022/6/27,110,"['又', '是', '早上', '射', '一下']",0,175
2022/6/27,111,"['科沃', '斯', '6', '月', '27', '日', '快速', '上涨']",6,224
2022/6/27,112,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '挺好', '一直', '票', '，', '被', '散户', '们', '玩']",0,417
2022/6/27,113,"['坐等', '看', '你', '回调', '4', '个点', '补缺', '口']",-1,194
2022/6/27,114,"['$', '科沃', '斯', '(', 'SH603486', ')', '$', '今天', '的', '高点', '就', '116', '了', '…', '…']",0,182
