id,time,review,read_volume
1,2022/6/30,$科沃斯(SH603486)$一瓶茅台没了,334
2,2022/6/30,今天不跑的明天又是跌七个点,544
3,2022/6/30,$科沃斯(SH603486)$走早了亏了卖没想到会涨这么多,301
4,2022/6/30,散户应该甩下车不少[偷笑],347
5,2022/6/30,$科沃斯(SH603486)$这股主力喜欢做t,172
6,2022/6/30,603486:关于开立理财专用结算账户的公告,296
7,2022/6/30,603486:关于科沃斯机器人股份有限公司回购注销部分限,323
8,2022/6/30,603486:关于使用可转换公司债券部分闲置募集资金进行,261
9,2022/6/30,前面二楼的兄弟好像知道我看到了美女，苗条淑女，君子,682
10,2022/6/30,涨一点就晒图，就这点格局[囧],323
11,2022/6/30,我走了，随便涨吧,281
12,2022/6/30,$科沃斯(SH603486)$继续上，搞上去。,153
13,2022/6/30,$科沃斯(SH603486)$这个股喜欢整数？,185
14,2022/6/30,兄弟们我8%走了，你们赚大钱,190
15,2022/6/30,$科沃斯(SH603486)$我亏本卖了你们可以涨了每次我卖一,267
16,2022/6/30,科沃斯06月23日获沪股通增持4.68万股,482
17,2022/6/30,完了完了，还没上车，我的拖地机飞了,190
18,2022/6/30,$科沃斯(SH603486)$给短线选手又一记重击,415
19,2022/6/30,603486:关于使用可转换公司债券部分闲置募集资金进行,745
20,2022/6/30,一到120就出货,288
21,2022/6/30,昨日的分歧迎来的是今天的机会,197
22,2022/6/30,$科沃斯(SH603486)$这次介入时机还不错，看看124测试,282
23,2022/6/30,$科沃斯(SH603486)$我真的好无语，我亏本卖了，狂拉,405
24,2022/6/30,最新消息科沃斯正在研究机器人和扫地机器人,334
25,2022/6/30,$科沃斯(SH603486)$估计中报业绩是不错的,550
26,2022/6/30,难道科沃斯打算研发人形机器人[亏大了],301
27,2022/6/30,科沃斯6月30日盘中涨幅达5%,198
28,2022/6/30,120追高进的，准备140走,414
29,2022/6/30,既然没有强攻的意思，那敢不敢下杀一波,285
30,2022/6/30,蛟龙出海,182
31,2022/6/30,$科沃斯(SH603486)$这么好的图形还抛？,273
32,2022/6/30,科沃斯6月30日快速上涨,190
33,2022/6/30,$科沃斯(SH603486)$这么好的图形还抛？,182
34,2022/6/30,$科沃斯(SH603486)$可以冲了,190
35,2022/6/30,科沃斯06月29日被沪股通减持13.66万股,291
36,2022/6/30,$科沃斯(SH603486)$[为什么]每次大盘跌你就硬顶，大盘,317
37,2022/6/29,科沃斯跌7.2% 中信证券精准定位其“大顶”目标价,1575
38,2022/6/29,$科沃斯(SH603486)$今天很抗揍前,175
39,2022/6/29,举报吧,169
40,2022/6/29,$科沃斯(SH603486)$庄都说了，我喜欢反着来，家人们来,182
41,2022/6/29,都已经洗的秃噜皮了，再洗麽我也要走了，自嗨去吧,280
42,2022/6/29,涨一天跌3天,577
43,2022/6/29,$科沃斯(SH603486)$150很快来了,379
44,2022/6/29,$科沃斯(SH603486)$大盘涨又不跟跌就来了,195
45,2022/6/29,$科沃斯(SH603486)$最高点116了一天比一天低,186
46,2022/6/29,$科沃斯(SH603486)$,179
47,2022/6/29,科沃斯06月28日被沪股通减持24.21万股,263
48,2022/6/29,科沃斯欠我一个涨停板,594
49,2022/6/28,这公司的确是真的机器人公司,271
50,2022/6/28,明能收大阳线吗,158
51,2022/6/28,帅到六亲不认，渣到五族不分，可恶斯就是可恶斯，不一,153
52,2022/6/28,假机器人，不会蹭热点,166
53,2022/6/28,每天这顿磨,156
54,2022/6/28,加仓还是获利了结？大家拿个主意,414
55,2022/6/28,$科沃斯(SH603486)$这垃圾走得很极端。,152
56,2022/6/28,$科沃斯(SH603486)$垃圾科，对比一下，你有何感想？,412
57,2022/6/28,造了什么孽今天买这货,270
58,2022/6/28,把庄拿去狗头铡,157
59,2022/6/28,$科沃斯(SH603486)$主力跑了那么多，明天还能拉起来吗,174
60,2022/6/28,$科沃斯(SH603486)$这个垃圾，可以清仓了,306
61,2022/6/28,垃圾科沃斯，大盘都起飞了,251
62,2022/6/28,$科沃斯(SH603486)$昨天叫你们跑不跑[想一下],245
63,2022/6/28,$科沃斯(SH603486)$实在太恶心了，科垃斯,157
64,2022/6/28,卖了卖了，还得跌,321
65,2022/6/28,真的是扫垃圾的机器人,168
66,2022/6/28,一个扫拉及们还配当智能机器人，太拿科沃S当神了,261
67,2022/6/28,还不如飞科电器,169
68,2022/6/28,不当人子科沃斯,171
69,2022/6/28,这货到底跟谁？,167
70,2022/6/28,$科沃斯(SH603486)$家电逆子科沃斯,183
71,2022/6/28,$科沃斯(SH603486)$买的长安几天赚40%看看的你拿了一,187
72,2022/6/28,随便翻翻其他股，都反弹到年线了，去年7月份买了这个,457
73,2022/6/28,120今年的顶,170
74,2022/6/28,$科沃斯(SH603486)$卖了就涨了,377
75,2022/6/28,一个假机器人，机器人概念都起飞了,169
76,2022/6/28,股性事真的好，反复做差价。,170
77,2022/6/28,$科沃斯(SH603486)$这个A股的票还是道指的票，到底跟,350
78,2022/6/28,你不是机器人概念吗[大哭],181
79,2022/6/28,$科沃斯(SH603486)$摩擦摩擦150揍,179
80,2022/6/28,这个庄感觉操盘有点狠，直接就砸，管你什么高地点,166
81,2022/6/28,搓揉线,161
82,2022/6/28,$科沃斯(SH603486)$看石头科技跌下更惨，就不太难过了,206
83,2022/6/28,$科沃斯(SH603486)$20分钟把三天涨幅泄了,175
84,2022/6/28,$科沃斯(SH603486)$庄家试盘失败。明后天调整。周五左,404
85,2022/6/28,$科沃斯(SH603486)$涨不行跌倒是不含糊[滴汗],185
86,2022/6/28,$科沃斯(SH603486)$起飞,581
87,2022/6/28,$科沃斯(SH603486)$还好昨天跑了，不然又是套,179
88,2022/6/28,量价齐升，大盘也没放量，看高一线，145目标价。,439
89,2022/6/28,炒作机器人概念不拉科沃斯咋可能，这是货真价实的。,845
90,2022/6/28,科沃斯06月27日获沪股通增持70.48万股,321
91,2022/6/27,明天能不能站上半年压力位[滴汗],280
92,2022/6/27,一起同步操作,161
93,2022/6/27,被半年线压的死死的,153
94,2022/6/27,$科沃斯(SH603486)$转战宜宾、旷达，跟的兄弟，晚点吧,286
95,2022/6/27,603486:中国国际金融股份有限公司关于科沃斯机器人股,825
96,2022/6/27,$科沃斯(SH603486)$有臻良老师推荐买的人吗？？？,430
97,2022/6/27,$科沃斯(SH603486)$沿着跳高缺口做的，已满仓，加油啊,524
98,2022/6/27,$科沃斯(SH603486)$赶紧明天又要跌！！,155
99,2022/6/27,科沃斯618销售数据点评：618数据亮眼，看好,8836
100,2022/6/27,成本143还有机会回本吗？,404
101,2022/6/27,$科沃斯(SH603486)$115.85收盘,294
102,2022/6/27,$科沃斯(SH603486)$真是浪费时间，,196
103,2022/6/27,$科沃斯(SH603486)$散户处那么多太好了,166
104,2022/6/27,"主力这么费力砸是为了啥，就为了""人工智能""",577
105,2022/6/27,$科沃斯(SH603486)$到底是谁外卖,374
106,2022/6/27,不要瞎操作，卖卖飞了吧活该,348
107,2022/6/27,科沃斯到底算家电还是机器人呀,648
108,2022/6/27,科沃斯6月27日盘中涨幅达5%,228
109,2022/6/27,能不能让我赚个拖地机的钱,194
110,2022/6/27,又是早上射一下,175
111,2022/6/27,科沃斯6月27日快速上涨,224
112,2022/6/27,$科沃斯(SH603486)$挺好一直票，被散户们玩,417
113,2022/6/27,坐等看你回调4个点补缺口,194
114,2022/6/27,$科沃斯(SH603486)$今天的高点就116了……,182
115,2022/6/27,$科沃斯(SH603486)$雄起吧哥,169
116,2022/6/26,$科沃斯(SH603486)$山姆也开始卖科沃斯了,170
117,2022/6/26,先跌到60,553
118,2022/6/26,浙商证券维持科沃斯买入评级 预计2022年净,435
119,2022/6/26,科沃斯本周沪股通持股市值减少225.84万元，,371
120,2022/6/25,$科沃斯(SH603486)$科沃斯还是看好后期走势,685
121,2022/6/25,科沃斯大宗交易成交25.39万股 成交额2513.6,691
122,2022/6/25,$科沃斯(SH603486)$很奇怪，人气排的也不低,217
123,2022/6/25,$科沃斯(SH603486)$哪个会回本？指数大涨，,522
124,2022/6/25,$科沃斯(SH603486)$科沃斯总裁吃干饭的,257
125,2022/6/25,我回来了，附加走势说明,1059
126,2022/6/25,科沃斯06月24日获沪股通增持26.5万股,405
127,2022/6/24,$科沃斯(SH603486)$风不转水转，新能源汽车,698
128,2022/6/24,$科沃斯(SH603486)$老眼昏花，挂120.28元手,1100
129,2022/6/24,$科沃斯(SH603486)$,335
130,2022/6/24,$科沃斯(SH603486)$大阴阳线十字星明天大涨,317
131,2022/6/24,今天家电都涨上天了可惜这个是扫拉积的,186
132,2022/6/24,其实今天的放量，就是针对昨天进来的游资，,380
133,2022/6/24,$科沃斯(SH603486)$家电板块这个月涨了9个,180
134,2022/6/24,大家不要慌，下跌就是买入机会，和主力抢筹,283
135,2022/6/24,大宗交易：科沃斯成交2513.61万元，折价11.,282
136,2022/6/24,抄底抄底，主力恐惧我贪婪哈哈,286
137,2022/6/24,科沃斯为啥不能融资融券,195
138,2022/6/24,$科沃斯(SH603486)$收盘111.11么？,351
139,2022/6/24,$科沃斯(SH603486)$使劲砸根本玩不过[大哭],367
140,2022/6/24,$科沃斯(SH603486)$小科我来了，今天进驻小,182
141,2022/6/24,谁在卖，招灾了？还是预测将招灾？,202
142,2022/6/24,$科沃斯(SH603486)$十日二十日线很难冲破,185
143,2022/6/24,$科沃斯(SH603486)$工资到位我来了,315
144,2022/6/24,$科沃斯(SH603486)$哎走了走了，不跟你慢慢,242
145,2022/6/24,$科沃斯(SH603486)$买到大便股,186
146,2022/6/24,这么好的行情浪费在这个垃圾身上了，唉,190
147,2022/6/24,$科沃斯(SH603486)$科绿斯,267
148,2022/6/24,真搞笑啊，讲个笑话这是家电股,279
149,2022/6/24,$科沃斯(SH603486)$真失望！！！,189
150,2022/6/24,$科沃斯(SH603486)$急涨慢跌出货啦,175
151,2022/6/24,$科沃斯(SH603486)$绿毛龟,203
152,2022/6/24,垃圾的不能再垃圾的股，劝你善良,348
153,2022/6/24,$科沃斯(SH603486)$拉高出货，主力这几天已,239
154,2022/6/24,$科沃斯(SH603486)$臻良哥哥下周要减持了垃,201
155,2022/6/24,科沃斯！石头科技这两扫地机都不涨！估计是,209
156,2022/6/24,$科沃斯(SH603486)$20日，10日，5日线均有,356
157,2022/6/24,$科沃斯(SH603486)$买入不动如山,358
158,2022/6/24,$科沃斯(SH603486)$科沃斯这几天持续净流出,203
159,2022/6/24,$科沃斯(SH603486)$周末一定有利好家电的消,347
160,2022/6/24,没希望，抓紧撤出,190
161,2022/6/24,$科沃斯(SH603486)$这里的主力是真的磨人我忍！,158
162,2022/6/24,又是一样的配方，早上射一下就回落,198
163,2022/6/24,$科沃斯(SH603486)$来根大阳线,158
164,2022/6/24,$科沃斯(SH603486)$这股非赶大盘下V之前启动,196
165,2022/6/24,$科沃斯(SH603486)$这股洗人非常厉害,392
166,2022/6/24,$科沃斯(SH603486)$加油啊！兄弟都跑到你前面了[捂脸],197
167,2022/6/24,$科沃斯(SH603486)$加油啊！兄弟都跑到你前面了[捂脸],195
168,2022/6/24,$科沃斯(SH603486)$这是拉高出货呀！！,191
169,2022/6/24,$科沃斯(SH603486)$主力拉高出货了,217
170,2022/6/24,$科沃斯(SH603486)$果然是机构票少碰,270
171,2022/6/24,$科沃斯(SH603486)$格力都涨6⃣个点了,193
172,2022/6/24,不要脸的东西，科沃斯，江苏股中的垃圾,173
173,2022/6/24,$科沃斯(SH603486)$别怕今天必须涨,163
174,2022/6/24,今天咋不按剧本走呢？,339
175,2022/6/24,$科沃斯(SH603486)$垃圾股，清仓了，垃圾机器人再也不,306
176,2022/6/24,$科沃斯(SH603486)$有谁在110附近压盘,208
177,2022/6/24,$科沃斯(SH603486)$红不过多久呢今天,179
178,2022/6/24,$科沃斯(SH603486)$今天跌停铁板一块,188
179,2022/6/24,今天涨停！大家吃肉肉咯呵呵！！！,332
180,2022/6/24,$科沃斯(SH603486)$哪个会回本？指数大涨，我的股都不,477
181,2022/6/24,别的机器人小弟都涨疯了，就你软绵绵的，有病,252
182,2022/6/24,都腰斩了，还没出完贺吗，发利好公告再割一波吗,225
183,2022/6/23,$科沃斯(SH603486)$北极星储能网获悉，6月6日，泰鼎新,243
184,2022/6/23,$科沃斯(SH603486)$【12亿元！科沃斯旗下泰鼎新能源年,295
185,2022/6/23,没什么好说的同样掉到二十日线长城科技反弹涨停，科沃,295
186,2022/6/23,坐了一会电梯原本赚了接近10个点就剩3个点不到。。。,280
187,2022/6/23,好弱啊昨天被套了[哭],271
188,2022/6/23,我总算见识了科沃斯的不要脸,264
189,2022/6/23,必须清仓这种烂股，我实在找不出脏话骂你了,219
190,2022/6/23,$科沃斯(SH603486)$一首248哥。中信说的会到250,315
191,2022/6/23,不是大盘今天涨50点着b玩意得跌5%,159
192,2022/6/23,$科沃斯(SH603486)$看来我们都错过了主线新能源和光伏,164
193,2022/6/23,原来被炒的太高了，即使跌到现在，依然有30倍市盈率，,172
194,2022/6/23,是真的弱啊，二季报可能真的不太乐观，不然不会被资金,375
195,2022/6/23,跑吧,299
196,2022/6/23,为什么一来一回十几个点了,153
197,2022/6/23,$科沃斯(SH603486)$大家赶紧来抢奥翔的票，下周医疗大,176
198,2022/6/23,$科沃斯(SH603486)$克我死有点牛,146
199,2022/6/23,这股被股东清仓伤很了，阴跌了一年不见一点回头,160
200,2022/6/23,$科沃斯(SH603486)$玩这个股不要心急折磨人的股,146
201,2022/6/23,$科沃斯(SH603486)$为数不多的垃圾股，我上午割肉，都,184
202,2022/6/23,$科沃斯(SH603486)$套的就是你们这群韭菜,157
203,2022/6/23,这个垃圾股这么多月来，连大盘都跑不过，就只值18块的,148
204,2022/6/23,大盘小跌，他大跌，大盘大涨，他横盘，明天大盘回调，,136
205,2022/6/23,$科沃斯(SH603486)$恶庄故意打压价格,143
206,2022/6/23,垃圾死了,139
207,2022/6/23,$科沃斯(SH603486)$恶庄故意打压价格,142
208,2022/6/23,为什么,144
209,2022/6/23,$科沃斯(SH603486)$睡会去，涨停了叫我,247
210,2022/6/23,特斯拉起飞，明天火箭发射走一波,356
211,2022/6/23,你就嘚瑟吧，夜路走多了总会遇到鬼,148
212,2022/6/23,$科沃斯(SH603486)$大盘这么好你却这B样子,155
213,2022/6/23,$科沃斯(SH603486)$死垃圾。。,141
214,2022/6/23,$科沃斯(SH603486)$不到年线不罢休[想一下][想一下][,145
215,2022/6/23,$科沃斯(SH603486)$死垃圾。把你拉入黑名单。删除自选,161
216,2022/6/23,蠢才,153
217,2022/6/23,$科沃斯(SH603486)$人气要没了,144
