time,all_num_科沃斯,all_dic_score,科沃斯舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,1.00,1.00,1,1.00,0,0.00
2021-01-02,2,0.00,-0.16,1,1.00,1,-1.00
2021-01-03,2,2.00,1.00,2,2.00,0,0.00
2021-01-04,14,8.00,0.75,11,11.00,3,-3.00
2021-01-05,18,16.00,0.94,17,17.00,1,-1.00
2021-01-06,27,11.00,0.64,19,19.00,8,-8.00
2021-01-07,48,12.00,0.40,30,30.00,18,-18.00
2021-01-08,33,9.00,0.58,21,21.00,12,-12.00
2021-01-09,8,0.00,0.22,4,4.00,4,-4.00
2021-01-10,5,1.00,0.40,3,3.00,2,-2.00
2021-01-11,28,8.00,0.36,18,18.00,10,-10.00
2021-01-12,45,21.00,0.54,33,33.00,12,-12.00
2021-01-13,56,16.00,0.73,36,36.00,20,-20.00
2021-01-14,32,16.00,0.76,24,24.00,8,-8.00
2021-01-15,72,0.00,0.28,36,36.00,36,-36.00
2021-01-16,24,0.00,0.24,12,12.00,12,-12.00
2021-01-17,20,6.00,0.50,13,13.00,7,-7.00
2021-01-18,153,69.00,0.54,111,111.00,42,-42.00
2021-01-19,78,32.00,0.60,55,55.00,23,-23.00
2021-01-20,36,8.00,0.55,22,22.00,14,-14.00
2021-01-21,30,6.00,0.45,18,18.00,12,-12.00
2021-01-22,51,19.00,0.65,35,35.00,16,-16.00
2021-01-23,4,2.00,0.74,3,3.00,1,-1.00
2021-01-24,9,7.00,0.86,8,8.00,1,-1.00
2021-01-25,20,10.00,-0.52,15,15.00,5,-5.00
2021-01-26,36,18.00,0.48,27,27.00,9,-9.00
2021-01-27,31,11.00,0.46,21,21.00,10,-10.00
2021-01-28,21,-1.00,0.07,10,10.00,11,-11.00
2021-01-29,23,15.00,0.52,19,19.00,4,-4.00
2021-01-30,4,2.00,0.58,3,3.00,1,-1.00
2021-01-31,7,3.00,-0.17,5,5.00,2,-2.00
2021-02-01,12,2.00,0.39,7,7.00,5,-5.00
2021-02-02,22,14.00,0.70,18,18.00,4,-4.00
2021-02-03,30,12.00,0.45,21,21.00,9,-9.00
2021-02-04,11,5.00,0.65,8,8.00,3,-3.00
2021-02-05,25,9.00,0.11,17,17.00,8,-8.00
2021-02-06,7,5.00,0.71,6,6.00,1,-1.00
2021-02-07,11,7.00,0.80,9,9.00,2,-2.00
2021-02-08,31,5.00,-0.70,18,18.00,13,-13.00
2021-02-09,13,7.00,0.75,10,10.00,3,-3.00
2021-02-10,19,5.00,0.45,12,12.00,7,-7.00
2021-02-11,4,0.00,-0.10,2,2.00,2,-2.00
2021-02-12,1,1.00,1.00,1,1.00,0,0.00
2021-02-13,4,0.00,0.24,2,2.00,2,-2.00
2021-02-14,1,1.00,1.00,1,1.00,0,0.00
2021-02-15,3,1.00,0.90,2,2.00,1,-1.00
2021-02-16,3,1.00,0.51,2,2.00,1,-1.00
2021-02-17,4,2.00,0.70,3,3.00,1,-1.00
2021-02-18,15,-3.00,-0.07,6,6.00,9,-9.00
2021-02-19,24,10.00,0.44,17,17.00,7,-7.00
2021-02-20,7,1.00,0.38,4,4.00,3,-3.00
2021-02-21,4,2.00,0.47,3,3.00,1,-1.00
2021-02-22,13,-5.00,-0.34,4,4.00,9,-9.00
2021-02-23,4,0.00,-0.07,2,2.00,2,-2.00
2021-02-24,10,4.00,0.29,7,7.00,3,-3.00
2021-02-25,19,3.00,0.25,11,11.00,8,-8.00
2021-02-26,15,5.00,0.66,10,10.00,5,-5.00
2021-02-28,6,4.00,0.67,5,5.00,1,-1.00
2021-03-01,10,-2.00,-0.06,4,4.00,6,-6.00
2021-03-02,7,3.00,0.48,5,5.00,2,-2.00
2021-03-03,19,-5.00,-0.29,7,7.00,12,-12.00
2021-03-04,18,0.00,0.87,9,9.00,9,-9.00
2021-03-05,12,8.00,0.72,10,10.00,2,-2.00
2021-03-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-07,3,3.00,1.00,3,3.00,0,0.00
2021-03-08,10,2.00,0.20,6,6.00,4,-4.00
2021-03-09,18,0.00,0.21,9,9.00,9,-9.00
2021-03-10,13,3.00,0.30,8,8.00,5,-5.00
2021-03-11,5,3.00,0.68,4,4.00,1,-1.00
2021-03-12,11,7.00,0.74,9,9.00,2,-2.00
2021-03-14,2,2.00,1.00,2,2.00,0,0.00
2021-03-15,10,4.00,0.38,7,7.00,3,-3.00
2021-03-16,10,4.00,0.47,7,7.00,3,-3.00
2021-03-17,6,6.00,1.00,6,6.00,0,0.00
2021-03-18,4,4.00,1.00,4,4.00,0,0.00
2021-03-19,3,1.00,0.48,2,2.00,1,-1.00
