time,no,review,score,read_volume,label
2022/6/30,1,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '有人', '说', '底部', '筹码', '没', '松动', '，', '看看', '这票', '吧']",0.0,465,1
2022/6/30,3,"['哪位', '大神', '告诉', '我', '怎么', '解套', '我', '五块', '多', '的', '成本']",1.0,840,-1
2022/6/30,5,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '起码', '跌个', '百分之五', '呢', '，', '我们', '也好', '买', '一']",0.0,195,1
2022/6/30,6,"['这', '只', '股票', '玩儿', '呢', '啊', '天天', '一分钱', '上下']",0.0,375,1
2022/6/30,7,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '买定离手']",0.0,194,-1
2022/6/30,8,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '出来', '4.42', '.', '不卖', '的', '发财']",0.0,197,-1
2022/6/30,9,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '大湾', '区', '的', '媒体', '就是', '垃圾', '！']",-1.0,209,1
2022/6/30,10,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '何年何月', '得尝', '所望', '，', '得偿', '所望', '…', '…']",0.0,218,-1
2022/6/30,11,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '以后', '再也', '不', '追高', '了', '，', '所有', '股票', '就', '这个']",0.0,226,1
2022/6/30,12,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '死股', '一只']",0.0,377,1
2022/6/30,13,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '来个', '涨停', '吧']",1.0,227,1
2022/6/30,14,"['下降', '通道']",-1.0,384,-1
2022/6/30,15,"['粤', '传媒', ':', '2021', '年', '年度', '股东', '大会决议', '公告']",0.0,1017,1
2022/6/30,17,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '买']",0.0,214,-1
2022/6/30,18,"['粤', '传媒', '：', '连续', '3', '日', '融资', '净', '偿还', '累计', '1055.4', '万元', '（', '06', '-', '29', '）']",-1.0,305,1
2022/6/29,20,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '很', '安静', '，', '没什么', '人', '了']",0.0,181,-1
2022/6/29,21,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '筹码', '连续', '小阳', '，', '兄弟', '们', '，', '光明', '不远', '了']",1.0,408,1
2022/6/29,23,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '狗庄']",0.0,270,1
