time,no,review,score,read_volume,label
2022/6/30,2,"['无量', '调整', '有', '机会', '涨停']",9.0,377,1
2022/6/30,4,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '迎接', '新一轮', '的', '狂欢', '吧', '，', '大盘', '上攻', '，', '反']",10.0,219,1
2022/6/30,16,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '说', '别人', '垃圾', '都', '是', '鞭策', '，', '只有', '你', '是', '真垃']",6.0,220,1
2022/6/29,19,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '等', '了', '这么久', '，', '主力', '你', '什么', '时候', '砸', '黄金']",12.0,379,1
2022/6/29,22,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这是', '啥子', '鸭儿', '骗子', '公司', '哦']",-5.0,349,-1
2022/6/29,29,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '明天', '年线', '4.18', '挂单', '买入', '，', '必须', '的']",7.0,419,1
2022/6/29,33,"['判断', '方向', '很', '重要', '，', '我', '先', '在', '外面', '吃', '肉', '！', '庄家', '你', '慢慢', '磨', '吧', '，', '等']",13.0,241,1
2022/6/29,38,"['这个', '庄皮', '太厚', '了', '尽', '干些', '伤天害理', '的', '事']",-27.0,236,-1
2022/6/29,40,"['鸡肋', '了', '，', '今天', '踏空', '行情', '[', '囧', ']']",-6.0,583,-1
2022/6/28,44,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '恭喜', '大', '外甥', '签约', '清华大学', '[', '大笑', ']', '你', '就']",5.0,931,1
2022/6/28,54,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '可以', '买', '了', '，', '开始', '升', '了', '，', '哈哈']",7.0,228,1
2022/6/27,71,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '什么', '时候', '龙', '回头']",5.0,638,1
2022/6/27,79,"['友情', '提示', '：', '你', '下载', '反诈', 'app', '了', '吗', '？']",5.0,204,1
2022/6/27,84,"['此股', '距离', '向下', '破位', '的', '时间', '不多', '了', '，', '奉劝', '不想', '被', '深套', '的', '朋友']",7.0,507,1
2022/6/26,86,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '亏钱', '不卖', '是', '原则', '，', '但是', '这个', '特别', '恶心']",-10.0,1227,-1
2022/6/25,93,"['明天', '不', '涨停', '也', '要大涨', '哈哈']",7.0,379,1
2022/6/25,97,"['我', '可以', '负责', '告诉', '大家', '这股', '套', '了', '我', '六七年', '，', '好', '在', '这波', '连本', '带']",5.0,735,1
2022/6/24,102,"['主力', '的', '织布机', '不错', '哈']",10.0,197,1
2022/6/24,112,"['大盘', '板块', '都', '带', '不动', '哈哈', '还好', '昨天', '买', '了', '美声']",7.0,202,1
2022/6/24,113,"['问', '一下', '，', '这股', '还会', '退市', '？', '现在', '没有', '人', '看', '报纸', '，', '前景', '不行', '！']",-9.0,541,-1
2022/6/24,114,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '外面', '大好', '行情', '，', '被', '这杂', '毛', '深套', '住', '了']",6.0,501,1
2022/6/24,127,"['今天', '主力', '进', '了']",7.0,288,1
2022/6/23,130,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这个', '是', '啥子', '鸡', '骗子', '公司', '哦']",-5.0,181,-1
2022/6/23,155,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '相信', '我', '今天', '跌停', '进', '绝对', '没错', '！', '！', '！', '！']",6.0,207,1
2022/6/23,160,"['今天', '开始', '补仓', '，', '和', '主力', '共渡难关']",7.0,426,1
2022/6/22,171,"['今天', '最后', '一天', '洗盘', '，', '明天', '有', '惊喜']",7.0,441,1
2022/6/22,195,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '神经病', '股', '，', '别人', '涨', '它', '不涨', '，', '别人', '跌', '了']",-5.0,151,-1
2022/6/22,204,"['耐心', '！', '！', '！', '！']",5.0,363,1
2022/6/22,215,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '无量', '阴跌', '，', '还有', '一', '深跌']",5.0,336,1
2022/6/22,228,"['该死', '不', '死的', '垃圾', '公司']",-7.0,161,-1
2022/6/21,238,"['哈哈', '不敢', '随', '大盘', '跌', '，', '还涨', '了', '点', '，', '太', '让', '我', '失望', '了', '[', '笑', '哭', ']', '[', '笑']",6.0,157,1
2022/6/21,239,"['哈哈', '不敢', '随', '大盘', '跌', '，', '还涨', '了', '点', '，', '太', '让', '我', '失望', '了', '[', '笑', '哭', ']', '[', '笑']",6.0,157,1
2022/6/21,244,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '5', '万股', '还给', '庄家', '，', '盈利', '3000', '，', '浪费', '大']",-7.0,323,-1
2022/6/21,249,"['别', '被', '吓死', '了', '，', '已经', '开始', '赔钱', '了']",5.0,765,1
2022/6/20,263,"['小粤粤', '很', '好玩', '的', '啊', '，', '看股', '吧', '动态', '就行了', '。']",14.0,245,1
2022/6/20,270,"['筹码', '分布', '，', '极其', '难看']",-15.0,402,-1
2022/6/20,279,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '神经病', '啊']",-5.0,199,-1
2022/6/20,300,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '好点', '回落', '65', '个点', '，', '这股', '完蛋', '了']",-6.0,210,-1
