time,no,review,score,read_volume
2022/6/30,1,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '有人', '说', '底部', '筹码', '没', '松动', '，', '看看', '这票', '吧']",0,465
2022/6/30,2,"['无量', '调整', '有', '机会', '涨停']",9,377
2022/6/30,3,"['哪位', '大神', '告诉', '我', '怎么', '解套', '我', '五块', '多', '的', '成本']",1,840
2022/6/30,4,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '迎接', '新一轮', '的', '狂欢', '吧', '，', '大盘', '上攻', '，', '反']",10,219
2022/6/30,5,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '起码', '跌个', '百分之五', '呢', '，', '我们', '也好', '买', '一']",0,195
2022/6/30,6,"['这', '只', '股票', '玩儿', '呢', '啊', '天天', '一分钱', '上下']",0,375
2022/6/30,7,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '买定离手']",0,194
2022/6/30,8,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '出来', '4.42', '.', '不卖', '的', '发财']",0,197
2022/6/30,9,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '大湾', '区', '的', '媒体', '就是', '垃圾', '！']",-1,209
2022/6/30,10,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '何年何月', '得尝', '所望', '，', '得偿', '所望', '…', '…']",0,218
2022/6/30,11,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '以后', '再也', '不', '追高', '了', '，', '所有', '股票', '就', '这个']",0,226
2022/6/30,12,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '死股', '一只']",0,377
2022/6/30,13,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '来个', '涨停', '吧']",1,227
2022/6/30,14,"['下降', '通道']",-1,384
2022/6/30,15,"['粤', '传媒', ':', '2021', '年', '年度', '股东', '大会决议', '公告']",0,1017
2022/6/30,16,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '说', '别人', '垃圾', '都', '是', '鞭策', '，', '只有', '你', '是', '真垃']",6,220
2022/6/30,17,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '买']",0,214
2022/6/30,18,"['粤', '传媒', '：', '连续', '3', '日', '融资', '净', '偿还', '累计', '1055.4', '万元', '（', '06', '-', '29', '）']",-1,305
2022/6/29,19,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '等', '了', '这么久', '，', '主力', '你', '什么', '时候', '砸', '黄金']",12,379
2022/6/29,20,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '很', '安静', '，', '没什么', '人', '了']",0,181
2022/6/29,21,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '筹码', '连续', '小阳', '，', '兄弟', '们', '，', '光明', '不远', '了']",1,408
2022/6/29,22,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这是', '啥子', '鸭儿', '骗子', '公司', '哦']",-5,349
