id,time,review,read_volume
1,2022/6/30,$粤传媒(SZ002181)$有人说底部筹码没松动，看看这票吧,465
2,2022/6/30,无量调整有机会涨停,377
3,2022/6/30,哪位大神告诉我怎么解套我五块多的成本,840
4,2022/6/30,$粤传媒(SZ002181)$迎接新一轮的狂欢吧，大盘上攻，反,219
5,2022/6/30,$粤传媒(SZ002181)$起码跌个百分之五呢，我们也好买一,195
6,2022/6/30,这只股票玩儿呢啊天天一分钱上下,375
7,2022/6/30,$粤传媒(SZ002181)$买定离手,194
8,2022/6/30,$粤传媒(SZ002181)$出来4.42.不卖的发财,197
9,2022/6/30,$粤传媒(SZ002181)$大湾区的媒体就是垃圾！,209
10,2022/6/30,$粤传媒(SZ002181)$何年何月得尝所望，得偿所望……,218
11,2022/6/30,$粤传媒(SZ002181)$以后再也不追高了，所有股票就这个,226
12,2022/6/30,$粤传媒(SZ002181)$死股一只,377
13,2022/6/30,$粤传媒(SZ002181)$来个涨停吧,227
14,2022/6/30,下降通道,384
15,2022/6/30,粤传媒:2021年年度股东大会决议公告,1017
16,2022/6/30,$粤传媒(SZ002181)$说别人垃圾都是鞭策，只有你是真垃,220
17,2022/6/30,$粤传媒(SZ002181)$买,214
18,2022/6/30,粤传媒：连续3日融资净偿还累计1055.4万元（06-29）,305
19,2022/6/29,$粤传媒(SZ002181)$等了这么久，主力你什么时候砸黄金,379
20,2022/6/29,$粤传媒(SZ002181)$很安静，没什么人了,181
21,2022/6/29,$粤传媒(SZ002181)$筹码连续小阳，兄弟们，光明不远了,408
22,2022/6/29,$粤传媒(SZ002181)$这是啥子鸭儿骗子公司哦,349
23,2022/6/29,$粤传媒(SZ002181)$狗庄,270
24,2022/6/29,$粤传媒(SZ002181)$大盘不好，空仓才是最好的，这股吧,199
25,2022/6/29,$粤传媒(SZ002181)$明天是上车的好时机，不要错过！,171
26,2022/6/29,$粤传媒(SZ002181)$筹码连续小阳，兄弟们，光明不远了,165
27,2022/6/29,这只股票太抗跌了,191
28,2022/6/29,腊鸡，还得等,315
29,2022/6/29,$粤传媒(SZ002181)$明天年线4.18挂单买入，必须的,419
30,2022/6/29,每天流出太少了，不会涨得,283
31,2022/6/29,跟着指数跌 不跟指数涨，这是什么状况,195
32,2022/6/29,$粤传媒(SZ002181)$一分钱玩一天,204
33,2022/6/29,判断方向很重要，我先在外面吃肉！庄家你慢慢磨吧，等,241
34,2022/6/29,快要长了，不用急。你越急他越不长。你就把心态放好一,394
35,2022/6/29,$粤传媒(SZ002181)$反对就对了,652
36,2022/6/29,软不拉几,199
