time,all_num_粤传媒,all_dic_score,粤传媒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,1,-1.00,-1.00,0,0.00,1,-1.00
2021-01-02,1,1.00,1.00,1,1.00,0,0.00
2021-01-03,1,1.00,1.00,1,1.00,0,0.00
2021-01-04,1,1.00,1.00,1,1.00,0,0.00
2021-01-05,1,1.00,1.00,1,1.00,0,0.00
2021-01-06,5,-1.00,-0.07,2,2.00,3,-3.00
2021-01-07,9,5.00,0.68,7,7.00,2,-2.00
2021-01-08,9,9.00,1.00,9,9.00,0,0.00
2021-01-10,4,2.00,0.49,3,3.00,1,-1.00
2021-01-11,18,8.00,0.48,13,13.00,5,-5.00
2021-01-12,15,1.00,0.24,8,8.00,7,-7.00
2021-01-13,24,0.00,0.09,12,12.00,12,-12.00
2021-01-14,17,9.00,0.72,13,13.00,4,-4.00
2021-01-15,12,2.00,-0.31,7,7.00,5,-5.00
2021-01-16,2,0.00,-0.31,1,1.00,1,-1.00
2021-01-17,4,0.00,0.01,2,2.00,2,-2.00
2021-01-18,8,4.00,0.59,6,6.00,2,-2.00
2021-01-19,8,4.00,0.63,6,6.00,2,-2.00
2021-01-20,8,2.00,0.01,5,5.00,3,-3.00
2021-01-21,10,2.00,0.40,6,6.00,4,-4.00
2021-01-22,9,7.00,0.81,8,8.00,1,-1.00
2021-01-23,2,0.00,0.05,1,1.00,1,-1.00
2021-01-24,2,2.00,1.00,2,2.00,0,0.00
2021-01-25,12,0.00,0.28,6,6.00,6,-6.00
2021-01-26,10,6.00,0.77,8,8.00,2,-2.00
2021-01-27,16,6.00,0.45,11,11.00,5,-5.00
2021-01-28,47,25.00,0.77,36,36.00,11,-11.00
2021-01-29,44,-2.00,0.19,21,21.00,23,-23.00
2021-01-31,7,3.00,0.05,5,5.00,2,-2.00
2021-02-01,32,-10.00,-0.27,11,11.00,21,-21.00
2021-02-02,20,-2.00,0.12,9,9.00,11,-11.00
2021-02-03,19,9.00,0.50,14,14.00,5,-5.00
2021-02-04,13,-1.00,0.00,6,6.00,7,-7.00
2021-02-05,10,2.00,0.07,6,6.00,4,-4.00
2021-02-06,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-07,3,-1.00,-0.12,1,1.00,2,-2.00
2021-02-08,10,4.00,0.52,7,7.00,3,-3.00
2021-02-09,7,1.00,0.54,4,4.00,3,-3.00
2021-02-10,11,-7.00,-0.52,2,2.00,9,-9.00
2021-02-15,1,-1.00,-1.00,0,0.00,1,-1.00
2021-02-17,2,0.00,0.44,1,1.00,1,-1.00
2021-02-18,7,1.00,0.17,4,4.00,3,-3.00
2021-02-19,11,5.00,0.09,8,8.00,3,-3.00
2021-02-20,1,1.00,1.00,1,1.00,0,0.00
2021-02-21,2,0.00,0.10,1,1.00,1,-1.00
2021-02-22,5,1.00,0.36,3,3.00,2,-2.00
2021-02-23,10,2.00,0.21,6,6.00,4,-4.00
2021-02-24,17,3.00,0.86,10,10.00,7,-7.00
2021-02-25,7,1.00,0.36,4,4.00,3,-3.00
2021-02-26,9,3.00,0.52,6,6.00,3,-3.00
2021-02-27,4,0.00,0.09,2,2.00,2,-2.00
2021-02-28,7,3.00,0.67,5,5.00,2,-2.00
2021-03-01,13,5.00,0.47,9,9.00,4,-4.00
2021-03-02,3,1.00,0.57,2,2.00,1,-1.00
2021-03-03,6,4.00,0.90,5,5.00,1,-1.00
2021-03-04,7,5.00,0.81,6,6.00,1,-1.00
2021-03-05,12,2.00,0.18,7,7.00,5,-5.00
2021-03-07,4,2.00,0.67,3,3.00,1,-1.00
2021-03-08,7,1.00,0.27,4,4.00,3,-3.00
2021-03-09,7,-3.00,-0.82,2,2.00,5,-5.00
2021-03-10,5,1.00,0.24,3,3.00,2,-2.00
2021-03-11,3,3.00,1.00,3,3.00,0,0.00
2021-03-12,2,2.00,1.00,2,2.00,0,0.00
2021-03-14,6,0.00,0.40,3,3.00,3,-3.00
2021-03-15,7,5.00,0.86,6,6.00,1,-1.00
2021-03-16,13,-1.00,0.34,6,6.00,7,-7.00
2021-03-17,8,0.00,0.43,4,4.00,4,-4.00
2021-03-18,10,0.00,0.16,5,5.00,5,-5.00
2021-03-19,5,-1.00,-0.11,2,2.00,3,-3.00
2021-03-20,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-21,1,1.00,1.00,1,1.00,0,0.00
2021-03-22,7,1.00,0.15,4,4.00,3,-3.00
2021-03-23,6,-6.00,-1.00,0,0.00,6,-6.00
2021-03-24,7,-1.00,0.16,3,3.00,4,-4.00
2021-03-25,7,-1.00,0.17,3,3.00,4,-4.00
2021-03-26,5,3.00,0.57,4,4.00,1,-1.00
2021-03-28,2,2.00,1.00,2,2.00,0,0.00
2021-03-29,3,1.00,0.47,2,2.00,1,-1.00
2021-03-30,38,26.00,0.79,32,32.00,6,-6.00
2021-03-31,21,1.00,0.40,11,11.00,10,-10.00
2021-04-01,9,-3.00,-0.03,3,3.00,6,-6.00
2021-04-02,10,-2.00,0.37,4,4.00,6,-6.00
2021-04-03,3,-1.00,0.18,1,1.00,2,-2.00
2021-04-05,3,-1.00,-0.23,1,1.00,2,-2.00
2021-04-06,4,0.00,0.23,2,2.00,2,-2.00
2021-04-07,4,2.00,0.53,3,3.00,1,-1.00
2021-04-08,3,1.00,0.54,2,2.00,1,-1.00
2021-04-09,9,-1.00,-0.02,4,4.00,5,-5.00
2021-04-10,3,-1.00,-0.29,1,1.00,2,-2.00
2021-04-11,7,1.00,0.35,4,4.00,3,-3.00
2021-04-12,7,-1.00,-0.26,3,3.00,4,-4.00
2021-04-13,5,3.00,0.80,4,4.00,1,-1.00
2021-04-14,14,2.00,0.45,8,8.00,6,-6.00
2021-04-15,19,5.00,0.56,12,12.00,7,-7.00
2021-04-16,18,-4.00,0.06,7,7.00,11,-11.00
2021-04-17,2,0.00,0.42,1,1.00,1,-1.00
2021-04-18,1,1.00,1.00,1,1.00,0,0.00
2021-04-19,8,4.00,0.43,6,6.00,2,-2.00
2021-04-20,11,3.00,0.47,7,7.00,4,-4.00
2021-04-21,9,3.00,0.49,6,6.00,3,-3.00
2021-04-22,9,1.00,0.28,5,5.00,4,-4.00
2021-04-23,9,-1.00,0.27,4,4.00,5,-5.00
2021-04-25,2,2.00,1.00,2,2.00,0,0.00
2021-04-26,6,-2.00,-0.09,2,2.00,4,-4.00
2021-04-27,17,7.00,0.66,12,12.00,5,-5.00
2021-04-28,15,7.00,0.59,11,11.00,4,-4.00
2021-04-29,12,-4.00,-0.24,4,4.00,8,-8.00
2021-04-30,23,9.00,0.50,16,16.00,7,-7.00
