time,no,review,score,read_volume,label
2022/6/30,3,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '涨', '，', '完美', '错过', '，', '大盘', '跌', '，', '紧跟']",8.0,282,1
2022/6/29,10,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '你', '得', '站', '起来', '呀', '，', '不能', '拉', '抽屉']",7.0,283,1
2022/6/28,11,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '亏', '的', '都', '割肉', '吧', '这', '里面', '没有', '主力']",-9.0,290,-1
2022/6/28,14,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '起来', '吧', '！', '拔起来', '！']",7.0,297,1
2022/6/27,17,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '明天', '狂跌', '，', '大盘', '也', '不行', '了']",-8.0,453,-1
2022/6/24,33,"['小', 'z', '装股', '，', '鉴定', '完毕']",5.0,342,1
2022/6/23,43,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '垃圾', '狗庄', '硬', '不', '起来', '，', '要', '多', '吃', '伟哥']",-8.0,266,-1
2022/6/20,63,"['股市', '歧途', '去', '哪里', '？']",-5.0,349,-1
2022/6/20,75,"['维科', '技术', '6', '月', '20', '日', '快速', '上涨']",6.0,271,1
2022/6/17,88,"['维科', '技术', '6', '月', '17', '日', '快速', '上涨']",6.0,236,1
2022/6/16,91,"['徐翔', '和', '公司老总', '是', '兄弟', '，', '随时', '要', '爆发', '的', '。']",-7.0,638,-1
2022/6/15,97,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '惊喜', '即将', '到来']",7.0,535,1
2022/6/15,100,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '涨', '不', '跟', '，', '跌', '的', '时候', '首当其冲', '，']",-5.0,441,-1
2022/6/15,101,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '广东', '宏图', '新高', '了', '，', '一查', '维科', '6', '百多']",8.0,575,1
2022/6/14,112,"['凭借', '七大', '优势', '，', '银盛', '支付', '小', 'Y', '精灵', '赋能', '零售商', '户', '智慧', '经营']",15.0,419,1
2022/6/14,113,"['银盛', '支付', '以', '强劲', '实力', '和', '亮眼', '成绩', '，', '再获', '行业', '奖项', '认可', '作为']",6.0,386,1
2022/6/14,116,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '冲高回落', '主力', '没信心']",5.0,249,1
2022/6/13,118,"['不死不活', '的', '多少', '天', '了', '，', '浪费', '行情']",-12.0,308,-1
2022/6/13,132,"['维科', '技术', '6', '月', '13', '日', '快速', '上涨']",6.0,217,1
2022/6/9,141,"['主力', '大哥', '，', '几百万', '就', '拉', '涨停', '事情', '，', '可怜', '可怜', '咱们', '吧', '[', '龙头', ']']",7.0,557,1
2022/6/9,146,"['6', '元', '以下', '盘整', '的', '时间', '才', '2', '个', '月', '不到', '，', '主力', '没收', '到', '多少', '割肉', '盘']",5.0,419,1
2022/6/9,149,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '看看', '600938600318002728', '坚定', '持有']",5.0,288,1
2022/6/8,150,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '涨', '不', '起来', '，', '跌', '比', '谁', '都', '快']",-7.0,317,-1
2022/6/8,153,"['你', '这个', '股票', '是', '残疾', '了', '吗', '？', '怎么', '能', '这么', '弱', '，', '缺', '胳膊', '还是', '缺腿']",-7.0,596,-1
2022/6/7,158,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '高手', '在', '民间', '，', '谁', '说', '说', '往后', '怎么', '操作']",9.0,646,1
2022/6/7,160,"['维科', '是', '真的', '治', '各种', '抱有幻想', '的', '妖股', '，', '长', '起来', '1', '-', '2', '分', '.', '跌', '起来']",13.0,425,1
2022/6/7,161,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '庄', '，', '跌', '起来', '毫不犹豫', '啊']",8.0,346,1
2022/6/6,164,"['维科', '技术', '，', '扶不起', '的', '阿斗', '。']",-7.0,1261,-1
2022/6/2,172,"['跟', '跌', '不', '跟涨', '，', '浪费', '行情']",-9.0,432,-1
2022/5/31,182,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '主力', '已死', '，', '有事', '烧纸']",7.0,409,1
2022/5/31,184,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '主力', '是', '死', '了', '吗', '，', '大盘', '都', '涨', '啥', '样', '了']",10.0,379,1
2022/5/30,186,"['帮助', '零售', '店铺', '高效', '经营', '，', '首推', '银盛', '支付', '小', 'Y', '精灵', '在', '当前', '社']",17.0,538,1
2022/5/26,197,"['银盛', '支付', '深耕', '支付', '科技', '，', '荣获', '2021', '年', '银联', '受理', '市场', '合作', '贡']",6.0,509,1
2022/5/25,199,"['跌', '起来', '比', '谁', '都', '快', '，', '哎']",6.0,510,1
2022/5/24,209,"['银盛', '支付', '智能', 'POS', '机', '功能', '全面', '，', '让', '商户', '店铺', '经营', '更', '轻松', '智']",8.0,884,1
2022/5/24,210,"['银盛', '支付', '可', '支持', '花', '呗', '分期', '，', '是', '商家', '经营', '的', '好帮手', '作为', '蚂蚁']",10.0,657,1
2022/5/23,219,"['中国', '科学技术', '大学', '俞书宏', '院士', '团队', '与', '姚宏斌', '、', '倪勇', '教授', '团']",7.0,585,1
2022/5/23,221,"['解禁', '股', '抛售', '已', '超过', '90%', '，', '低位', '盘整', '随时', '爆发', '，', '大家', '枕戈待']",-7.0,1110,-1
2022/5/23,230,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '盘感', '良好', '，', '请', '发射', '[', '火箭', ']', '[', '火箭', ']', '[']",5.0,545,1
2022/5/20,235,"['看空', '维科', '技术', '2022', '年', '股价', '压制', '在', '7', '元', '以下']",-7.0,1547,-1
2022/5/20,236,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '恭喜', '大家', '，']",5.0,992,1
2022/5/19,238,"['银盛', '支付', '上线', '“', '小', 'Y', '精灵', '”', '乐收', '插件', '，', '助力', '零售', '行业', '智慧']",15.0,631,1
2022/5/17,246,"['银盛', '支付', '联合', '浦发银行', '升级', '出租车', '支付', '服务', '，', '助力', '都江堰']",5.0,583,1
2022/5/13,269,"['庄股', '太', '明显', '了', '，', '大盘', '大涨', '，', '股价', '死死', '被', '压', '着']",-6.0,502,-1
2022/5/13,273,"['该股', '最近', '一个月', '下跌', '不够', '多', '，', '没有', '反弹', '空间']",-9.0,475,-1
2022/5/11,283,"['你', '能', '不能', '争', '争气']",-5.0,585,-1
2022/5/11,285,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '玩死', '财运', '廣进', '等', '几个', 'SB']",5.0,448,1
2022/5/11,286,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '玩死', '财运', '廣进', '等', '几个', 'SB', '[', '大笑', ']']",5.0,453,1
2022/5/11,288,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '我', '又', '买', '了', '，', '哈哈']",7.0,492,1
2022/5/11,294,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '能', '赚钱', '是', '王道']",5.0,698,1
2022/5/11,299,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这', '伙计', '不', '跟', '板块', '和', '大盘', '的', '吗', '？', '浪费']",7.0,477,1
2022/5/10,315,"['尾盘', '我', '5.34', '放', '托盘', '帮', '你们', '顶啊', '，', '顶到', '主力', '不敢', '再', '打压', '了', '。']",13.0,459,1
2022/5/10,318,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '打回', '原形']",-5.0,411,-1
2022/5/10,336,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '维克', '主力', '咋', '不', '，', '！', '害', '的', '小', '散们', '倾家']",7.0,557,1
2022/5/10,337,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这', '也', '太', '恶心', '了', '吧']",-10.0,388,-1
2022/5/10,356,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '忽悠', '结束', '，', '我', '走', '了', '，', '[', '大笑', ']']",-5.0,481,-1
2022/5/10,357,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '能', '做到', '回回', '一个', '套路', '也', '是', '不简单']",5.0,276,1
2022/5/9,372,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '344', '：', '散', '死死']",-9.0,457,-1
2022/5/9,376,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '哈哈', '，', '有些', '人', '站岗', '了']",7.0,498,1
