time,no,review,score,read_volume
2022/6/30,1,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '卖二到', '卖', '五', '都', '是', '666', '，', '盘口', '暗语', '我']",0,713
2022/6/30,2,"['国家', '盘点']",0,272
2022/6/30,3,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '涨', '，', '完美', '错过', '，', '大盘', '跌', '，', '紧跟']",8,282
2022/6/30,4,"['马法', '黑', '的', '，', '指数', '涨', '又', '不涨', '，', '只', '跟', '跌']",0,268
2022/6/29,5,"['[', '赞', ']', '[', '赞', ']', '[', '赞', ']']",0,287
2022/6/29,6,"['600152', ':', '维科', '技术', '2022', '年', '第一次', '临时', '股东大会', '法律', '意见书']",0,300
2022/6/29,7,"['600152', ':', '维科', '技术', '关于', '公司', '2022', '年', '股票', '期权', '激励', '计划', '内幕']",0,381
2022/6/29,8,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '卖', '的', '傻', '13', '们', '，', '赚', '了', '几个', '钱', '啊', '。', '码', '的']",-1,313
2022/6/29,9,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '去年', '全年', '的', '总营收', '和', '今年', '一季度', '的']",0,356
2022/6/29,10,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '你', '得', '站', '起来', '呀', '，', '不能', '拉', '抽屉']",7,283
2022/6/28,11,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '亏', '的', '都', '割肉', '吧', '这', '里面', '没有', '主力']",-9,290
2022/6/28,12,"['机会', '大于', '风险', '！', '加仓干', '！']",0,315
2022/6/28,13,"['宁波', '国资', '加速', '整合', '产业链', '！', '作为', '宁波', '电池', '行业', '唯一', '国资', '控']",3,938
2022/6/28,14,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '起来', '吧', '！', '拔起来', '！']",7,297
2022/6/27,15,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '狗庄', '已经', '在', '大前天', '开始', '出货', '了', '，', '还']",0,562
2022/6/27,16,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '刚', '出炉', '：', '2021', '年', '维科', '控股', '营业', '收入']",0,1439
2022/6/27,17,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '明天', '狂跌', '，', '大盘', '也', '不行', '了']",-8,453
