id,time,review,read_volume
1,2022/6/30,$维科技术(SH600152)$卖二到卖五都是666，盘口暗语我,713
2,2022/6/30,国家盘点,272
3,2022/6/30,$维科技术(SH600152)$大盘涨，完美错过，大盘跌，紧跟,282
4,2022/6/30,马法黑的，指数涨又不涨，只跟跌,268
5,2022/6/29,[赞][赞][赞],287
6,2022/6/29,600152:维科技术2022年第一次临时股东大会法律意见书,300
7,2022/6/29,600152:维科技术关于公司2022年股票期权激励计划内幕,381
8,2022/6/29,$维科技术(SH600152)$卖的傻13们，赚了几个钱啊。码的,313
9,2022/6/29,$维科技术(SH600152)$去年全年的总营收和今年一季度的,356
10,2022/6/29,$维科技术(SH600152)$你得站起来呀，不能拉抽屉,283
11,2022/6/28,$维科技术(SH600152)$亏的都割肉吧这里面没有主力,290
12,2022/6/28,机会大于风险！加仓干！,315
13,2022/6/28,宁波国资加速整合产业链！作为宁波电池行业唯一国资控,938
14,2022/6/28,$维科技术(SH600152)$起来吧！拔起来！,297
15,2022/6/27,$维科技术(SH600152)$狗庄已经在大前天开始出货了，还,562
16,2022/6/27,$维科技术(SH600152)$刚出炉：2021年维科控股营业收入,1439
17,2022/6/27,$维科技术(SH600152)$明天狂跌，大盘也不行了,453
18,2022/6/27,$维科技术(SH600152)$超短买入,508
19,2022/6/27,$维科技术(SH600152)$还要跌的,532
20,2022/6/27,今天不得跌3个点以上,310
21,2022/6/27,$维科技术(SH600152)$就想问问大家，这货是汽车锂电池,924
22,2022/6/27,$维科技术(SH600152)$我买了中海油和准油股份,195
23,2022/6/27,$维科技术(SH600152)$等5.9再进,366
24,2022/6/27,$维科技术(SH600152)$还要下来的，买入不急，谨防,173
25,2022/6/26,$维科技术(SH600152)$7.15元成本还在1手(忘了出，留到,350
26,2022/6/25,这狗庄，完全控盘了，只能死拿了，小庄股就是这样，危,1119
27,2022/6/24,$维科技术(SH600152)$不求别的，收盘6.2以上就好，毕,512
28,2022/6/24,$维科技术(SH600152)$分时背驰，卖出,401
29,2022/6/24,6.5买的，什么时候能回本？,654
30,2022/6/24,$维科技术(SH600152)$分时背驰，卖出,401
31,2022/6/24,$维科技术(SH600152)$感谢政府，一起发财,321
32,2022/6/24,今天涨停，股权激励确定了,358
33,2022/6/24,小z装股，鉴定完毕,342
34,2022/6/23,今天量相比之前增加一点，股票没涨，明天有点悬，,498
35,2022/6/23,老在6.1 这里不动，是想显示你牛逼吗,560
36,2022/6/23,没人气,279
37,2022/6/23,600152:维科技术2022年第一次临时股东大会会议资料,389
38,2022/6/23,600152:维科技术监事会关于2022年股票期权激励计划首,430
39,2022/6/23,何乌拉，能拉涨停一次吗。。都过大半年了[呲牙],512
40,2022/6/23,维科技术,434
41,2022/6/23,$维科技术(SH600152)$狗庄2000多手托在那边，这是想上,439
42,2022/6/23,$维科技术(SH600152)$我刚买入白内裤概念深振业A，立,279
43,2022/6/23,$维科技术(SH600152)$垃圾狗庄硬不起来，要多吃伟哥,266
44,2022/6/23,$维科技术(SH600152)$1分钟的顶背离，卖出,237
45,2022/6/23,$维科技术(SH600152)$超短线卖出,199
46,2022/6/23,$维科技术(SH600152)$什么鬼？T飞了？,175
47,2022/6/22,$维科技术(SH600152)$压着不让涨几个意思？放开格局,569
48,2022/6/22,$维科技术(SH600152)$明天周四，我先走了,423
49,2022/6/22,加油吧,223
50,2022/6/22,$维科技术(SH600152)$水货,330
51,2022/6/22,假电池！！！！！！！！！！！！,621
52,2022/6/21,$维科技术(SH600152)$你会不会一辈子起不来,548
53,2022/6/21,洗出,518
54,2022/6/21,$维科技术(SH600152)$畜庄,504
55,2022/6/21,维科技术,706
56,2022/6/21,$维科技术(SH600152)$惊弓之鸟，哈哈,389
57,2022/6/20,$维科技术(SH600152)$明天低开高走,526
58,2022/6/20,$维科技术(SH600152)$一分钱玩了一天[好困惑],335
59,2022/6/20,$维科技术(SH600152)$狗庄，看看你爹德赛电池,232
60,2022/6/20,$维科技术(SH600152)$6.1我已卖出，等待5.9买入,527
61,2022/6/20,$维科技术(SH600152)$短线卖出，中长线持有,467
62,2022/6/20,维科技术：拟授予270名激励对象5200万份股票期权,1429
63,2022/6/20,股市歧途去哪里？,349
64,2022/6/20,$维科技术(SH600152)$第二个短线卖出去的机会,357
65,2022/6/20,$维科技术(SH600152)$这个小东西去年和今年一季度的总,415
66,2022/6/20,狗庄去见上帝吧,248
67,2022/6/20,维科技术6月20日盘中涨幅达5%,289
68,2022/6/20,$维科技术(SH600152)$这个垃圾,659
69,2022/6/20,$维科技术(SH600152)$短线卖出,407
70,2022/6/20,$维科技术(SH600152)$扶不上墙,345
71,2022/6/20,$维科技术(SH600152)$又套了一波人，狗庄厉害,194
72,2022/6/20,$维科技术(SH600152)$又套了一波人，狗庄厉害,183
73,2022/6/20,$维科技术(SH600152)$狗庄天天压着，每次都是板块垫底,170
74,2022/6/20,烂泥,147
75,2022/6/20,维科技术6月20日快速上涨,271
76,2022/6/20,今天想大涨啊！,320
77,2022/6/19,员工持股5.64所以股价拉长线必翻倍,888
78,2022/6/19,$维科技术(SH600152)$我满仓去拉了，尽力了,1001
79,2022/6/19,$维科技术(SH600152)$我现在没钱了，如果有钱我就补仓,878
80,2022/6/18,$维科技术(SH600152)$沪指站上3330牛市来了而且电池板,422
81,2022/6/18,$维科技术(SH600152)$第一次站上六十日均线短期冲高回,700
82,2022/6/18,利好[鼓掌],521
83,2022/6/17,今天逆势走，早说了徐翔概念股,649
84,2022/6/17,$维科技术(SH600152)$大盘涨你也跌，大盘跌你也跌，大,433
85,2022/6/17,$维科技术(SH600152)$这个股权激励计划还没落地公司今,368
86,2022/6/17,$维科技术(SH600152)$今天站上六十日均线但冲高回落这,488
87,2022/6/17,$维科技术(SH600152)$等吧，把均线走好最起码要5个月,381
88,2022/6/17,维科技术6月17日快速上涨,236
89,2022/6/17,希望今天能跟上大部队，涨起来，好长时间没大涨过了！,349
90,2022/6/16,$维科技术(SH600152)$什么玩意天天织布下来吧明天低开,357
91,2022/6/16,徐翔和公司老总是兄弟，随时要爆发的。,638
92,2022/6/16,$维科技术(SH600152)$呢妈！不真气,328
93,2022/6/16,$维科技术(SH600152)$,319
94,2022/6/16,$维科技术(SH600152)$这是一个什么怪物股票？,343
95,2022/6/16,$维科技术(SH600152)$有本事使劲跌跌了我就买,564
96,2022/6/16,$维科技术(SH600152)$这票跟跌不跟涨，感觉他把大盘带,350
97,2022/6/15,$维科技术(SH600152)$惊喜即将到来,535
98,2022/6/15,$维科技术(SH600152)$真,327
99,2022/6/15,$维科技术(SH600152)$热烈庆祝新力金融涨停,284
100,2022/6/15,$维科技术(SH600152)$大盘涨不跟，跌的时候首当其冲，,441
