time,no,review,score,read_volume,label
2022/6/30,3,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '资金', '，', '说', '你', '行', '，', '你', '不行', '也', '一定', '行', '，']",-7.0,138,-1
2022/6/30,13,"['腾达', '建设']",5.0,163,1
2022/6/30,20,"['板块', '中', '总是', '那么', '独树一帜', '啊']",7.0,263,1
2022/6/30,28,"['阿斗', '是', '在', '湖南', '出生', '的', '吧', '？', '扶不起', '！']",-7.0,259,-1
2022/6/30,31,"['湖南', '的', '股', '最好', '别玩']",9.0,138,1
2022/6/30,34,"['自从', '买', '了', '你', '完美', '踏空', '整个', '行情']",8.0,246,1
2022/6/30,43,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '这是', '主力', '每天', '都', '在', '出货']",7.0,160,1
2022/6/30,47,"['今天', '绿', '太强了']",7.0,115,1
2022/6/30,52,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '太', 'TM', '恶心', '人', '了', '吧']",-10.0,148,-1
2022/6/30,73,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '这', '股', '算是', '被', '主力', '玩', '废', '了', '，', '一点', '量', '没']",7.0,164,1
2022/6/30,75,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '感谢', '主力', '给', '我', '低价', '买入', '的', '机会', '！']",11.0,361,1
2022/6/30,88,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '够', '恶心', '人', '的', '庄股', '，', '远离', '传媒', '，', '传媒']",-6.0,201,-1
2022/6/30,95,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '这个', '位置', '是', '支撑', '，', '32.3', '全面', '做多']",7.0,205,1
2022/6/30,97,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '给', '大家', '来颗', '定心丸', '，', '北向', '资金', '均价']",7.0,640,1
2022/6/29,102,"['四川人', '手', '一只', '大熊猫', '，', '湖南', '的', '马路边', '都', '能', '偶遇', '明星', '。', '但是']",6.0,253,1
2022/6/29,108,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '回头', '再', '买']",5.0,142,1
2022/6/29,124,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '浪姐', '也', '浪', '不', '起来', '啦']",-7.0,147,-1
2022/6/29,127,"['业绩', '肯定', '又', '不行']",-7.0,126,-1
2022/6/29,137,"['有点', '激动', '呢', '。', '人家', '都', '是', '涨幅', '大', '。', '才', '跌', '。', '你', '最好', '不要', '来', '促热']",8.5,153,1
2022/6/29,140,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '就', '快', '分红', '了', '主力', '不', '拉高', '怎么', '跑', '一部']",6.0,287,1
2022/6/29,145,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '本期', '生生不息', '不错', '，', '挺', '感人', '，', '情绪']",5.5,310,1
2022/6/29,150,"['湖南人', '真', '没用']",-5.0,126,-1
2022/6/29,159,"['浪费', '了', '这么', '好的', '行情']",-6.0,242,-1
2022/6/29,166,"['是不是', '恶意', '压盘', '？']",-7.0,219,-1
2022/6/29,168,"['精通', '膏手', '？', '你', '还', '不', '割肉', '？', '一买', '就', '亏', '，', '3', '天', '不到', '你', '亏', '几个', '点']",5.5,148,1
2022/6/29,185,"['主力', '给', '散户', '砸', '蛋', '了', '！', '应该', '散户', '都', '是', '带', '血', '的', '！']",7.0,148,1
2022/6/29,191,"['真是', '无语']",-5.0,119,-1
2022/6/29,200,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '为了', '披荆斩棘', '2', '提前', '进来', '埋伏', '，', '结']",6.0,168,1
2022/6/28,211,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '如果', '我', '是', '主力', '，', '砸', '到', '27', '以下', '，', '必然']",16.0,400,1
2022/6/28,220,"['这个', '主力', '真是', '大', '聪明', ',', '老', '厉害', '了']",12.0,377,1
2022/6/28,222,"['业绩', '估计', '不行', '，', '有', '资金', '不顾一切', '跑路', '。', '垃圾']",-10.0,140,-1
2022/6/28,224,"['这个', '票', '34', '以下', '随便', '拿', '，', '这', '还', '看不清楚', '吗', '？', '根本', '不要', '看线', '，']",-5.0,806,-1
2022/6/28,226,"['芒果', '幻城', '都', '没用']",-5.0,192,-1
2022/6/28,227,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '耐心', '已经', '被', '磨', '没', '了', '，', '大盘', '都', '涨到', '这']",5.0,292,1
2022/6/28,229,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '莫名其妙', '，', '感觉', '走火入魔', '了', '，', '每天']",-5.0,152,-1
2022/6/28,235,"['公司', '基本面', '很好', '，', '业绩', '逐年', '增长', '，', '就是', '这', '股价', '太', '情绪化']",6.0,238,1
2022/6/28,246,"['XX', '精通', '高手', '就是', '这票', '的', '反向', '操作', '指标', '，', '他', '买', '你们', '清仓', '，', '他']",15.0,154,1
2022/6/28,254,"['真的', '看不懂', '主力', '行为', '，', '好', '行情', '持续', '跌', '是', '为什么', '，', '，', '忍', '无可']",5.0,149,1
2022/6/28,264,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '这个', '价', '随便', '买', '。', '我', '买', '一次', '挣', '一次', '。']",-5.0,147,-1
2022/6/28,269,"['这', '，', '你', '真是', '怎么回事', '啊', '？', '难道', '40', '块钱', '都', '不值', '吗', '？', '机构', '主力']",6.0,173,1
2022/6/28,270,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '主力', '在', '洗', '不好意思', '，', '再', '跌', '我', '就', '好', '要']",6.0,279,1
2022/6/28,273,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '不可', '回收', '垃圾', '板块']",-6.0,125,-1
2022/6/28,276,"['腾讯', '热播', '电视剧', '超前', '点播', '没有', '被取消', '，', '这', '意味着', '长', '视频', '超']",5.0,242,1
2022/6/28,277,"['今天', '换', '套路', '了', '，', '大单', '掩护', '中单', '逃跑', '，', '草', '。']",-6.0,346,-1
2022/6/28,281,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '感谢', '主力', '让', '我', '买入', '，', '34.5', '元', '我', '就', '卖']",10.0,334,1
2022/6/28,283,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '每天', '早晨', '起来', '挂', '37', '卖', '，', '总有一天', '能']",7.0,181,1
2022/6/28,287,"['又', '完蛋']",-5.0,145,-1
2022/6/28,289,['完蛋'],-5.0,140,-1
2022/6/28,291,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '好事', '连连']",-5.0,197,-1
2022/6/27,309,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '今天', '这根', '线', '简直', '太', '难看', '了', '，', '最后', '的']",-10.0,173,-1
2022/6/27,312,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '唉', '，', '早上', '又', '是', '快速', '拉高', '诱多', '，', '整天']",6.0,291,1
2022/6/27,316,"['一', '起来', '朗诵', '股经', '：', '上午', '大涨', '要', '啥', '了', '？']",8.0,184,1
2022/6/27,322,"['没涨', '过', '恒瑞', '哈哈']",21.0,376,1
2022/6/27,342,"['芒果', '超媒', '6', '月', '27', '日', '快速', '上涨']",6.0,245,1
2022/6/27,345,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '牛气', '冲天', '啊', '→', '_', '→', '36', '是', '个', '止盈', '的', '好']",5.0,170,1
2022/6/27,346,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '王姐', '三公', '开始', '称霸', '！']",-5.0,259,-1
2022/6/27,354,"['这', '芒果', '真', '有毒', '，', '横盘', '后', '砸', '坑', '再起', '....']",-5.0,178,-1
2022/6/27,358,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '做空', '就是', '作对', '？', '下场']",-9.0,398,-1
2022/6/27,359,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '感谢', '主力', '，', '怕', '你', '了', '，', '撤退', '了', '，', '赚', '了']",9.0,166,1
2022/6/27,364,"['哈哈', '，', '彻底', '放弃', '治疗', '，', '直接', 'icu', '，', '做空', '太', '一致', '了']",10.0,592,1
2022/6/26,370,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '下周', '淘汰', '我', '刘恋', '，', '芒果', '讨厌', '[', '哭', ']', '[']",-8.0,732,-1
2022/6/24,381,"['上市公司', '大', '股东', '涉嫌', '侵占', '旗下', '上市公司', '电广传媒', '的', '核心', '竞']",-10.0,754,-1
2022/6/24,384,"['No', '你', '一手', '我', '一手', '王心凌', '恬淡', '85']",9.0,276,1
2022/6/24,386,"['这', '两天', '的', '砸盘', '100%', '不是', '主力', '机构', '出货', '手法', '，', '更', '像', '有', '实力', '的']",-7.0,1210,-1
2022/6/24,387,"['浪费', '行情', '，', '建议', '从', '指数', '中', '剔除', '。']",-6.0,266,-1
2022/6/24,389,"['今天', '又', '加仓', '了', '，', '看王', '心凌能', '不能', '夺冠']",-5.0,443,-1
2022/6/24,391,"['收盘', '在', '33.8', '附近', '最好', '吧', '，', '有没有', '大师', '给', '分析', '分析', '[', '大笑', ']']",16.0,448,1
2022/6/24,401,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '大盘', '突破', '半年线', '了', '，', '芒果', '开头', '有种']",8.0,357,1
2022/6/24,402,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '芒果', '骚', '操作', '多', '，', '一公', '直接', '无视', '王心']",-10.0,367,-1
2022/6/24,403,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '估计', '二', '季报', '难看']",-5.0,462,-1
2022/6/24,411,"['漂亮', '又', '绿', '了']",6.0,301,1
2022/6/24,416,"['漂亮', '好帅']",6.0,136,1
2022/6/24,423,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '你', '怎么', '这么', '垃圾', '垃圾', '垃圾', '垃圾', '垃圾']",-5.0,245,-1
2022/6/24,425,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '真是', '上辈子', '干', '了', '缺德', '事儿', '遇到', '这个']",-7.0,267,-1
2022/6/24,429,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '今日', '再', '跌', '，', '就', '赌气', '加仓', '，']",-6.0,349,-1
2022/6/23,436,"['连续', '两年', '放', '巨量', '下跌', '，', '昨天', '尾盘', '选', '了', '这个', '货色', '，', '今天', '补仓']",-6.0,176,-1
2022/6/23,439,"['丢', '不', '丢人']",7.0,121,1
2022/6/23,441,"['一群', '韭菜', '，', '被', '人', '背后', '怂恿', '，', '蜂拥', '而入', '，', '结局', '是', '割肉', '出局', '。']",-5.0,907,-1
2022/6/23,445,"['我靠', '，', '咋', '还', '跌', '呀', '，', '明天', '在', '跌', '，', '开买']",-6.5,177,-1
2022/6/23,455,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '牛B']",7.0,138,1
2022/6/23,456,"['创业板', '指数', '反弹', '涨', '了', '30%', '…', '芒果', '才', '涨', '22%', '？', '这', '基金', '票', '真心', '不']",10.0,168,1
2022/6/23,458,"['现在', '两个', '关键点', '，', '1', '大盘', '向上', '突破', '，', '2', '半年报', '表现', '。', '短期', '就']",10.0,533,1
2022/6/23,468,"['换', '主力', '了', '，', '明天', '涨停']",8.0,290,1
2022/6/23,474,"['又', '在', '疯狂', '出货']",-7.0,352,-1
2022/6/23,477,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '主力', '你', '睡着', '了', '？', '昨天', '创业', '跌', '2', '个点']",9.0,375,1
2022/6/23,478,"['芒果', '股东', '从', '3', '万人', '到', '了', '5', '万人', '这', '是', '主力', '派发', '筹码', '呢', '，', '还', '得', '再']",7.0,357,1
2022/6/23,485,"['希望', '芒果', '明白', '，', '没有', '王心凌', '，', '它', '的', '股票', '一文不值']",7.0,295,1
2022/6/23,489,"['看', '了', '下', '芒果', '，', '小妹', '发表', '点', '看法', '，', '不妥', '之处', '斧正', '~', '从', '日线', '小']",-5.0,294,-1
2022/6/23,492,"['没见', '过', '如此', '的', '主力', ',', '猪力']",21.0,321,1
2022/6/23,495,"['估计', '今天', '34', '都', '保不住']",5.0,537,1
2022/6/23,501,"['规范', '直播', '平台', '，', '限制', '中短', '视频', '政策措施', '31', '条', '！', '利好', '芒果', '长']",5.0,369,1
2022/6/23,505,"['清仓', '了', '，', '远离', '骗子', '公司']",-7.0,165,-1
2022/6/23,510,"['不要跟', '趋势', '作对', '，', '现在', '下跌', '之时', '，', '结合', '各种', '利空', '，', '保命', '要']",-7.0,186,-1
2022/6/23,517,"['芒果', '有毒', '....']",-5.0,157,-1
2022/6/23,518,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '已经', '满仓', '了', '，', '加油', '，', '我', '相信', '心灵']",15.0,253,1
2022/6/23,537,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '前期', '忽悠', '进场', '，', '到', '收割', '的', '时候', '了', '[']",-5.0,173,-1
2022/6/23,542,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '随便', '折腾', '吧', '，', '无所谓', '了', '，', '当', '乌龟', '不']",-12.0,150,-1
2022/6/22,546,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '芒果', '急', '了', '，', '又', '是', '披荆斩棘', '名单', '去', '，']",7.0,207,1
2022/6/22,553,"['教主', '不是', '冠军', '你', '懂', '的', '，', '赔钱', '也', '砸', '[', '微笑', ']']",-6.0,357,-1
2022/6/22,580,"['哈哈', '！', '今天', '入场', '买', '了', '少少', '你', '就', '大跌', '！', '我', '有', '那个', '能量', '？', '[', '偷']",6.0,144,1
2022/6/22,605,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', 'h', '伙计', '们', '，', '起来', '抄底', '了', '[', '买买', '买', ']']",7.0,294,1
2022/6/22,610,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '为了', '支持', '王心凌', '，', '我', '觉得', '本周', '内', '再']",5.0,463,1
2022/6/22,615,"['苟托', '只会', '不停', '忽悠', '是', '洗盘', '。', '这', '货价', '太高', '，', '根本', '不值', '。', '前', '几']",-6.0,161,-1
2022/6/22,623,"['被', '折磨', '的', '没', '了', '一点点', '的', '脾气', '！', '乖乖', '的', '交出', '了', '手中', '的', '筹码', '！']",10.0,975,1
2022/6/22,628,"['坚定', '持股', '！', '必涨']",6.0,225,1
2022/6/22,641,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '不大', '杀', '怎么', '洗', '？', '[', '奸笑', ']']",-6.5,255,-1
2022/6/22,644,"['不看', '了', '，', '看得', '头晕', '恶心']",-5.0,131,-1
2022/6/22,648,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '主力', '砸盘', '了', '，', '快', '跑', '，', '买', '垃圾股', '会', '死']",5.0,153,1
2022/6/22,650,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '天天', '洗', '，', '不怕', '洗掉', '一层', '皮']",5.0,142,1
2022/6/22,651,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '感谢', '专家', '给', '我', '买入', '的', '机会']",7.0,424,1
2022/6/22,652,"['今天', '杀', '融资', '客', '了', '，', '这兴全', '看见', '人', '就', '杀', '，', '吃香', '难看']",-7.0,390,-1
2022/6/22,658,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '每天', '开盘', '砸', '，', '下午', '又', '慢慢', '拉', '起来', '，']",7.0,159,1
2022/6/21,666,"['芒果', '似乎', '要', '突破', '了', '，', '近期', '估计', '有', '大阳线', '甚至', '十几厘米']",7.0,478,1
2022/6/21,688,"['天天', '这样', '不', '突破']",-7.0,368,-1
2022/6/20,696,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '芒果', '不是', '有', '快乐', '购', '直播', '吗', '？', '也', '有', '小']",-5.0,152,-1
2022/6/20,701,"['快乐', '购是', '直播', '购物', '的', '鼻祖', '，', '想不到', '抖音', '也', '不', '直播', '带货']",12.0,231,1
2022/6/20,720,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '老鸭', '头', '吗', '？', '[', '奸笑', ']']",-7.0,428,-1
2022/6/20,732,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '最近', '这股', '趁', '大盘', '涨', '疯狂', '出货', '，', '要么']",-6.0,191,-1
2022/6/20,738,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '等', '突破', '5', '周线', '短线', '加仓', '。']",7.0,239,1
2022/6/19,742,"['芒果', '修音师', '是', '个', '人才']",7.0,234,1
2022/6/19,744,"['什么', '时候', '能', '突破', '，', '还', '在', '各种', '震荡', '洗盘']",7.0,249,1
2022/6/18,753,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '别提', '什么', '心灵', '男孩', '，', '马上', '炒二', '季报']",12.0,247,1
2022/6/18,754,"['资本', '太', '邪恶', '。', '为了', '打压', '王', '人气', '，', '抬高自己', '人', '故意', '从', '选歌', '上']",-20.0,452,-1
2022/6/18,755,"['新', '节目', '又', '扑', '了', '，', '早说', '应该', '请', '宁静', '和', '许晴互', '撕', '。']",5.0,538,1
2022/6/18,757,"['$', '芒果', '超媒', '(', 'SZ300413', ')', '$', '我', '是', '谭', '维维', '粉', '，', '周一', '进场', '绞杀', '空头']",-10.0,309,-1
2022/6/17,760,"['其他', '的', '票', '随便', '洗洗', '，', '随便', '涨涨', '。', '芒果', '的', '票', '洗', '都', '洗', '不', '出来']",-10.0,357,-1
