time,all_num_芒果超媒,all_dic_score,芒果超媒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,3,1.00,0.64,2,2.00,1,-1.00
2021-01-02,3,-3.00,-1.00,0,0.00,3,-3.00
2021-01-03,5,5.00,1.00,5,5.00,0,0.00
2021-01-04,17,5.00,0.27,11,11.00,6,-6.00
2021-01-05,55,-3.00,0.11,26,26.00,29,-29.00
2021-01-06,31,15.00,0.63,23,23.00,8,-8.00
2021-01-07,16,8.00,0.60,12,12.00,4,-4.00
2021-01-08,32,12.00,0.70,22,22.00,10,-10.00
2021-01-09,2,0.00,-0.14,1,1.00,1,-1.00
2021-01-10,15,13.00,0.96,14,14.00,1,-1.00
2021-01-11,60,36.00,0.85,48,48.00,12,-12.00
2021-01-12,32,12.00,-0.34,22,22.00,10,-10.00
2021-01-13,44,24.00,0.75,34,34.00,10,-10.00
2021-01-14,18,6.00,0.61,12,12.00,6,-6.00
2021-01-15,24,16.00,0.84,20,20.00,4,-4.00
2021-01-16,4,4.00,1.00,4,4.00,0,0.00
2021-01-17,5,3.00,0.73,4,4.00,1,-1.00
2021-01-18,19,3.00,0.24,11,11.00,8,-8.00
2021-01-19,22,4.00,0.41,13,13.00,9,-9.00
2021-01-20,22,8.00,0.48,15,15.00,7,-7.00
2021-01-21,36,8.00,0.36,22,22.00,14,-14.00
2021-01-22,31,19.00,0.68,25,25.00,6,-6.00
2021-01-23,7,3.00,0.61,5,5.00,2,-2.00
2021-01-24,9,7.00,0.77,8,8.00,1,-1.00
2021-01-25,21,5.00,0.47,13,13.00,8,-8.00
2021-01-26,53,23.00,0.76,38,38.00,15,-15.00
2021-01-27,25,15.00,0.82,20,20.00,5,-5.00
2021-01-28,34,10.00,0.57,22,22.00,12,-12.00
2021-01-29,20,12.00,0.75,16,16.00,4,-4.00
2021-01-30,4,2.00,0.81,3,3.00,1,-1.00
2021-01-31,4,4.00,1.00,4,4.00,0,0.00
2021-02-01,21,9.00,0.64,15,15.00,6,-6.00
2021-02-02,21,15.00,0.82,18,18.00,3,-3.00
2021-02-03,29,15.00,0.37,22,22.00,7,-7.00
2021-02-04,21,1.00,0.35,11,11.00,10,-10.00
2021-02-05,20,10.00,0.54,15,15.00,5,-5.00
2021-02-06,3,1.00,0.62,2,2.00,1,-1.00
2021-02-07,11,11.00,1.00,11,11.00,0,0.00
2021-02-08,25,1.00,0.26,13,13.00,12,-12.00
2021-02-09,18,2.00,0.46,10,10.00,8,-8.00
2021-02-10,75,-13.00,-0.02,31,31.00,44,-44.00
2021-02-11,10,-2.00,0.10,4,4.00,6,-6.00
2021-02-12,10,6.00,0.70,8,8.00,2,-2.00
2021-02-13,1,1.00,1.00,1,1.00,0,0.00
2021-02-15,2,0.00,0.46,1,1.00,1,-1.00
2021-02-16,3,3.00,1.00,3,3.00,0,0.00
2021-02-17,7,-1.00,-0.11,3,3.00,4,-4.00
2021-02-18,153,-21.00,0.04,66,66.00,87,-87.00
2021-02-19,59,5.00,0.20,32,32.00,27,-27.00
2021-02-20,12,6.00,0.70,9,9.00,3,-3.00
2021-02-21,7,1.00,0.72,4,4.00,3,-3.00
2021-02-22,91,-11.00,-0.01,40,40.00,51,-51.00
2021-02-23,62,10.00,0.22,36,36.00,26,-26.00
2021-02-24,101,3.00,0.56,52,52.00,49,-49.00
2021-02-25,104,-12.00,0.05,46,46.00,58,-58.00
2021-02-26,97,21.00,0.28,59,59.00,38,-38.00
2021-02-27,18,6.00,0.58,12,12.00,6,-6.00
2021-02-28,12,12.00,1.00,12,12.00,0,0.00
2021-03-01,34,16.00,0.82,25,25.00,9,-9.00
2021-03-02,36,12.00,0.71,24,24.00,12,-12.00
2021-03-03,28,6.00,0.61,17,17.00,11,-11.00
2021-03-04,39,9.00,0.91,24,24.00,15,-15.00
2021-03-05,29,5.00,0.27,17,17.00,12,-12.00
2021-03-06,6,4.00,0.91,5,5.00,1,-1.00
2021-03-07,2,2.00,1.00,2,2.00,0,0.00
2021-03-08,41,11.00,0.51,26,26.00,15,-15.00
2021-03-09,35,1.00,-0.43,18,18.00,17,-17.00
2021-03-10,52,4.00,0.67,28,28.00,24,-24.00
2021-03-11,74,10.00,0.42,42,42.00,32,-32.00
2021-03-12,89,-1.00,0.51,44,44.00,45,-45.00
2021-03-13,6,-2.00,-0.61,2,2.00,4,-4.00
2021-03-14,7,5.00,0.79,6,6.00,1,-1.00
2021-03-15,76,-4.00,-0.22,36,36.00,40,-40.00
2021-03-16,75,-15.00,0.26,30,30.00,45,-45.00
2021-03-17,44,4.00,0.21,24,24.00,20,-20.00
2021-03-18,50,18.00,0.46,34,34.00,16,-16.00
2021-03-19,47,1.00,0.22,24,24.00,23,-23.00
2021-03-20,3,-1.00,-0.25,1,1.00,2,-2.00
2021-03-21,6,2.00,0.60,4,4.00,2,-2.00
2021-03-22,83,3.00,0.11,43,43.00,40,-40.00
2021-03-23,38,8.00,0.36,23,23.00,15,-15.00
2021-03-24,44,8.00,0.12,26,26.00,18,-18.00
