time,no,review,score,read_volume,label
2022/6/30,1,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '迈为', '明显', '不', '跟', '大盘', '，', '走', '的', '是', '独立', '行']",0.0,712,1
2022/6/30,2,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '[', '哭', ']', '还是', '你好', '，', '隔壁', '日升', '天天', '升', '不']",0.0,1436,1
2022/6/30,3,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '投资', '50']",0.0,169,1
2022/6/30,4,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '基于', '对', '迈为', '的', '深度', '研究', '，', '任尔', '东西']",0.0,432,1
2022/6/30,5,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '486', '一线', '，', '还', '得', '振', '震荡', '，', '紧固', '一段']",1.0,246,1
2022/6/30,6,"['资金', '在', '出逃']",-3.0,209,-1
2022/6/30,7,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '典型', '的', '拉高', '出货', '手法']",2.0,302,1
2022/6/30,8,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '确定无疑', '了', '是', '在', '横盘', '出货']",1.0,203,1
2022/6/30,9,"['300981', '。', '超跌', '！']",-1.0,548,-1
2022/6/30,10,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '确定无疑', '了', '是', '在', '横扫', '出货']",1.0,760,1
2022/6/30,11,"['快', '翻翻', '啦']",0.0,206,-1
2022/6/30,12,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '守正', '出奇']",0.0,604,1
2022/6/30,13,"['空狗', '天天', '叫', '，', '我们', '天天', '十几块', '的', '差价', '跟着', '做', 'T', '，', '我要', '笑', '死']",0.0,697,-1
2022/6/30,14,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '分歧', '是', '买点']",-1.0,443,1
2022/6/30,15,"['迈为', '股份', '：', '融资', '净', '偿还', '3068.09', '万元', '，', '融资', '余额', '6.1', '亿元', '（']",-1.0,736,1
2022/6/30,16,"['迈为', '股份', '06', '月', '29', '日', '获深', '股通', '增持', '14.83', '万股']",1.0,238,1
2022/6/29,17,"['跑赢', '板块', '，', '迈为', '后面', '会', '不断', '的', '创新高']",2.0,217,1
2022/6/29,18,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '缺口', '450', '…', '…', '你', '说', '他', '补不补', '…', '…']",-1.0,239,1
2022/6/29,19,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '均线', '粘']",0.0,248,1
2022/6/29,20,"['能否', '给', '我', '来', '一个', '涨停', '又', '出来', '了', '，', '完', '了', '，', '明天', '还', '得', '继续', '跌']",0.5,264,1
2022/6/29,21,"['准备', '开始', '慢慢', '把', '减', '的', '加回来', '了']",0.0,940,1
2022/6/29,22,"['迈为', '股份', '6', '月', '29', '日', '盘中', '跌幅', '达', '5%']",-1.0,333,1
2022/6/29,23,"['感觉', '迈为', '又', '要', '扛起', '护盘', '的', '任务', '了', '[', '大哭', ']']",0.0,1014,1
2022/6/29,24,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '机会']",1.0,486,1
2022/6/29,25,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '杂毛', '都', '倒下', '了', '…', '…', '就', '看', '你', '了', '…', '…']",-1.0,1265,1
2022/6/29,26,"['迈为', '股份', '06', '月', '22', '日', '获深', '股通', '增持', '33.46', '万股']",1.0,978,1
2022/6/29,27,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '和', '迈为', '一起', '成长', '，', '共享', '发展', '红利']",2.0,1556,1
2022/6/29,29,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', 'PE', '有点', '高', '啦', '，', '昨天', '大族', '激光', '回复', '说']",0.0,851,1
2022/6/29,30,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '收盘', '505.6']",0.0,915,1
2022/6/29,32,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '能发', '的', '利好', '发完', '了', '，', '定增', '的', '机构', '也']",1.0,577,1
