time,no,review,score,read_volume,label
2022/6/29,28,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '迈为', '真的', '很棒', '，', '稳如泰山', '，', '一鸣', '惊']",8.0,307,1
2022/6/29,31,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '迈为', '估计', '是', '到头', '啦', '，', '还会', '突破', '510']",21.0,455,1
2022/6/28,52,"['迈为', '---', '人心所向', '！']",5.0,448,1
2022/6/28,61,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '劝', '你们', '放弃', '抵抗', '，', '不要', '抱有幻想', '，']",-5.0,171,-1
2022/6/27,65,"['HJ', 'T', '和', 'TOPCon', '谁', '能', '笑', '到', '最后', '还', '很难说', '，', '目前', '市场', '只是', '在', '反']",-7.0,503,-1
2022/6/27,67,"['HJ', 'T', '中长期', '降本', '空间', '广阔', '。', '成本', '方面', '，', '目前', 'HJ', 'T', '单瓦', '成本', '仍']",-9.0,377,-1
2022/6/27,68,"['HJ', 'T', '产线', '设备', '基本', '实现', '国产化', '，', '随着', '行业', '加速', '扩产', '，', 'HJ', 'T', '设']",-12.0,247,-1
2022/6/27,72,"['数板', '人', '喜欢', '讨骂', '！']",5.0,183,1
2022/6/27,92,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '看看', '这个', '涨停', '的', '帖子', '，', '这才', '是', '坚定']",6.0,371,1
2022/6/27,96,"['HJ', 'T', '路线', '，', '目前', '技术', '角度', '没有', '绝对', '龙头', '，', '各家', '成本', '差不多']",-8.5,381,-1
2022/6/27,101,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '新高', '了', '，', '恭喜', '咱们']",6.0,350,1
2022/6/27,108,"['$', '迈为', '股份', '(', 'SZ300751', ')', '$', '这', '是不是', '又', '一', '光伏', '幌子', '？']",-5.0,193,-1
2022/6/24,124,"['光伏', '今天', '主打', '的', '板块', '是', 'HJ', 'T', '电池', '概念', '，', '金刚', '玻璃', '、', '明冠新']",-7.0,579,-1
