id,time,review,read_volume
1,2022/6/30,$迈为股份(SZ300751)$迈为明显不跟大盘，走的是独立行,712
2,2022/6/30,$迈为股份(SZ300751)$[哭]还是你好，隔壁日升天天升不,1436
3,2022/6/30,$迈为股份(SZ300751)$$达意隆(SZ002209)$达意隆投资50,169
4,2022/6/30,$迈为股份(SZ300751)$基于对迈为的深度研究，任尔东西,432
5,2022/6/30,$迈为股份(SZ300751)$486一线，还得振震荡，紧固一段,246
6,2022/6/30,资金在出逃,209
7,2022/6/30,$迈为股份(SZ300751)$典型的拉高出货手法,302
8,2022/6/30,$迈为股份(SZ300751)$确定无疑了是在横盘出货,203
9,2022/6/30,300981。超跌！,548
10,2022/6/30,$迈为股份(SZ300751)$确定无疑了是在横扫出货,760
11,2022/6/30,快翻翻啦,206
12,2022/6/30,$迈为股份(SZ300751)$守正出奇,604
13,2022/6/30,空狗天天叫，我们天天十几块的差价跟着做T，我要笑死,697
14,2022/6/30,$迈为股份(SZ300751)$分歧是买点,443
15,2022/6/30,迈为股份：融资净偿还3068.09万元，融资余额6.1亿元（,736
16,2022/6/30,迈为股份06月29日获深股通增持14.83万股,238
17,2022/6/29,跑赢板块，迈为后面会不断的创新高,217
18,2022/6/29,$迈为股份(SZ300751)$缺口450……你说他补不补……,239
19,2022/6/29,$迈为股份(SZ300751)$$达意隆(SZ002209)$达意隆均线粘,248
20,2022/6/29,能否给我来一个涨停又出来了，完了，明天还得继续跌,264
21,2022/6/29,准备开始慢慢把减的加回来了,940
22,2022/6/29,迈为股份6月29日盘中跌幅达5%,333
23,2022/6/29,感觉迈为又要扛起护盘的任务了[大哭],1014
24,2022/6/29,$迈为股份(SZ300751)$机会,486
25,2022/6/29,$迈为股份(SZ300751)$杂毛都倒下了……就看你了……,1265
26,2022/6/29,迈为股份06月22日获深股通增持33.46万股,978
27,2022/6/29,$迈为股份(SZ300751)$和迈为一起成长，共享发展红利,1556
28,2022/6/29,$迈为股份(SZ300751)$迈为真的很棒，稳如泰山，一鸣惊,307
29,2022/6/29,$迈为股份(SZ300751)$PE有点高啦，昨天大族激光回复说,851
30,2022/6/29,$迈为股份(SZ300751)$收盘505.6,915
31,2022/6/29,$迈为股份(SZ300751)$迈为估计是到头啦，还会突破510,455
32,2022/6/29,$迈为股份(SZ300751)$能发的利好发完了，定增的机构也,577
33,2022/6/29,$迈为股份(SZ300751)$正式拉开暴跌序幕，至少三个月的,317
34,2022/6/29,$迈为股份(SZ300751)$五日线上加仓,340
35,2022/6/29,迈为股份：融资净偿还1897.68万元，融资余额6.4亿元（,335
36,2022/6/29,垃圾股涨上天，明天低开低走跌的你们裤衩都没了,893
37,2022/6/29,$迈为股份(SZ300751)$干吧……小宝贝,264
38,2022/6/29,$迈为股份(SZ300751)$骂我的人出来，跌死你们,244
39,2022/6/29,$迈为股份(SZ300751)$让你们得瑟，今天全埋了你们,551
40,2022/6/29,迈为股份06月28日获深股通增持9.31万股,643
41,2022/6/29,指望迈为跟那些垃圾票一样天天暴涨暴跌的还是别呆着了,424
42,2022/6/29,$迈为股份(SZ300751)$票是好票，价格高了，这应该是20,340
43,2022/6/28,好垃圾,435
44,2022/6/28,安徽华晟的发布会情况怎么样,436
45,2022/6/28,看我干啥…夹菜啊…,196
46,2022/6/28,总之给迈为一点耐心，迈为会给你好的回报，当时还在低,315
47,2022/6/28,$迈为股份(SZ300751)$家人们，宝子们，迈为这是横盘啊,219
48,2022/6/28,目前盈39个点感谢迈为,183
49,2022/6/28,$迈为股份(SZ300751)$下午涨停,433
50,2022/6/28,隆基+迈为！光伏不败～～,459
51,2022/6/28,$迈为股份(SZ300751)$一些看的是假股票吗？迈为跌了一,499
52,2022/6/28,迈为---人心所向！,448
53,2022/6/28,青海加快建设世界级盐湖产业基地，严重低估的中国盐湖,432
54,2022/6/28,$迈为股份(SZ300751)$强势股日内调整都是机会,413
55,2022/6/28,$迈为股份(SZ300751)$回顾这周交易推荐的那么多票基本,280
56,2022/6/28,吹这么多干什么？开瓶酒 喝一口...不好吗？,248
57,2022/6/28,$迈为股份(SZ300751)$家人们，这是横盘啊，横盘是出货,137
58,2022/6/28,销量一直在增加,222
59,2022/6/28,$迈为股份(SZ300751)$日内调整,166
60,2022/6/28,$迈为股份(SZ300751)$看到500,234
61,2022/6/28,$迈为股份(SZ300751)$劝你们放弃抵抗，不要抱有幻想，,171
62,2022/6/28,迈为股份：连续5日融资净买入累计1.34亿元（06-27）,263
63,2022/6/28,$迈为股份(SZ300751)$一个字……干就完了……胆大吃饱,305
64,2022/6/28,迈为股份06月27日被深股通减持3.54万股,642
65,2022/6/27,HJT和TOPCon谁能笑到最后还很难说，目前市场只是在反,503
66,2022/6/27,金刚玻璃明天又是20%迈为股份跟着喝点汤,283
67,2022/6/27,HJT中长期降本空间广阔。成本方面，目前HJT单瓦成本仍,377
68,2022/6/27,HJT产线设备基本实现国产化，随着行业加速扩产，HJT设,247
69,2022/6/27,$迈为股份(SZ300751)$我去年12月买的，除权后452成本,225
70,2022/6/27,利好出货了,353
71,2022/6/27,$迈为股份(SZ300751)$明日冲刺20cm复制金刚玻璃走势,184
72,2022/6/27,数板人喜欢讨骂！,183
73,2022/6/27,迈为股份盘中最高509.39元，股价创近一年新高,233
74,2022/6/27,$迈为股份(SZ300751)$高位十字星，不死也重伤,361
75,2022/6/27,今天结痂崩，明天就轮到迈为崩了，明天我开盘就跑,435
76,2022/6/27,$迈为股份(SZ300751)$今日危险，大幅低开，记得止损出,481
77,2022/6/27,$迈为股份(SZ300751)$兄弟们，啥也不说了，就想感谢城,376
78,2022/6/27,啥意思,440
79,2022/6/27,$迈为股份(SZ300751)$卖出了一部分，等调整再买回来，,447
80,2022/6/27,506一群减持够一直在汪汪,178
81,2022/6/27,减持见人赶紧啊墨迹啥,181
82,2022/6/27,$迈为股份(SZ300751)$稳，机会,293
83,2022/6/27,庄家的套路是，把低智商的韭菜猪养肥了再杀,770
84,2022/6/27,$迈为股份(SZ300751)$走了，换开勒股份301070,178
85,2022/6/27,开始减持跑了，可惜这群够没招呼好,963
86,2022/6/27,牛逼是真的牛逼,544
87,2022/6/27,大家记住350开始一直唱空的两了吗,284
88,2022/6/27,目前光伏PERC电池、PERC+电池转换效率已接近天花板，T,179
89,2022/6/27,$迈为股份(SZ300751)$在考虑是否将垃圾捷佳那点仓位都,531
90,2022/6/27,470填权价，马上要填权了，也要马上历史新高了，并不,376
91,2022/6/27,机构这种日子应该把迈为股份拉个20%,839
92,2022/6/27,$迈为股份(SZ300751)$看看这个涨停的帖子，这才是坚定,371
93,2022/6/27,$迈为股份(SZ300751)$这么好的股票还有唱空，老子捷佳,864
94,2022/6/27,$迈为股份(SZ300751)$稳点好，不停涨，涨不停，星辰大,400
95,2022/6/27,$迈为股份(SZ300751)$高开低走！谁买套谁,663
96,2022/6/27,HJT路线，目前技术角度没有绝对龙头，各家成本差不多,381
97,2022/6/27,$迈为股份(SZ300751)$最后跑路的机会，各路假股神只要,560
98,2022/6/27,$迈为股份(SZ300751)$珍惜迈为股份最后上车机会，金刚,481
99,2022/6/27,对不起迈为，都是捷佳拖你后腿,239
100,2022/6/27,$迈为股份(SZ300751)$不要急，看他表演,1038
101,2022/6/27,$迈为股份(SZ300751)$新高了，恭喜咱们,350
102,2022/6/27,价格越高！散户不会买！就会出现机构对倒！那么大宗交,1166
103,2022/6/27,迈为股份6月27日开盘涨幅达5%,299
104,2022/6/27,$迈为股份(SZ300751)$,330
105,2022/6/27,$迈为股份(SZ300751)$追吧……你不买它就会一直涨到你,221
106,2022/6/27,迈为股份：连续4日融资净买入累计1.04亿元（06-24）,347
107,2022/6/27,锁定2万订单，进华为智选，华为自动驾驶第一股十倍起,893
108,2022/6/27,$迈为股份(SZ300751)$这是不是又一光伏幌子？,193
109,2022/6/27,$迈为股份(SZ300751)$开盘就抢……慢一秒你都抢不到…,241
110,2022/6/26,再创历史新高指日可待。,174
111,2022/6/26,迈为股份本周获深股通增持4.87亿元，周内增持市值两市,467
112,2022/6/26,$迈为股份(SZ300751)$,540
113,2022/6/26,$迈为股份(SZ300751)$华晟发布会大超预期,478
114,2022/6/26,迈为股份本周融资净买入8334.42万元，居专用设备板块,540
115,2022/6/26,$迈为股份(SZ300751)$再强调一遍：捷佳伟创低位上来翻,535
116,2022/6/25,迈为的表现赞！最难受的是数板人了。,502
117,2022/6/25,市值做到1000亿，迈为股份的股价就是578元，迈为继续,147
118,2022/6/25,$迈为股份(SZ300751)$立帖为证：迈为明天跌不到370以,485
119,2022/6/25,迈为股份06月24日获深股通增持23.35万股,171
120,2022/6/25,$迈为股份(SZ300751)$炒作错了可能连续跌停。欧美开会,761
121,2022/6/25,很明显迈为今年的主升浪才刚刚开始,600
122,2022/6/25,我靠，499块钱买的啥时候解套,514
123,2022/6/24,大宗交易：机构账户买入迈为股份517.32万元（06-24）,584
124,2022/6/24,光伏今天主打的板块是HJT电池概念，金刚玻璃、明冠新,579
125,2022/6/24,$迈为股份(SZ300751)$再次提醒，拉高出货了，暴跌趋势,153
126,2022/6/24,$迈为股份(SZ300751)$明天金刚的发布会，迈为是否会参,390
127,2022/6/24,$迈为股份(SZ300751)$今天追进去的，恭喜牢底坐穿！[,179
128,2022/6/24,$迈为股份(SZ300751)$横扫出货了，随时暴跌，建议还没,166
129,2022/6/24,$迈为股份(SZ300751)$横盘出货了，随时暴跌，建议还没,180
130,2022/6/24,迈为股份06月17日获深股通增持78.91万股,174
131,2022/6/24,$迈为股份(SZ300751)$主力出货出的很坚决,192
132,2022/6/24,$迈为股份(SZ300751)$稳一点更好,200
133,2022/6/24,$迈为股份(SZ300751)$日内调整，好,189
134,2022/6/24,$迈为股份(SZ300751)$解禁股401的成本，还不砸盘吗？,523
135,2022/6/24,$迈为股份(SZ300751)$牛逼,264
136,2022/6/24,280买入的，淡定持有,197
137,2022/6/24,$迈为股份(SZ300751)$yyds爱了,2108
138,2022/6/24,$迈为股份(SZ300751)$都新高了，还有人看不起唱多的，,505
139,2022/6/24,估计500到头了，毕竟前期高点也就是501,414
140,2022/6/24,怎么回事,192
141,2022/6/24,不要慌，正常操作，骗炮一波，回落了,162
142,2022/6/24,$迈为股份(SZ300751)$估计空狗又要对比迈为涨的不多，,549
143,2022/6/24,$迈为股份(SZ300751)$多么熟悉的套路，盘后让傀儡小弟,598
144,2022/6/24,迈为股份6月24日快速回调,172
145,2022/6/24,哪个机构组织的会？多发点消息吧,183
146,2022/6/24,$迈为股份(SZ300751)$今天第一目标：485！第二目标价,158
147,2022/6/24,$迈为股份(SZ300751)$还不去金辰、捷佳？？？？！！！,505
148,2022/6/24,迈为股份：实际控制人、控股股东之一周剑累计质押股数,200
149,2022/6/24,牛逼牛逼,377
150,2022/6/24,$迈为股份(SZ300751)$卧槽什么鬼,240
151,2022/6/24,稳住啊,329
152,2022/6/24,迈为股份6月24日快速上涨,168
153,2022/6/24,这是要冲涨停吗,259
154,2022/6/24,$迈为股份(SZ300751)$如果创新高，对整个市场特别是新,1228
155,2022/6/24,牛逼哄哄,205
156,2022/6/24,牛逼哄哄,249
157,2022/6/24,$迈为股份(SZ300751)$卧槽什么鬼,473
158,2022/6/24,迈为股份6月24日开盘涨幅达5%,972
159,2022/6/24,，卖飞了,179
160,2022/6/24,$迈为股份(SZ300751)$出发，心中有远方,980
161,2022/6/24,$迈为股份(SZ300751)$牛逼就是牛逼,289
162,2022/6/24,创新高，加油！！！,759
163,2022/6/24,$迈为股份(SZ300751)$冲冲冲,1008
164,2022/6/24,$迈为股份(SZ300751)$明天过480，冲500。冲啊。,781
165,2022/6/24,最优秀的一只、填权成功了,319
166,2022/6/24,$迈为股份(SZ300751)$创业板就是好，山顶买的还能解套,867
167,2022/6/24,$迈为股份(SZ300751)$严重透支未来100才是合理价位,5002
168,2022/6/24,$迈为股份(SZ300751)$太给力了,776
169,2022/6/24,迈为股份：连续3日融资净买入累计9978.19万元（06-23,839
170,2022/6/24,牛B，隆基再次刷新HJT电池效率世界纪录！,854
171,2022/6/24,迈为股份06月23日获深股通增持13.93万股,409
172,2022/6/24,30年！新型钙钛矿光伏电池寿命已超越硅基电池,682
173,2022/6/24,我两百多一直拿着，看好他未来。,749
174,2022/6/23,$迈为股份(SZ300751)$你们自己看看其他的光伏股，你们,609
175,2022/6/23,$迈为股份(SZ300751)$你们还有谁在怀疑我说的吗？换金,330
176,2022/6/23,北上资金天天流入，持续看多[鼓掌],483
177,2022/6/23,放量下跌，死翘翘,1240
178,2022/6/23,大伙儿快逃啊，解禁股的凶残大家都懂的，没必要去做炮,326
179,2022/6/23,$迈为股份(SZ300751)$换金辰、捷佳！！！！换金辰、捷,331
180,2022/6/23,你就是捷佳托走远点,180
181,2022/6/23,$迈为股份(SZ300751)$捷佳伟创，这是要把迈为踩在脚下,500
182,2022/6/23,捷佳业绩碾压迈为，技术碾压京山,191
183,2022/6/23,$迈为股份(SZ300751)$空狗们呢出来叭叭啊,397
184,2022/6/23,$迈为股份(SZ300751)$,476
185,2022/6/23,$迈为股份(SZ300751)$牛回……速归……转巨款……干…,342
186,2022/6/23,昨天是主力洗筹，吓跑了很多不坚定分子,376
187,2022/6/23,$迈为股份(SZ300751)$,341
188,2022/6/23,$迈为股份(SZ300751)$怎么又涨了，你让空狗怎么活，怎,345
189,2022/6/23,到底啥利好朱莉哥这么饥不择食,482
190,2022/6/23,$迈为股份(SZ300751)$同志们，赶紧上车，刺骨今日会涨,536
191,2022/6/23,买，下午涨停,187
192,2022/6/23,迈为股份：签订国有土地使用权出让合同,832
193,2022/6/23,$迈为股份(SZ300751)$$ST步森(SZ002569)$股东股数4965,457
194,2022/6/23,$迈为股份(SZ300751)$$ST步森(SZ002569)$股东股数4965,371
195,2022/6/23,震荡盘升，再创历史新高不是梦。,548
196,2022/6/23,迈为股份：5789.38万元拿地 用于建设异质结太阳能电池,160
197,2022/6/23,迈为股份：融资净买入3409.6万元，融资余额5.82亿元（,459
198,2022/6/23,$迈为股份(SZ300751)$危……,163
199,2022/6/23,$迈为股份(SZ300751)$温馨提示：解禁的闸门已经打开，,186
200,2022/6/23,$迈为股份(SZ300751)$金刚玻璃应该跟上这个节奏吧！这,166
201,2022/6/23,这股怎么这么贵？？,192
202,2022/6/22,//@平易近人之西维亚 :转发,157
203,2022/6/22,警惕内地北向资金出逃，,187
204,2022/6/22,迈为股份:关于签订国有土地使用权出让合同暨取得剩余,181
205,2022/6/22,$迈为股份(SZ300751)$昨天加仓今天反包没问题吧[吃瓜],163
206,2022/6/22,一边做理财产品一边做定增,170
207,2022/6/22,$迈为股份(SZ300751)$今天最好减仓到一层,176
208,2022/6/22,$迈为股份(SZ300751)$暴跌趋势正式确立了，赶紧清仓，,154
209,2022/6/22,$迈为股份(SZ300751)$降低一层仓，后面继续吧[干杯],158
210,2022/6/22,海目星与均达股份,369
211,2022/6/22,不到三个月应该填权成功、A股最强大的一个,179
212,2022/6/22,今天可以见到460,193
213,2022/6/22,$迈为股份(SZ300751)$狗呢，狗呢，数版人和一些小号的,414
214,2022/6/22,$迈为股份(SZ300751)$短期见顶了……最少也是今年的大,163
215,2022/6/22,说解禁的人出来啊聊聊,214
216,2022/6/22,$迈为股份(SZ300751)$502.99新高今天实现,1102
