time,all_num_迈为股份,all_dic_score,迈为股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,5,3.00,0.53,4,4.00,1,-1.00
2021-01-02,4,0.00,-0.11,2,2.00,2,-2.00
2021-01-03,5,5.00,1.00,5,5.00,0,0.00
2021-01-04,18,-4.00,-0.35,7,7.00,11,-11.00
2021-01-05,42,-12.00,-0.30,15,15.00,27,-27.00
2021-01-06,21,-1.00,0.76,10,10.00,11,-11.00
2021-01-07,25,5.00,0.19,15,15.00,10,-10.00
2021-01-08,57,-17.00,-0.17,20,20.00,37,-37.00
2021-01-09,13,5.00,0.45,9,9.00,4,-4.00
2021-01-10,16,0.00,0.12,8,8.00,8,-8.00
2021-01-11,49,-5.00,0.02,22,22.00,27,-27.00
2021-01-12,20,-4.00,-0.09,8,8.00,12,-12.00
2021-01-13,22,6.00,0.63,14,14.00,8,-8.00
2021-01-14,24,0.00,-0.04,12,12.00,12,-12.00
2021-01-15,24,-6.00,-0.04,9,9.00,15,-15.00
2021-01-16,14,-8.00,-0.77,3,3.00,11,-11.00
2021-01-17,9,-5.00,-0.57,2,2.00,7,-7.00
2021-01-18,16,0.00,-0.23,8,8.00,8,-8.00
2021-01-19,35,7.00,0.52,21,21.00,14,-14.00
2021-01-20,16,8.00,0.30,12,12.00,4,-4.00
2021-01-21,18,0.00,0.22,9,9.00,9,-9.00
2021-01-22,21,7.00,0.39,14,14.00,7,-7.00
2021-01-23,1,1.00,1.00,1,1.00,0,0.00
2021-01-24,4,4.00,1.00,4,4.00,0,0.00
2021-01-25,38,8.00,0.05,23,23.00,15,-15.00
2021-01-26,50,10.00,0.63,30,30.00,20,-20.00
2021-01-27,35,9.00,0.36,22,22.00,13,-13.00
2021-01-28,21,7.00,0.36,14,14.00,7,-7.00
2021-01-29,20,6.00,0.34,13,13.00,7,-7.00
2021-01-30,2,2.00,1.00,2,2.00,0,0.00
2021-01-31,3,3.00,1.00,3,3.00,0,0.00
2021-02-01,34,-6.00,-0.20,14,14.00,20,-20.00
2021-02-02,11,-1.00,-0.10,5,5.00,6,-6.00
2021-02-03,47,-7.00,0.16,20,20.00,27,-27.00
2021-02-04,22,0.00,0.28,11,11.00,11,-11.00
2021-02-05,23,-3.00,-0.12,10,10.00,13,-13.00
2021-02-06,3,3.00,1.00,3,3.00,0,0.00
2021-02-07,4,0.00,-0.03,2,2.00,2,-2.00
2021-02-08,17,-3.00,-0.15,7,7.00,10,-10.00
2021-02-09,30,8.00,0.30,19,19.00,11,-11.00
2021-02-10,34,18.00,0.43,26,26.00,8,-8.00
2021-02-11,4,0.00,-0.05,2,2.00,2,-2.00
2021-02-14,4,-2.00,-0.59,1,1.00,3,-3.00
2021-02-15,1,1.00,1.00,1,1.00,0,0.00
2021-02-17,1,1.00,1.00,1,1.00,0,0.00
2021-02-18,10,0.00,0.48,5,5.00,5,-5.00
2021-02-19,12,-8.00,-0.76,2,2.00,10,-10.00
2021-02-21,2,2.00,1.00,2,2.00,0,0.00
2021-02-22,13,3.00,0.23,8,8.00,5,-5.00
2021-02-23,13,3.00,0.12,8,8.00,5,-5.00
2021-02-24,15,-7.00,-0.23,4,4.00,11,-11.00
2021-02-25,8,-2.00,-0.14,3,3.00,5,-5.00
2021-02-26,15,-9.00,-0.51,3,3.00,12,-12.00
2021-02-27,3,1.00,-0.19,2,2.00,1,-1.00
2021-02-28,1,1.00,1.00,1,1.00,0,0.00
2021-03-01,13,-3.00,-0.24,5,5.00,8,-8.00
2021-03-02,31,-9.00,-0.18,11,11.00,20,-20.00
2021-03-03,24,0.00,-0.05,12,12.00,12,-12.00
2021-03-04,18,0.00,-0.08,9,9.00,9,-9.00
2021-03-05,19,-1.00,-0.36,9,9.00,10,-10.00
2021-03-07,2,2.00,1.00,2,2.00,0,0.00
2021-03-08,12,6.00,0.69,9,9.00,3,-3.00
2021-03-09,24,-10.00,-0.28,7,7.00,17,-17.00
2021-03-10,14,-4.00,0.07,5,5.00,9,-9.00
2021-03-11,10,2.00,0.47,6,6.00,4,-4.00
2021-03-12,15,-1.00,-0.12,7,7.00,8,-8.00
2021-03-13,4,0.00,0.05,2,2.00,2,-2.00
2021-03-14,5,1.00,0.52,3,3.00,2,-2.00
