time,no,review,score,read_volume,label
2022/6/30,1,"['500', '的', '本']",0.0,278,1
2022/6/30,2,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '基金', '重仓股', '，', '又', '是', '医疗器械', '龙头', '，']",1.0,214,1
2022/6/30,3,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '这波', '死活', '不涨', '啊', '，', '为啥']",0.0,156,1
2022/6/30,4,"['今天', '进去', '了', '[', '微笑', ']', '买', '了', '13', '万']",0.0,141,1
2022/6/30,5,"['这一波', '很', '有', '感觉', '啊', ' ', '熬', '住']",-2.0,1135,-1
2022/6/30,6,"['政策', '利好', '，', '明天', '看涨']",2.0,327,1
2022/6/30,7,"['躺平', '了', ' ', '我', '也', '躺平', '了']",0.0,854,-1
2022/6/30,8,"['骑上', '一匹', '好马', '，', '不要', '轻易', '下马']",0.0,1169,1
2022/6/30,9,"['300981', '。', '复苏', '！']",0.0,162,-1
2022/6/30,12,"['平常心', '~', ' ', '涨多涨', '少', '的', '都', '是', '涨']",1.0,697,-1
2022/6/30,13,"['国内', '新', '基建', '的', '拉动', '+', '国际', '市场', '的', '慢慢', '恢复', ' ', '守好']",2.0,929,1
2022/6/30,14,"['快快', '快', '，', '抓紧时间', ' ', '拉高', '拉高']",2.0,1561,-1
2022/6/30,15,"['垃圾', '玩意']",-1.0,215,-1
2022/6/30,16,"['在', '合适', '的', '点位', '上车', '，', '才', '是', '智者', '的', '选择']",1.0,742,1
2022/6/30,17,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '投资', '50']",0.0,185,1
2022/6/30,18,"['星星之火', '可以', '燎原', '~', ' ', '起势']",0.0,885,1
2022/6/30,19,"['我', '还是', '相信', '迈瑞', '的', '实力', '的', ' ', '短暂', '的', '困境', '而已']",1.0,945,1
2022/6/30,24,"['太稳', '啦', ' ', '太稳', '啦', ' ', '往上', '在', '冲冲']",0.0,869,-1
2022/6/30,26,"['这个', '股票', '我', '的', '成本', '是', '480', '[', '大笑', ']']",0.0,361,1
2022/6/30,28,"['300', '上下', '好久', '咯', ' ', ' ', '龙头', '冲破', '枷锁', '！', '冲冲', '冲']",-3.0,1187,1
2022/6/30,30,"['最近', '每天', '都', '这样', ' ', '也', '还', '不错']",1.5,881,1
2022/6/30,31,"['强势', '开局', '，', '先', '在', '心里', '定个', '小', '目标', ' ', '嘿嘿']",0.0,969,-1
2022/6/30,32,"['午后', '持续', '上攻', ' ', '好', '！']",0.0,1148,-1
2022/6/30,33,"['宇宙', '笫', '一', '医药', '龙头']",1.0,344,1
2022/6/30,35,"['随着', '各', '大城市', '大', '中小医院', '的', '逐步', '参与', '，', '国内', '医疗', '新', '基建', '的']",0.0,820,1
2022/6/30,38,"['医疗', '新', '基建', '推动', '市场', '继续', '扩容', ' ', '迈瑞', ' ', '冲冲', '冲']",2.0,680,1
2022/6/30,39,"['收盘', '涨俩', '点', '就', '行', '[', '拜神', ']']",0.0,281,1
2022/6/30,41,"['卧槽', '压', '的', '这么', '狠']",0.0,207,1
2022/6/30,42,"['快', '跑', '啊', '，', '要', '埋', '人', '了']",0.0,176,-1
2022/6/30,43,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '别装', '了', '，', '暴']",0.0,300,1
2022/6/30,44,"['已成', '趋势', '300', '以下', '看不到', '了']",0.0,273,1
2022/6/30,45,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '这货', '废', '了', '，', '大盘', '涨', '，', '它', '不涨', '，', '大盘']",1.0,277,1
2022/6/30,46,"['垃圾', '玩意']",-1.0,117,-1
2022/6/30,48,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '又', 'T', '了', '六块', '！', '很快', '就', '到', '250', '了', '，', '到', '25']",0.0,123,1
2022/6/30,49,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '下周', '360', '见']",0.0,201,1
2022/6/30,51,"['159915', '创业板', 'ETF', '易方达', '重仓股', '迈瑞', '：', '，', '针对', '国际', '大', '样本']",0.0,161,1
2022/6/30,52,['进'],0.0,98,-1
2022/6/30,53,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '估计', '有雷']",0.0,227,1
2022/6/30,54,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '昨天', '买', '的', '，', '有点', '晕', '，', '但', '没有', '傻', '。']",0.5,104,1
2022/6/30,55,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '公司', '估计', '要', '大雷要', '爆']",0.0,110,1
2022/6/30,57,"['收盘', '就', '砸', '绿']",0.0,101,1
2022/6/30,59,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '下', '一步', '走势']",0.0,275,1
2022/6/30,61,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '下', '一步', '走势']",0.0,189,1
2022/6/30,62,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '反弹', '最少', '的', '龙头股']",1.0,101,1
2022/6/30,63,"['我算', '看', '明白', '了', '，', '迈瑞', '所有', '操作', '就是', '拉高', '出货']",1.0,106,1
2022/6/30,64,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '拉绿', '，', '暴雷', '了']",0.0,107,1
2022/6/30,65,"['这', '股', '是不是', '不太好', '啊', '[', '惨', '!', '关灯', '吃面', ']']",0.0,209,-1
2022/6/30,66,"['今天', '是', '放量', '下跌', '的']",-1.0,103,1
2022/6/30,67,"['牧原', '跌', '了', '，', '迈瑞', '猪肉', '也', '要', '下去', '了', '，', '收盘', '绿油油']",-1.0,109,1
2022/6/30,68,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$']",0.0,102,-1
2022/6/30,70,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '为什么', '砸盘', '的']",-1.0,178,1
2022/6/30,71,"['这个', '股', '太贵', '了', '，', '买不起']",0.0,115,1
2022/6/30,72,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$']",0.0,136,-1
2022/6/30,73,"['被套', '的', '死死地']",-1.0,194,-1
2022/6/30,74,"['下午', '不', '知道', '绿', '多少']",0.0,96,-1
2022/6/30,77,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '大哥', '不蒸', '馒头', '争口气', '，', '不要', '别人', '看']",0.0,118,1
2022/6/30,78,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '坐稳', '扶', '好', '，', '不套', '20', '个点', '不割']",0.0,181,1
2022/6/30,79,"['不好意思', '同志', '们', '，', '我', '就', '3', '万多块', '，', '买', '了', '100', '股', '，', '所以', '这货', '不']",0.0,215,1
2022/6/30,80,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '别问', '为什么']",0.0,242,1
2022/6/30,81,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '280', '～', '330', '箱体', '振荡', '。']",0.0,126,1
2022/6/30,83,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '医疗', '大', '白马', '怎么回事']",0.0,119,1
2022/6/30,84,"['下午', '只要', '大盘', '回调', '一下', '，', '就', '会', '创新', '低']",4.0,117,1
2022/6/30,85,"['医疗器械', '大涨', '，', '葛兰', '也', '大涨', '，', '就', '你', '在', '跌']",1.0,116,1
2022/6/30,86,"['买', '了', '这货', '，', '巴比', 'Q', '了', '，']",0.0,111,-1
2022/6/30,87,"['摆明', '的', '送', '钱', '，', '那', '我', '就', '受', '着']",0.0,231,-1
2022/6/30,88,"['抄底', '机会']",1.0,191,1
2022/6/30,89,"['不绿盘', '，', '天理不容']",0.0,112,-1
2022/6/30,90,"['看通策', '和', '爱尔涨', '8%', '真', '羡慕', '啊', '！']",3.0,110,-1
2022/6/30,92,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '感谢', '砸盘', '，', '上车', '了']",2.0,116,1
2022/6/30,93,"['小心', '美丽', '通过', '药物', '疫苗', '植入', '阮', '病毒']",3.0,113,-1
2022/6/30,94,"['迈瑞', '猪肉', '，', '果然', '没错', '。']",0.0,99,1
2022/6/30,95,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '最后', '的', '洗盘', '么']",0.0,106,1
2022/6/30,96,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '低吸', '做', 'T', '，']",0.0,153,-1
2022/6/30,97,"['吃', '泻药', '了']",0.0,174,-1
2022/6/30,98,"['疫情', '好转', '就', '不', '需要', '医疗器械', '了', '?']",1.0,103,1
2022/6/30,99,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '葛', '大妈', '今天', '都', '是', '大涨', '的', '，', '就', '你', '大跌']",0.0,103,1
2022/6/30,100,"['大家', '一起', '骂', '他']",-1.0,219,1
2022/6/30,101,"['这股', '还', '得', '磨', '，', '可能', '还', '得', '跌', '，', '短期', '没', '啥', '好机会', '，', '泰格', '，', '爱尔']",-1.25,105,1
2022/6/30,103,"['后面', '还有', '戏唱', '吗', '？', '！']",0.0,165,-1
2022/6/30,104,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '葛兰', '应该', '可以', '换', '了', '这个', '股票', '了', '，', '一']",0.0,113,-1
2022/6/30,105,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '求', '你', '别带', '医疗', '板块', '节奏', '了', '，', '太', '垃圾']",-2.0,108,-1
2022/6/30,107,"['不', '知道', '到', '收盘', '能', '不能', '蹲', '一个', '翻红']",1.0,1120,-1
2022/6/30,108,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '我', '这', '是', '招', '谁', '惹', '谁', '了', '[', '怒', ']', '[', '怒', ']']",0.0,147,-1
2022/6/30,109,"['日本', '富士山', '火山爆发', '，', '会', '产生', '严重的', '环境污染', '，', '这', '对', '卖呼']",-2.0,236,-1
2022/6/30,110,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '拿', '好', '了', '，', '可能', '要', '有', '大', '动作', '了']",0.0,115,1
2022/6/30,111,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '摆烂', '开始', '了']",0.0,106,1
2022/6/30,113,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '跌成', '这样', '，', '怕', '是', '中报', '业绩', '暴雷', '了', '吧']",0.0,118,1
2022/6/30,114,"['这', '是', '得', '多', '大', '的', '雷', '啊', '！']",0.0,113,-1
2022/6/30,116,"['天天', '让', '我', '割肉']",-1.0,102,-1
2022/6/30,117,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '垃圾', '里', '的', '战斗机']",0.0,103,-1
2022/6/30,118,"['只要', '我', '一买', '，', '就', '放量', '暴跌', '，']",-1.0,104,-1
2022/6/30,119,"['有', '什么', '利空', '吗']",-1.0,103,1
2022/6/30,120,"['大家', '快去', '恒瑞医药', '，', '还', '赶得上']",0.0,112,1
2022/6/30,122,"['这', '垃圾', '怎么', '了']",-1.0,103,-1
2022/6/30,123,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '，', '一年', '都', '在', '跌', '！']",-1.0,105,1
2022/6/30,124,"['看看', '爱美', '客', '，', '涨', '3', '个点', '，', '你', '跌', '3', '个点', '，', '服了']",0.0,105,1
2022/6/30,125,"['垃圾', '赔钱货', '，', '天天', '砸盘']",-2.0,100,-1
2022/6/30,126,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '！', '！', '！']",0.0,108,-1
2022/6/30,127,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '一群', '机构', '开始', '做空', '它', '了', '，', '估计', '是', '大']",-1.0,107,-1
2022/6/30,128,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '去', '垃圾股', '[', '捂脸', ']']",-1.0,104,1
2022/6/30,129,"['迈瑞', 'NB', '，', '无视', '大盘', '，', '就是', '跌']",3.0,118,1
2022/6/30,130,"['我', '不', '买', '，', '你', '不跌', '，', '，']",0.0,126,-1
2022/6/30,131,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '感觉', '迈瑞', '最近', '有点', '不正常', '，', '以前', '挺']",-0.5,126,1
2022/6/30,132,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '这是', '什么', '狗庄']",0.0,130,1
2022/6/30,133,"['感觉', '也', '是', '够', '垃圾', '的', '，', '爱美', '客', '，', '宁德', '时代', '都', '涨', '了', '很多', '，', '就', '你']",0.0,112,-1
2022/6/30,134,"['这个', '赔钱货']",0.0,123,-1
2022/6/30,135,"['这个', '主力', '不行', '，', '恒瑞', '都', '反弹', '了', '，', '你', '还', '在', '这里', '震荡']",1.0,97,-1
2022/6/30,137,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$']",0.0,113,-1
2022/6/30,138,"['的', '，', '白白浪费', '行情']",0.0,103,1
2022/6/30,139,"['迈瑞', '医疗', '：', '连续', '3', '日', '融资', '净', '买入', '累计', '8752.02', '万元', '（', '06', '-', '29']",0.0,238,1
2022/6/30,140,"['果然', '最', '垃圾', '，', '昨天', '和', '大盘', '一起', '跌', '2%', '，', '今天', '大盘', '涨', '了', '1%', '，', '你']",-3.0,125,1
2022/6/30,141,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '完', '犊子', '了']",0.0,123,1
2022/6/30,142,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '呆', '在', '迈瑞', '躲开', '了', '所有', '的', '上涨', '！']",0.0,391,1
2022/6/30,143,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '绿瑞', '医疗', '[', '怒', ']', '[', '怒', ']', '[', '怒', ']']",0.0,118,1
2022/6/29,144,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '明天', '再', '跌', '我', '抄底']",-1.0,125,-1
2022/6/29,145,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '均线', '粘']",0.0,161,-1
2022/6/29,146,"['今天', '不错', '了', ' ', '先', '稳住']",3.0,1094,1
2022/6/29,147,"['龙头', '起飞', '吧']",2.0,797,1
2022/6/29,150,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '翻过', '这座', '山', '，', '后面', '的', '路', '就', '好', '走', '了']",0.0,293,-1
2022/6/29,151,"['盘久', '必跌', '，', '要', '灵验', '了', '…', '…', '[', '抓狂', ']']",0.0,289,-1
2022/6/29,152,"['迈瑞', '医疗', '06', '月', '22', '日', '获深', '股通', '增持', '35.45', '万股']",1.0,461,1
2022/6/29,154,"['流出', '700', '亿', '？', '还', 'TM', '不', '老实', '跌下来', '调整', '。', '散户', '是', '这么', '好套', '吗']",-1.5,158,1
2022/6/29,156,"['考虑', '配置', '万泰', '生物', '603392']",0.0,412,-1
2022/6/29,157,"['大盘', '涨', '的', '时候', '你', '不涨', '，', '跌', '的', '时候', '跑', '的', '兔子', '还', '快']",0.0,269,1
2022/6/29,159,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '今天', '至少', '启稳', '红盘', '报收', '明天', '开始', '上']",0.0,329,1
2022/6/29,161,"['医疗器械', '可靠性', '的', '提升', '将', '有利于', '医院', '实现', '降本增效', '，', '关注']",4.0,156,1
2022/6/29,162,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '你', '是不是', '在', '等', '恒瑞', '。', '上半年', '线']",0.0,177,1
2022/6/29,163,"['159915', '创业板', 'ETF', '易方达', '重仓股', '迈瑞', '医疗', '是', '国产', '器械', '龙头']",1.0,201,1
2022/6/29,164,"['几个', '意思']",0.0,314,-1
2022/6/29,165,"['龙头', '，', '错过', '了', '一波', '行情', '，', '还要', '错过', '第二', '波', '？']",-1.0,148,1
2022/6/29,166,"['医疗', '行业', '空间', '大', '，', '结合', '企业', '业务', '体量', '、', '盈利', '能力', '、', '渠道', '品']",1.0,186,1
2022/6/29,167,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '昨天', '建仓', '了', '迈瑞', '，', '作为', '医疗器械', '龙']",0.0,349,1
2022/6/29,168,"['迈瑞', '医疗', '：', '融资', '净', '买入', '3610.25', '万元', '，', '融资', '余额', '10.36', '亿元']",0.0,260,1
2022/6/29,170,"['狗', '中', '，', '狗', '中', '，', '狗', '中', '的', '迈瑞']",0.0,157,1
2022/6/29,171,"['迈瑞', '医疗', '06', '月', '28', '日', '获深', '股通', '增持', '15.9', '万股']",1.0,494,1
2022/6/29,172,"['春种', '一粒', '粟', '，', '秋收', '万颗', '子', '，', '机会', '是', '给', '有', '准备', '的', '人']",1.0,788,1
2022/6/29,173,"['估计', '要', '集采', '的', '节奏', '。']",0.0,146,-1
2022/6/28,174,"['迈瑞', '医疗', '泡沫', '飞', '上天', '。', '目标价', '150', '。']",-1.0,927,1
2022/6/28,175,"['今天', '有', '说法', '不', '，', '哪位', '大哥', '预测', '下']",0.0,900,1
2022/6/28,177,"['牛', '的', '牛', '的', ' ', '眼睛', '一眨', ' ', '就', '拉上去', '了']",0.0,604,-1
2022/6/28,180,"['2021', '年', '医械', '企业', '盈利', '榜', '迈瑞', '第一', ' ', '实力', '杠杠', '的']",3.0,1097,1
2022/6/28,181,"['始终', '看好', '，', '医疗', '服务', '概念', '则', '直接', '受益', '于', '人口老龄化']",2.0,703,1
2022/6/28,183,"['迈瑞', '的', '经营', '业绩', '较好', ' ', '个人', '对', '其', '未来', '发展', '充满信心']",1.0,1111,1
2022/6/28,184,"['坚持', '科研', '高', '投入', ' ', '领域', '持续', '推出', '一系列', '临床', '价值', '显著的', '创']",1.0,805,1
2022/6/28,185,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '屏蔽', '一切', '负', '能量', '的', '垃圾', '人']",-1.0,115,-1
2022/6/28,186,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '六月', '17', '介入', '迈瑞', '，', '基本上', '每天', '做', 'T']",0.0,139,1
2022/6/28,187,"['此股', '只有', '中报', '业绩', '超预期', '能救']",1.0,131,1
2022/6/28,188,"['4', '月', '27', '日', '以来', '大盘', '上证指数', '涨', '12', '个点', '，', '创业板', '18', '个点', '，', '这']",1.0,520,1
2022/6/28,189,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '汽车', '光伏', '全部', '上天', '，', '错过', '这轮', '大牛']",-1.0,455,1
2022/6/28,190,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '每天', '都', '跑', '不过', '指数', '，', '不', '知道', '为什么']",0.0,143,-1
2022/6/28,191,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']']",0.0,126,-1
2022/6/28,192,"['创业板', '2', '个', '月', '涨', '了', '35%', '，', '你', '连', '5%', '都', '没', '涨到', '，', '真', '垃圾']",2.0,350,-1
2022/6/28,193,"['疫情', '好转', '、', '集采', '驱稳', '、', '机构', '持仓', '比例', '回升', '，', '把', '迈瑞', '和', '1599']",2.0,205,1
2022/6/28,194,"['“', '疫情', '带动', '的', '医疗', '新', '基建', '+', '疫情', '后', '复苏', '”', '是', '下半年', '医疗', '的']",1.0,167,1
2022/6/28,195,"['卫健委', '实施', '临床', '重点', '专科', '“', '百千万', '工程', '”', '，', '对', '512010', '医药']",0.0,168,-1
2022/6/28,196,"['迈瑞', '医疗', '泡沫', '飞', '上天', '。', '目标价', '150', '。']",-1.0,1486,1
2022/6/28,197,"['医疗', '新', '基建', '促进', '相关', '的', '医疗器械', '需求量', '，', '准备', '买点', '迈瑞', '和']",0.0,156,1
2022/6/28,198,"['基金', '能否', '回本', '就', '看', '它', '了', '，', '可是', '它', '走', '的', '也', '太差', '了', '吧', '。', '。']",-1.0,142,1
2022/6/28,200,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '基本', '没', '反弹']",-1.0,190,1
2022/6/28,201,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '大', '垃圾', '，', '就是', '不涨']",-1.0,186,-1
2022/6/28,202,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '你', '是', '真的', '苟', '啊', '，', 'etf', '都', '比', '你', '强', '！', '你']",0.0,346,-1
2022/6/28,204,"['迈瑞', '医疗', '：', '融资', '净', '买入', '566.22', '万元', '，', '融资', '余额', '10', '亿元', '（', '06']",0.0,261,1
2022/6/28,205,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '何德何能', '啊', '迈瑞', '！']",0.0,169,1
2022/6/28,206,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '其他', '的', '大涨', '此股', '不涨', '，', '大盘', '微调', '就']",1.0,180,1
2022/6/28,207,"['迈瑞', '医疗', '06', '月', '27', '日', '获深', '股通', '增持', '38.05', '万股']",1.0,271,1
2022/6/28,208,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '跟', '国际', '医疗器械', '龙头', '美敦力', '和', '雅培']",1.0,459,1
2022/6/27,209,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '今天下午', '杀进来', '的', '，', '不', '知道', '明天', '走']",0.0,341,1
2022/6/27,210,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '每天', '做做', 'T', '，', '成本', '280', '了', '[', '胜利', ']']",1.0,510,1
2022/6/27,211,"['欧盟', '预计', '投入', '31', '亿', '欧元', '用于', '医疗', '物资', '战略', '储备', '，', '利好', '迈瑞']",1.0,535,1
2022/6/27,213,"['好的开始', '是', '成功的', '一半']",1.0,865,-1
