time,no,review,score,read_volume,label
2022/6/30,10,"['医疗', '行业', '还是', '值得', '期待', '的']",6.0,1204,1
2022/6/30,11,"['国产', '扩容', '空间', '广大', ' ', '医疗器械', '企业', '大有可为', '啊']",8.0,522,1
2022/6/30,20,"['起起伏伏的', '有道', '坎儿', '啊', '，', '越是', '这样', '我', '越', '要', '坚守', '，', '风雨', '过后']",7.0,1279,1
2022/6/30,21,"['耐心', '持有', '，', '必有', '厚报']",5.0,1018,1
2022/6/30,22,"['横', '起来', '有', '多长', ',', '竖起', '来', '有', '多', '高', '！']",7.0,1221,1
2022/6/30,23,"['新', '基建', '的', '景气', '周期', '，', '迈瑞', '业绩', '持续', '稳定的', '增长', '可期']",11.0,784,1
2022/6/30,25,"['稳扎稳打', '的', '上去', ' ', '可以']",9.0,683,1
2022/6/30,27,"['高端', '医疗器械', '产品', '国产', '替代', '加速', ' ', '看好']",7.0,754,1
2022/6/30,29,"['绝对', '值得', '坚守', '，', '懂得', '的', '自然', '懂']",22.0,1181,1
2022/6/30,34,"['动物', '医疗', ' ', '微创', '医疗', ' ', '骨科', '创新', '业务', '跟上', '跟上', ' ', '看好', '看好']",7.0,548,1
2022/6/30,36,"['迈瑞', '不管', '是从', '公司', '的', '业绩', '和', '利润', '增长', '性', '还是', '未来', '的', '增长', '空']",14.0,552,1
2022/6/30,37,"['迈瑞', '的', '品牌', '力', '和', '竞争力', '都', '在', '大幅', '增长', '，', '个人', '继续', '持股', '待涨']",9.0,804,1
2022/6/30,40,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '每天', '都', '涨', '不过', '大盘', '，', '拖后腿', '。']",-13.0,304,-1
2022/6/30,47,"['飞舞', '到家', '了']",8.0,123,1
2022/6/30,50,"['真的', '恶心', '，', '这样', '的', '走势']",-5.0,131,-1
2022/6/30,56,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '这', '主力', '够', '狠', '十点', '多', '还', '假摔', '一次', '拿到']",7.0,114,1
2022/6/30,58,"['159915', '创业板', 'ETF', '易方达', '重仓股', '迈瑞', '：', '注重', '通过', '专利', '来保']",11.0,121,1
2022/6/30,60,"['你', '是', '啥', '情况', '，', '东吴', '智慧', '医疗', '里面', '，', '你', '是', '最', '另类', '的', '，', '都', '涨', '3']",10.0,109,1
2022/6/30,69,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '好股', '不怕', '回调', '，', '我', '上午', '还', '加仓', '了', '，']",5.0,112,1
2022/6/30,75,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '上车', '良机', '[', '看多', ']']",6.0,116,1
2022/6/30,76,"['我', '割肉', '了', '，', '你', '就', '拉回来', '，', '主力', '针对', '我']",6.0,116,1
2022/6/30,82,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '怎么', '这么', '浪费', '行情', '呢', '？']",-7.0,119,-1
2022/6/30,91,"['对于', '迈瑞', '来说', '，', '只有', '沪', '深', '两市', '涨超', '10%', '，', '他', '才能', '涨', '2%']",6.0,116,1
2022/6/30,102,"['恭喜', '迈瑞', '再', '一次', '成为', '沪', '深', '两市', '倒', '是', '第一']",6.0,111,1
2022/6/30,106,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '下午', '必须', '上去']",7.0,116,1
2022/6/30,112,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '二季度', '业绩', '告负', '要', '废', '废']",-5.0,135,-1
2022/6/30,115,"['有', '重大', '利空', '，', '大', '股东', '违规', '减持', '了']",-7.0,123,-1
2022/6/30,121,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '机构', '抛弃', '了']",-7.0,104,-1
2022/6/30,136,"['罢免', '董事长', '及', '一切', '高管']",-5.0,128,-1
2022/6/29,148,"['成长', '空间', '广阔', '，', '尤其', '动物', '医疗', '领域', '，', '未来', '收入', '有望', '贡献', '持']",13.0,693,1
2022/6/29,149,"['医疗器械', '板块', '的', '增长', '确定性', '高', '，', '强者', '恒强', '特征', '更', '明显', '，', '而']",9.0,916,1
2022/6/29,153,"['政策', '不断', '推动', '医疗器械', '标准化', '建设', '，', '，', '有利', '干', '512010', '医药']",12.0,181,1
2022/6/29,155,"['耐心', '持有', '[', '666', ']']",5.0,374,1
2022/6/29,158,"['迈瑞', '不肯', '拉升', '的', '真实', '原因', '其实', '很', '简单', '，', '就是', '因为', '在', '其他', '医']",5.0,347,1
2022/6/29,160,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '我', '的', '回答', '是', '，', '不如', '通策', '，', '涨幅', '滞后']",5.0,406,1
2022/6/29,169,"['真TM', '垃圾', '，', '每天', '沪', '深', '排名', '倒数']",-6.0,147,-1
2022/6/28,176,"['回到', '300', '以下', '会', '考虑', '进', '的', '，', '迈瑞', '还是', '很', '安全', '的', '。']",6.0,286,1
2022/6/28,178,"['老', '这么', '横着', '可', '不行', '哦', ' ', '相信', '你', '的', '实力', ' ', '冲上去', '！']",-9.0,893,-1
2022/6/28,179,"['好饭', '不怕', '晚', '，', '上涨', '在', '即']",6.0,714,1
2022/6/28,182,"['迈瑞', '80', '亿归母', '净利润', ' ', '位居', '21', '年', '医械', '企业', '盈利', '榜', '榜首', ' ', '就', '这']",8.0,1170,1
2022/6/28,199,"['真TM', '后悔', '卖锦浪', '买', '了', '你']",-5.0,136,-1
2022/6/28,203,"['死猪不怕开水烫', '了', '！', '完蛋', '了', '。']",-5.0,317,-1
2022/6/27,212,"['国家', '将', '加强', '心血管', '外科', '、', '骨科', '、', '医学影像', '科等', '专科', '建设', '，']",6.0,212,1
2022/6/27,214,"['颜色', '对了', ' ', '差点', '高度', ' ', '哈哈']",7.0,657,1
2022/6/27,215,"['迈瑞', '业务', '发展', '层次分明', '，', '节奏', '稳健', '向好', '，', '内生', '+', '外延', '双重']",6.0,1403,1
