time,no,review,score,read_volume
2022/6/30,1,"['500', '的', '本']",0,278
2022/6/30,2,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '基金', '重仓股', '，', '又', '是', '医疗器械', '龙头', '，']",1,214
2022/6/30,3,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '这波', '死活', '不涨', '啊', '，', '为啥']",0,156
2022/6/30,4,"['今天', '进去', '了', '[', '微笑', ']', '买', '了', '13', '万']",0,141
2022/6/30,5,"['这一波', '很', '有', '感觉', '啊', ' ', '熬', '住']",-2,1135
2022/6/30,6,"['政策', '利好', '，', '明天', '看涨']",2,327
2022/6/30,7,"['躺平', '了', ' ', '我', '也', '躺平', '了']",0,854
2022/6/30,8,"['骑上', '一匹', '好马', '，', '不要', '轻易', '下马']",0,1169
2022/6/30,9,"['300981', '。', '复苏', '！']",0,162
2022/6/30,10,"['医疗', '行业', '还是', '值得', '期待', '的']",6,1204
2022/6/30,11,"['国产', '扩容', '空间', '广大', ' ', '医疗器械', '企业', '大有可为', '啊']",8,522
2022/6/30,12,"['平常心', '~', ' ', '涨多涨', '少', '的', '都', '是', '涨']",1,697
2022/6/30,13,"['国内', '新', '基建', '的', '拉动', '+', '国际', '市场', '的', '慢慢', '恢复', ' ', '守好']",2,929
2022/6/30,14,"['快快', '快', '，', '抓紧时间', ' ', '拉高', '拉高']",2,1561
2022/6/30,15,"['垃圾', '玩意']",-1,215
2022/6/30,16,"['在', '合适', '的', '点位', '上车', '，', '才', '是', '智者', '的', '选择']",1,742
2022/6/30,17,"['$', '迈瑞', '医疗', '(', 'SZ300760', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '投资', '50']",0,185
2022/6/30,18,"['星星之火', '可以', '燎原', '~', ' ', '起势']",0,885
2022/6/30,19,"['我', '还是', '相信', '迈瑞', '的', '实力', '的', ' ', '短暂', '的', '困境', '而已']",1,945
2022/6/30,20,"['起起伏伏的', '有道', '坎儿', '啊', '，', '越是', '这样', '我', '越', '要', '坚守', '，', '风雨', '过后']",7,1279
2022/6/30,21,"['耐心', '持有', '，', '必有', '厚报']",5,1018
