id,time,review,read_volume
1,2022/6/30,500的本,278
2,2022/6/30,$迈瑞医疗(SZ300760)$基金重仓股，又是医疗器械龙头，,214
3,2022/6/30,$迈瑞医疗(SZ300760)$这波死活不涨啊，为啥,156
4,2022/6/30,今天进去了[微笑]买了13万,141
5,2022/6/30,这一波很有感觉啊 熬住,1135
6,2022/6/30,政策利好，明天看涨,327
7,2022/6/30,躺平了 我也躺平了,854
8,2022/6/30,骑上一匹好马，不要轻易下马,1169
9,2022/6/30,300981。复苏！,162
10,2022/6/30,医疗行业还是值得期待的,1204
11,2022/6/30,国产扩容空间广大 医疗器械企业大有可为啊,522
12,2022/6/30,平常心~ 涨多涨少的都是涨,697
13,2022/6/30,国内新基建的拉动+国际市场的慢慢恢复 守好,929
14,2022/6/30,快快快，抓紧时间 拉高拉高,1561
15,2022/6/30,垃圾玩意,215
16,2022/6/30,在合适的点位上车，才是智者的选择,742
17,2022/6/30,$迈瑞医疗(SZ300760)$$达意隆(SZ002209)$达意隆投资50,185
18,2022/6/30,星星之火可以燎原~ 起势,885
19,2022/6/30,我还是相信迈瑞的实力的 短暂的困境而已,945
20,2022/6/30,起起伏伏的有道坎儿啊，越是这样我越要坚守，风雨过后,1279
21,2022/6/30,耐心持有，必有厚报,1018
22,2022/6/30,"横起来有多长,竖起来有多高！",1221
23,2022/6/30,新基建的景气周期，迈瑞业绩持续稳定的增长可期,784
24,2022/6/30,太稳啦 太稳啦 往上在冲冲,869
25,2022/6/30,稳扎稳打的上去 可以,683
26,2022/6/30,这个股票我的成本是480[大笑],361
27,2022/6/30,高端医疗器械产品国产替代加速 看好,754
28,2022/6/30,300上下好久咯  龙头冲破枷锁！冲冲冲,1187
29,2022/6/30,绝对值得坚守，懂得的自然懂,1181
30,2022/6/30,最近每天都这样 也还不错,881
31,2022/6/30,强势开局，先在心里定个小目标 嘿嘿,969
32,2022/6/30,午后持续上攻 好！,1148
33,2022/6/30,宇宙笫一医药龙头,344
34,2022/6/30,动物医疗 微创医疗 骨科创新业务跟上跟上 看好看好,548
35,2022/6/30,随着各大城市大中小医院的逐步参与，国内医疗新基建的,820
36,2022/6/30,迈瑞不管是从公司的业绩和利润增长性还是未来的增长空,552
37,2022/6/30,迈瑞的品牌力和竞争力都在大幅增长，个人继续持股待涨,804
38,2022/6/30,医疗新基建推动市场继续扩容 迈瑞 冲冲冲,680
39,2022/6/30,收盘涨俩点就行[拜神],281
40,2022/6/30,$迈瑞医疗(SZ300760)$每天都涨不过大盘，拖后腿。,304
41,2022/6/30,卧槽压的这么狠,207
42,2022/6/30,快跑啊，要埋人了,176
43,2022/6/30,$迈瑞医疗(SZ300760)$$迈瑞医疗(SZ300760)$别装了，暴,300
44,2022/6/30,已成趋势300以下看不到了,273
45,2022/6/30,$迈瑞医疗(SZ300760)$这货废了，大盘涨，它不涨，大盘,277
46,2022/6/30,垃圾玩意,117
47,2022/6/30,飞舞到家了,123
48,2022/6/30,$迈瑞医疗(SZ300760)$又T了六块！很快就到250了，到25,123
49,2022/6/30,$迈瑞医疗(SZ300760)$下周360见,201
50,2022/6/30,真的恶心，这样的走势,131
51,2022/6/30,159915创业板ETF易方达重仓股迈瑞：，针对国际大样本,161
52,2022/6/30,进,98
53,2022/6/30,$迈瑞医疗(SZ300760)$估计有雷,227
54,2022/6/30,$迈瑞医疗(SZ300760)$昨天买的，有点晕，但没有傻。,104
55,2022/6/30,$迈瑞医疗(SZ300760)$公司估计要大雷要爆,110
56,2022/6/30,$迈瑞医疗(SZ300760)$这主力够狠十点多还假摔一次拿到,114
57,2022/6/30,收盘就砸绿,101
58,2022/6/30,159915创业板ETF易方达重仓股迈瑞：注重通过专利来保,121
59,2022/6/30,$迈瑞医疗(SZ300760)$下一步走势,275
60,2022/6/30,你是啥情况，东吴智慧医疗里面，你是最另类的，都涨3,109
61,2022/6/30,$迈瑞医疗(SZ300760)$下一步走势,189
62,2022/6/30,$迈瑞医疗(SZ300760)$反弹最少的龙头股,101
63,2022/6/30,我算看明白了，迈瑞所有操作就是拉高出货,106
64,2022/6/30,$迈瑞医疗(SZ300760)$拉绿，暴雷了,107
65,2022/6/30,这股是不是不太好啊[惨!关灯吃面],209
66,2022/6/30,今天是放量下跌的,103
67,2022/6/30,牧原跌了，迈瑞猪肉也要下去了，收盘绿油油,109
68,2022/6/30,$迈瑞医疗(SZ300760)$,102
69,2022/6/30,$迈瑞医疗(SZ300760)$好股不怕回调，我上午还加仓了，,112
70,2022/6/30,$迈瑞医疗(SZ300760)$为什么砸盘的,178
71,2022/6/30,这个股太贵了，买不起,115
72,2022/6/30,$迈瑞医疗(SZ300760)$,136
73,2022/6/30,被套的死死地,194
74,2022/6/30,下午不知道绿多少,96
75,2022/6/30,$迈瑞医疗(SZ300760)$上车良机[看多],116
76,2022/6/30,我割肉了，你就拉回来，主力针对我,116
77,2022/6/30,$迈瑞医疗(SZ300760)$大哥不蒸馒头争口气，不要别人看,118
78,2022/6/30,$迈瑞医疗(SZ300760)$坐稳扶好，不套20个点不割,181
79,2022/6/30,不好意思同志们，我就3万多块，买了100股，所以这货不,215
80,2022/6/30,$迈瑞医疗(SZ300760)$别问为什么,242
81,2022/6/30,$迈瑞医疗(SZ300760)$280～330箱体振荡。,126
82,2022/6/30,$迈瑞医疗(SZ300760)$怎么这么浪费行情呢？,119
83,2022/6/30,$迈瑞医疗(SZ300760)$医疗大白马怎么回事,119
84,2022/6/30,下午只要大盘回调一下，就会创新低,117
85,2022/6/30,医疗器械大涨，葛兰也大涨，就你在跌,116
86,2022/6/30,买了这货，巴比Q了，,111
87,2022/6/30,摆明的送钱，那我就受着,231
88,2022/6/30,抄底机会,191
89,2022/6/30,不绿盘，天理不容,112
90,2022/6/30,看通策和爱尔涨8%真羡慕啊！,110
91,2022/6/30,对于迈瑞来说，只有沪深两市涨超10%，他才能涨2%,116
92,2022/6/30,$迈瑞医疗(SZ300760)$感谢砸盘，上车了,116
93,2022/6/30,小心美丽通过药物疫苗植入阮病毒,113
94,2022/6/30,迈瑞猪肉，果然没错。,99
95,2022/6/30,$迈瑞医疗(SZ300760)$最后的洗盘么,106
96,2022/6/30,$迈瑞医疗(SZ300760)$低吸做T，,153
97,2022/6/30,吃泻药了,174
98,2022/6/30,疫情好转就不需要医疗器械了?,103
99,2022/6/30,$迈瑞医疗(SZ300760)$葛大妈今天都是大涨的，就你大跌,103
100,2022/6/30,大家一起骂他,219
101,2022/6/30,这股还得磨，可能还得跌，短期没啥好机会，泰格，爱尔,105
102,2022/6/30,恭喜迈瑞再一次成为沪深两市倒是第一,111
103,2022/6/30,后面还有戏唱吗？！,165
104,2022/6/30,$迈瑞医疗(SZ300760)$葛兰应该可以换了这个股票了，一,113
105,2022/6/30,$迈瑞医疗(SZ300760)$求你别带医疗板块节奏了，太垃圾,108
106,2022/6/30,$迈瑞医疗(SZ300760)$下午必须上去,116
107,2022/6/30,不知道到收盘能不能蹲一个翻红,1120
108,2022/6/30,$迈瑞医疗(SZ300760)$我这是招谁惹谁了[怒][怒],147
109,2022/6/30,日本富士山火山爆发，会产生严重的环境污染，这对卖呼,236
110,2022/6/30,$迈瑞医疗(SZ300760)$拿好了，可能要有大动作了,115
111,2022/6/30,$迈瑞医疗(SZ300760)$摆烂开始了,106
112,2022/6/30,$迈瑞医疗(SZ300760)$二季度业绩告负要废废,135
113,2022/6/30,$迈瑞医疗(SZ300760)$跌成这样，怕是中报业绩暴雷了吧,118
114,2022/6/30,这是得多大的雷啊！,113
115,2022/6/30,有重大利空，大股东违规减持了,123
116,2022/6/30,天天让我割肉,102
117,2022/6/30,$迈瑞医疗(SZ300760)$垃圾里的战斗机,103
118,2022/6/30,只要我一买，就放量暴跌，,104
119,2022/6/30,有什么利空吗,103
120,2022/6/30,大家快去恒瑞医药，还赶得上,112
121,2022/6/30,$迈瑞医疗(SZ300760)$机构抛弃了,104
122,2022/6/30,这垃圾怎么了,103
123,2022/6/30,$迈瑞医疗(SZ300760)$，一年都在跌！,105
124,2022/6/30,看看爱美客，涨3个点，你跌3个点，服了,105
125,2022/6/30,垃圾赔钱货，天天砸盘,100
126,2022/6/30,$迈瑞医疗(SZ300760)$！！！,108
127,2022/6/30,$迈瑞医疗(SZ300760)$一群机构开始做空它了，估计是大,107
128,2022/6/30,$迈瑞医疗(SZ300760)$去垃圾股[捂脸],104
129,2022/6/30,迈瑞NB，无视大盘，就是跌,118
130,2022/6/30,我不买，你不跌，，,126
131,2022/6/30,$迈瑞医疗(SZ300760)$感觉迈瑞最近有点不正常，以前挺,126
132,2022/6/30,$迈瑞医疗(SZ300760)$这是什么狗庄,130
133,2022/6/30,感觉也是够垃圾的，爱美客，宁德时代都涨了很多，就你,112
134,2022/6/30,这个赔钱货,123
135,2022/6/30,这个主力不行，恒瑞都反弹了，你还在这里震荡,97
136,2022/6/30,罢免董事长及一切高管,128
137,2022/6/30,$迈瑞医疗(SZ300760)$,113
138,2022/6/30,的，白白浪费行情,103
139,2022/6/30,迈瑞医疗：连续3日融资净买入累计8752.02万元（06-29,238
140,2022/6/30,果然最垃圾，昨天和大盘一起跌2%，今天大盘涨了1%，你,125
141,2022/6/30,$迈瑞医疗(SZ300760)$完犊子了,123
142,2022/6/30,$迈瑞医疗(SZ300760)$呆在迈瑞躲开了所有的上涨！,391
143,2022/6/30,$迈瑞医疗(SZ300760)$绿瑞医疗[怒][怒][怒],118
144,2022/6/29,$迈瑞医疗(SZ300760)$明天再跌我抄底,125
145,2022/6/29,$迈瑞医疗(SZ300760)$$达意隆(SZ002209)$达意隆均线粘,161
146,2022/6/29,今天不错了 先稳住,1094
147,2022/6/29,龙头起飞吧,797
148,2022/6/29,成长空间广阔，尤其动物医疗领域，未来收入有望贡献持,693
