time,all_num_迈瑞医疗,all_dic_score,迈瑞医疗舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,11,7.00,0.72,9,9.00,2,-2.00
2021-01-02,3,1.00,0.10,2,2.00,1,-1.00
2021-01-03,20,12.00,0.93,16,16.00,4,-4.00
2021-01-04,46,22.00,0.71,34,34.00,12,-12.00
2021-01-05,33,19.00,0.54,26,26.00,7,-7.00
2021-01-06,49,31.00,0.58,40,40.00,9,-9.00
2021-01-07,32,10.00,-0.53,21,21.00,11,-11.00
2021-01-08,31,11.00,0.44,21,21.00,10,-10.00
2021-01-09,9,3.00,0.72,6,6.00,3,-3.00
2021-01-10,14,4.00,0.88,9,9.00,5,-5.00
2021-01-11,55,27.00,0.58,41,41.00,14,-14.00
2021-01-12,21,11.00,-0.30,16,16.00,5,-5.00
2021-01-13,61,-1.00,-0.36,30,30.00,31,-31.00
2021-01-14,31,13.00,0.62,22,22.00,9,-9.00
2021-01-15,26,10.00,0.62,18,18.00,8,-8.00
2021-01-16,10,4.00,0.49,7,7.00,3,-3.00
2021-01-17,14,6.00,0.70,10,10.00,4,-4.00
2021-01-18,18,12.00,0.63,15,15.00,3,-3.00
2021-01-19,31,5.00,0.57,18,18.00,13,-13.00
2021-01-20,37,13.00,0.46,25,25.00,12,-12.00
2021-01-21,20,8.00,0.54,14,14.00,6,-6.00
2021-01-22,53,29.00,0.40,41,41.00,12,-12.00
2021-01-23,17,3.00,0.44,10,10.00,7,-7.00
2021-01-24,16,8.00,0.55,12,12.00,4,-4.00
2021-01-25,36,24.00,0.91,30,30.00,6,-6.00
2021-01-26,74,10.00,0.51,42,42.00,32,-32.00
2021-01-27,43,11.00,0.85,27,27.00,16,-16.00
2021-01-28,28,8.00,0.13,18,18.00,10,-10.00
2021-01-29,21,3.00,0.16,12,12.00,9,-9.00
2021-01-30,3,1.00,0.19,2,2.00,1,-1.00
2021-01-31,10,6.00,0.73,8,8.00,2,-2.00
2021-02-01,32,22.00,0.78,27,27.00,5,-5.00
2021-02-02,31,9.00,0.52,20,20.00,11,-11.00
2021-02-03,36,24.00,0.76,30,30.00,6,-6.00
2021-02-04,32,16.00,0.65,24,24.00,8,-8.00
2021-02-05,38,16.00,0.45,27,27.00,11,-11.00
2021-02-06,8,4.00,0.62,6,6.00,2,-2.00
2021-02-07,8,6.00,0.90,7,7.00,1,-1.00
2021-02-08,40,18.00,0.50,29,29.00,11,-11.00
2021-02-09,48,24.00,0.68,36,36.00,12,-12.00
2021-02-10,55,33.00,0.65,44,44.00,11,-11.00
2021-02-11,4,2.00,0.80,3,3.00,1,-1.00
2021-02-12,4,2.00,0.73,3,3.00,1,-1.00
2021-02-13,7,7.00,1.00,7,7.00,0,0.00
2021-02-14,4,2.00,0.73,3,3.00,1,-1.00
2021-02-15,4,4.00,1.00,4,4.00,0,0.00
2021-02-16,4,4.00,1.00,4,4.00,0,0.00
2021-02-17,9,5.00,0.57,7,7.00,2,-2.00
2021-02-18,53,-3.00,0.76,25,25.00,28,-28.00
2021-02-19,33,13.00,0.48,23,23.00,10,-10.00
2021-02-20,5,-1.00,-0.34,2,2.00,3,-3.00
2021-02-21,7,3.00,0.62,5,5.00,2,-2.00
2021-02-22,44,8.00,0.71,26,26.00,18,-18.00
2021-02-23,26,4.00,0.17,15,15.00,11,-11.00
2021-02-24,54,6.00,0.42,30,30.00,24,-24.00
2021-02-25,24,12.00,0.88,18,18.00,6,-6.00
2021-02-26,27,-5.00,-0.55,11,11.00,16,-16.00
2021-02-27,5,1.00,0.09,3,3.00,2,-2.00
2021-02-28,12,10.00,0.91,11,11.00,1,-1.00
2021-03-01,29,13.00,0.90,21,21.00,8,-8.00
2021-03-02,37,3.00,0.28,20,20.00,17,-17.00
2021-03-03,34,20.00,0.66,27,27.00,7,-7.00
2021-03-04,80,6.00,0.80,43,43.00,37,-37.00
2021-03-05,35,15.00,0.41,25,25.00,10,-10.00
2021-03-08,70,14.00,0.40,42,42.00,28,-28.00
2021-03-09,26,2.00,0.66,14,14.00,12,-12.00
2021-03-10,35,19.00,0.87,27,27.00,8,-8.00
2021-03-11,42,4.00,0.77,23,23.00,19,-19.00
2021-03-12,28,14.00,0.61,21,21.00,7,-7.00
2021-03-13,5,3.00,0.75,4,4.00,1,-1.00
2021-03-14,9,5.00,0.68,7,7.00,2,-2.00
2021-03-15,36,10.00,0.39,23,23.00,13,-13.00
2021-03-16,25,11.00,0.80,18,18.00,7,-7.00
2021-03-17,25,1.00,0.12,13,13.00,12,-12.00
2021-03-18,21,11.00,0.72,16,16.00,5,-5.00
2021-03-19,44,0.00,0.39,22,22.00,22,-22.00
2021-03-20,5,-1.00,-0.52,2,2.00,3,-3.00
2021-03-21,6,6.00,1.00,6,6.00,0,0.00
2021-03-22,21,7.00,0.49,14,14.00,7,-7.00
2021-03-23,39,7.00,0.26,23,23.00,16,-16.00
2021-03-24,24,12.00,0.34,18,18.00,6,-6.00
2021-03-25,25,13.00,0.60,19,19.00,6,-6.00
2021-03-26,28,-4.00,-0.78,12,12.00,16,-16.00
2021-03-27,1,-1.00,-1.00,0,0.00,1,-1.00
2021-03-28,6,6.00,1.00,6,6.00,0,0.00
