time,no,review,score,read_volume,label
2022/6/30,3,"['今天', '拉高', '出货', '了', '，', '明天', '应该', '还会', '回调', '，', '再', '接回来', '[', '俏皮', ']', '[']",5.0,459,1
2022/6/30,5,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '到底', '是', '怎么', '了', '，', '求', '高人', '指点', '[', '惨', '!', '关']",5.0,1270,1
2022/6/30,6,"['今天', '有人', '为', '半年', '业绩', '出货', '了', '，', '拉高', '的', '主力', '也', '很', '恼', '否则', '就是']",8.0,361,1
2022/6/30,8,"['今天', '没跑', '的', '，', '明天', '就', '惨', '了', '。', '赢利', '快', '跑', '，', '这是', '规律', '。']",6.0,252,1
2022/6/30,13,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '为什么', '151', '卖不掉', '？']",-5.0,338,-1
2022/6/30,14,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '我', '他', '吗', '真是', '愚蠢', '109', '的', '成本', '126', '卖', '了']",-7.0,350,-1
2022/6/30,16,"['追高', '的', '赚大', '了', '哈哈']",8.0,195,1
2022/6/30,32,"['这个', '见', '顶了', '，', '不', '走', '马上', '被', '埋', '了', '，']",7.0,263,1
2022/6/30,33,"['是不是', '很', '准确无误', '？', '自己', '看', '时间', '/', '/', '@', '华尔街', '狼哥', '缠论', ' ', ':', '青']",10.0,381,1
2022/6/30,43,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '前天', '快', '三点', '卖不掉', '了', '，', '没想', '今天', '吃']",-6.0,160,-1
2022/6/30,46,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '孩儿', '们', '一起', '欢呼', '吧']",5.0,155,1
2022/6/29,58,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '早上', '抄', '了', '一把', '笑嘻嘻', '，']",5.0,364,1
2022/6/28,87,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '突破', '了', '140', '，', '就要', '攀', '另']",7.0,182,1
2022/6/28,88,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '突破', '141.55', '过', '了', '年']",7.0,317,1
2022/6/27,99,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '下', '一个', '压力', '位', '133.79', '附近', '，', '主力', '大']",6.0,1208,1
2022/6/27,108,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '进入', '上升', '通道', '了', '。', '后路', '畅通无阻', '。']",10.0,201,1
2022/6/27,114,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '乖乖', '，', '这', '一轮', '走', '的', '不如', '青岛', '了', '哟', '，']",10.0,495,1
2022/6/27,123,"['重庆', '啤酒', '6', '月', '27', '日', '快速', '上涨']",6.0,196,1
2022/6/25,132,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九姐', '是', '个', '骗子', '，', '说', '是', '砸', '青岛', '啤酒', '，']",-5.0,959,-1
2022/6/24,145,"['最近', '因为', '俄乌', '冲突', '关注', '基金', '的', '人', '变多', '了', '，', '市场', '必须', '实现', '高']",7.0,215,1
2022/6/23,158,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '其实', '我', '还是', '不', '知道', '主力', '是不是', '在', '“']",-7.0,622,-1
2022/6/23,168,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '主力', '，', '请问', '下', '你们', '吸', '低价', '筹码', '吸够']",7.0,170,1
2022/6/23,170,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '我', '还是', '选择', '相信', '这', '支股', '，', '我', '只有', '一']",7.0,331,1
2022/6/23,175,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '无语']",-5.0,163,-1
2022/6/23,177,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今日', '又', '不行']",-7.0,353,-1
2022/6/23,185,"['目前', '来看', '酒类', '行业', '正由', '局部', '景气', '向', '全面', '景气', '扩散', '，', '能', '在', '这']",11.0,193,1
2022/6/22,198,"['调整', '下', '释放', '风险', '还是', '很', '有', '必要', '，', '我', '从', '年前', '建仓', '酒', 'ET512690']",5.0,202,1
2022/6/21,209,"['主力', '这', '波拉', '起来', '花', '了', '不少', '钱', '，', '他', '甘愿', '赚', '这', '几个', '点点', '，', '看到']",14.0,563,1
2022/6/21,213,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '早上', '笑嘻嘻', '，', '下午', 'mmp']",5.0,467,1
2022/6/20,251,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '很多', '人', '认为', '涨', '的', '时候', '，', '主力', '就', '会', '割']",8.0,536,1
2022/6/19,265,"['重庆', '啤酒', '董事长', 'Leo', ' ', 'Evers', '将', '离职', ' ', '上任', '不足', '四个', '月']",-5.0,1710,-1
2022/6/17,271,"['突破', '压力', '位后', '大家', '一起', '吃', '肉']",6.0,541,1
2022/6/17,274,"['光头', '光脚', '一根', '金箍棒', '！', '下周', '继续', '看好', '上闹', '天庭', '。']",8.0,213,1
2022/6/17,280,"['最近', '因为', '俄乌', '冲突', '关注', '基金', '的', '人', '变多', '了', '，', '市场', '必须', '实现', '高']",7.0,210,1
2022/6/17,289,"['九姐', '支持', '你', '看好', '重庆', '啤酒']",6.0,581,1
2022/6/16,314,"['现在', '已经', '习惯', '市场', '的', '过山车', '了', '，', '越是', '震荡', '越是', '要', '有', '耐心', '，']",5.0,186,1
2022/6/15,331,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '大', '乌苏', '原来', '是', '重庆', '啤酒', '下面', '的', '牌子']",5.0,467,1
2022/6/15,348,"['目前', '来看', '酒类', '行业', '正由', '局部', '景气', '向', '全面', '景气', '扩散', '，', '能', '在', '这']",11.0,190,1
2022/6/15,349,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '主力', '自己', '今天', '完', '一天']",7.0,190,1
2022/6/14,360,"['重庆', '啤酒', '什么', '时候', '才能', '涨停']",6.0,203,1
2022/6/14,363,"['跌', '的', '时候', '暴跌', '，', '涨', '的', '时候', '扶不起', '的', '阿斗']",-8.0,392,-1
2022/6/14,367,"['白酒', '的', '景气', '度', '是', '有保障', '的', '，', '底部', '机会', '多', '，', '目前', '酒', 'ET512690']",5.0,192,1
2022/6/14,385,"['啤酒', '可', '不行', '啊']",-14.0,175,-1
2022/6/14,386,"['主力', '借', '这次', '外围', '大跌', '，', '再', '加上', '这次', '利空', '，', '可以', '好好', '吸盘', '，']",5.0,184,1
2022/6/13,410,"['恭喜', '重庆', '啤酒', '连续', '两个', '交易日', '喜提', '板块', '第一名', '[', '捂脸', ']', '[', '捂']",5.0,217,1
2022/6/13,422,"['目前', '来看', '酒类', '行业', '正由', '局部', '景气', '向', '全面', '景气', '扩散', '，', '能', '在', '这']",11.0,206,1
2022/6/13,423,"['今天', '重庆', '啤酒', '没有', '主力']",-7.0,194,-1
