time,all_num_重庆啤酒,all_dic_score,重庆啤酒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,4,4.00,1.00,4,4.00,0,0.00
2021-01-02,2,0.00,0.01,1,1.00,1,-1.00
2021-01-03,4,2.00,0.61,3,3.00,1,-1.00
2021-01-04,7,3.00,0.53,5,5.00,2,-2.00
2021-01-05,16,10.00,0.69,13,13.00,3,-3.00
2021-01-06,13,11.00,0.91,12,12.00,1,-1.00
2021-01-07,9,7.00,0.74,8,8.00,1,-1.00
2021-01-08,9,5.00,0.80,7,7.00,2,-2.00
2021-01-09,3,3.00,1.00,3,3.00,0,0.00
2021-01-10,8,4.00,0.75,6,6.00,2,-2.00
2021-01-11,7,1.00,0.25,4,4.00,3,-3.00
2021-01-12,11,-1.00,0.15,5,5.00,6,-6.00
2021-01-13,11,7.00,0.73,9,9.00,2,-2.00
2021-01-14,18,10.00,0.05,14,14.00,4,-4.00
2021-01-15,10,8.00,0.87,9,9.00,1,-1.00
2021-01-16,8,0.00,0.24,4,4.00,4,-4.00
2021-01-17,7,3.00,-0.09,5,5.00,2,-2.00
2021-01-18,5,5.00,1.00,5,5.00,0,0.00
2021-01-19,9,5.00,0.50,7,7.00,2,-2.00
2021-01-20,17,11.00,0.63,14,14.00,3,-3.00
2021-01-21,7,5.00,-0.25,6,6.00,1,-1.00
2021-01-22,34,18.00,0.74,26,26.00,8,-8.00
2021-01-23,7,5.00,0.82,6,6.00,1,-1.00
2021-01-24,13,9.00,0.89,11,11.00,2,-2.00
2021-01-25,6,2.00,0.48,4,4.00,2,-2.00
2021-01-26,10,8.00,0.80,9,9.00,1,-1.00
2021-01-27,13,-1.00,0.15,6,6.00,7,-7.00
2021-01-28,14,2.00,0.21,8,8.00,6,-6.00
2021-01-29,13,3.00,0.33,8,8.00,5,-5.00
2021-01-30,4,2.00,0.76,3,3.00,1,-1.00
2021-01-31,6,6.00,1.00,6,6.00,0,0.00
2021-02-01,19,3.00,0.57,11,11.00,8,-8.00
2021-02-02,20,14.00,0.87,17,17.00,3,-3.00
2021-02-03,19,11.00,0.81,15,15.00,4,-4.00
2021-02-04,8,6.00,0.89,7,7.00,1,-1.00
2021-02-05,33,9.00,0.46,21,21.00,12,-12.00
2021-02-06,14,10.00,0.90,12,12.00,2,-2.00
2021-02-07,11,7.00,0.03,9,9.00,2,-2.00
2021-02-08,39,17.00,0.77,28,28.00,11,-11.00
2021-02-09,26,18.00,0.87,22,22.00,4,-4.00
2021-02-10,28,6.00,0.51,17,17.00,11,-11.00
2021-02-11,2,0.00,0.89,1,1.00,1,-1.00
2021-02-12,1,1.00,1.00,1,1.00,0,0.00
2021-02-13,7,-1.00,0.29,3,3.00,4,-4.00
2021-02-14,2,0.00,0.15,1,1.00,1,-1.00
2021-02-15,5,3.00,0.55,4,4.00,1,-1.00
2021-02-16,4,2.00,0.69,3,3.00,1,-1.00
2021-02-17,5,1.00,0.26,3,3.00,2,-2.00
2021-02-18,12,10.00,0.88,11,11.00,1,-1.00
2021-02-19,9,1.00,0.16,5,5.00,4,-4.00
2021-02-20,4,4.00,1.00,4,4.00,0,0.00
2021-02-21,2,0.00,-0.60,1,1.00,1,-1.00
2021-02-22,11,-1.00,-0.18,5,5.00,6,-6.00
2021-02-23,15,7.00,0.57,11,11.00,4,-4.00
2021-02-24,26,6.00,0.21,16,16.00,10,-10.00
2021-02-25,56,16.00,0.41,36,36.00,20,-20.00
2021-02-26,32,18.00,0.69,25,25.00,7,-7.00
2021-02-27,8,0.00,0.18,4,4.00,4,-4.00
2021-02-28,5,5.00,1.00,5,5.00,0,0.00
2021-03-01,29,7.00,0.34,18,18.00,11,-11.00
2021-03-02,20,6.00,0.36,13,13.00,7,-7.00
2021-03-03,21,9.00,0.58,15,15.00,6,-6.00
2021-03-04,38,20.00,0.91,29,29.00,9,-9.00
2021-03-05,15,5.00,0.51,10,10.00,5,-5.00
2021-03-06,2,2.00,1.00,2,2.00,0,0.00
2021-03-07,7,1.00,0.24,4,4.00,3,-3.00
2021-03-08,71,11.00,0.26,41,41.00,30,-30.00
2021-03-09,43,17.00,0.41,30,30.00,13,-13.00
2021-03-10,11,5.00,0.54,8,8.00,3,-3.00
2021-03-11,14,10.00,0.73,12,12.00,2,-2.00
2021-03-12,25,9.00,0.42,17,17.00,8,-8.00
2021-03-13,11,5.00,0.76,8,8.00,3,-3.00
2021-03-14,5,3.00,0.69,4,4.00,1,-1.00
2021-03-15,32,-4.00,0.27,14,14.00,18,-18.00
2021-03-16,12,2.00,0.10,7,7.00,5,-5.00
2021-03-17,25,5.00,0.17,15,15.00,10,-10.00
2021-03-18,22,0.00,-0.17,11,11.00,11,-11.00
2021-03-19,16,6.00,0.34,11,11.00,5,-5.00
2021-03-20,5,1.00,0.38,3,3.00,2,-2.00
2021-03-21,2,2.00,1.00,2,2.00,0,0.00
2021-03-22,14,4.00,0.41,9,9.00,5,-5.00
2021-03-23,9,3.00,0.63,6,6.00,3,-3.00
2021-03-24,11,5.00,0.45,8,8.00,3,-3.00
2021-03-25,9,3.00,0.30,6,6.00,3,-3.00
2021-03-26,11,5.00,0.44,8,8.00,3,-3.00
2021-03-27,5,-3.00,-0.35,1,1.00,4,-4.00
2021-03-28,6,4.00,0.76,5,5.00,1,-1.00
2021-03-29,10,4.00,0.52,7,7.00,3,-3.00
2021-03-30,21,3.00,0.58,12,12.00,9,-9.00
2021-03-31,25,7.00,0.39,16,16.00,9,-9.00
2021-04-01,24,14.00,0.72,19,19.00,5,-5.00
2021-04-02,23,-3.00,-0.21,10,10.00,13,-13.00
2021-04-03,3,3.00,1.00,3,3.00,0,0.00
2021-04-04,2,-2.00,-1.00,0,0.00,2,-2.00
2021-04-05,8,4.00,0.50,6,6.00,2,-2.00
2021-04-06,14,4.00,0.71,9,9.00,5,-5.00
2021-04-07,23,11.00,0.45,17,17.00,6,-6.00
2021-04-08,20,10.00,-0.21,15,15.00,5,-5.00
2021-04-09,6,4.00,0.70,5,5.00,1,-1.00
2021-04-10,4,2.00,0.52,3,3.00,1,-1.00
2021-04-11,2,0.00,0.30,1,1.00,1,-1.00
2021-04-12,15,5.00,0.52,10,10.00,5,-5.00
2021-04-13,19,5.00,0.44,12,12.00,7,-7.00
2021-04-14,23,3.00,0.19,13,13.00,10,-10.00
2021-04-15,18,4.00,0.50,11,11.00,7,-7.00
2021-04-16,19,3.00,-0.41,11,11.00,8,-8.00
2021-04-17,8,6.00,0.87,7,7.00,1,-1.00
2021-04-18,5,3.00,0.78,4,4.00,1,-1.00
2021-04-19,14,-4.00,-0.13,5,5.00,9,-9.00
