time,no,review,score,read_volume,label
2022/6/30,2,"['明天', '跌到', '11', '元多', '！']",0.0,217,1
2022/6/30,3,"['高德', '红外', '：', '公司', '与', '片仔癀', '无', '业务', '往来']",0.0,2514,1
2022/6/30,4,"['主力', '坏', '，', '给', '点小单', '让', '小散', '冲强', '压力', '区', '，', '希望', '小散别', '被骗', '，']",4.0,326,1
2022/6/30,5,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '明明', '记得', '三十一', '入手', '的', '，', '现在', '显示']",0.0,648,1
2022/6/30,6,"['僵尸', '股', '一只']",-1.0,154,1
2022/6/30,7,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '这', '股', '本次', '反弹', '涨幅', '较大', '，', '快', '40%', '了']",2.0,569,-1
2022/6/30,8,"['谁', '能', '告诉', '我', '今天', '是', '什么', '结局', '，', '只', '剩下', '半小时', '了', '，', '有点', '不忍']",-2.5,436,1
2022/6/30,9,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '高德', '上半年', '以绿', '收官', '，', '下跌', '24%', '。']",-1.0,209,-1
2022/6/30,10,"['此股', '看不懂', '，', '先', '撤', '了', '，', '祝', '留下', '的', '兄弟', '发财']",0.0,416,-1
2022/6/30,11,"['们', '，', '我', '又', '抄底', '了', '200', '万股', '了']",0.0,327,-1
2022/6/30,12,"['转股', '之后', '股价', '估计', '上不去', '了', '！']",0.0,476,1
2022/6/30,13,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '上半年', '跌', '了', '25', '个点', '，', '大盘', '快', '收复', '失']",0.0,194,-1
2022/6/30,14,"['死', '垃圾']",-3.0,154,-1
2022/6/30,16,"['上涨', '无力', '，', '下跌', '极速']",-1.0,175,1
2022/6/30,17,"['有雷', '吗', '？', '大盘', '都', '拉不动', '！']",0.0,216,1
2022/6/30,18,"['请问', '你', '到底', '跟', '什么', '板块', '？']",0.0,270,-1
2022/6/30,20,"['这', '股', '割肉', '的', '人', '很多', '的', '啊']",-1.0,263,-1
2022/6/30,21,"['一个', '字', '跌']",-1.0,224,1
2022/6/30,23,"['瘪', '犊子']",0.0,135,-1
2022/6/30,24,"['我', '今', '早', '给', '了', '建议', '，', '今天', '大盘', '不涨', '1.5', '个点', '以上', '，', '高德', '肯定']",1.0,281,1
2022/6/30,25,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '大盘', '涨', '了', '50', '多点', '，', '这货', '不涨', '还降', '了']",1.0,307,1
2022/6/30,26,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '挨打', '从不', '缺席', '，', '肉', '没', '吃', '上', '一口']",0.0,153,-1
2022/6/30,28,"['会', '一路', '下跌', '吗', '？']",-1.0,130,-1
2022/6/30,29,"['2.30', '分后', '大跌', '开始']",-1.0,144,-1
2022/6/30,30,"['换股', '了', '，', '纹丝不动', '没玩', '的']",0.0,141,-1
2022/6/30,31,"['还好', '前段时间', '撤', '了', '大部分']",0.0,143,-1
2022/6/30,32,"['洗盘', '，', '继续']",0.0,152,1
2022/6/30,34,['哎'],0.0,117,-1
2022/6/30,35,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '怎么', '感觉', '老是', '有人', '打压', '此股', '？']",-1.0,140,1
2022/6/30,36,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '了', '这股']",0.0,135,-1
2022/6/30,38,"['这种', '票', '明显', '机构', '逐步', '出货', '，', '大盘', '不强', '早', '已经', '10', '元', '以下', '了', '。']",0.0,330,1
2022/6/30,42,"['估计', '老黄', '正在', '生闷气', '呢']",0.0,143,-1
2022/6/30,44,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '这', '绝对', '是', '杀猪', '盘']",0.0,159,-1
2022/6/30,45,['服了'],0.0,135,-1
2022/6/30,47,"['高德', '地图', '真够', '垃圾', '的']",-1.0,435,-1
2022/6/30,48,"['这股', '要', '等到', '十二', '份', '才', '会', '有', '启动']",0.0,223,1
2022/6/30,50,"['今天', '大盘', '，', '不涨', '1.5', '个点', '以上', '，', '高德', '绝对', '绿']",0.0,141,1
2022/6/30,51,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '昨天', '被', '消息', '害死', '了', '，', '进来', '的', '资金', '今']",-1.0,342,1
2022/6/30,52,"['高德', '红外', '：', '已经', '表现', '为', '垃圾股', '中', '垃圾', '了']",-2.0,251,-1
2022/6/30,55,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '死', '了', '吗', '？', '天天', '动', '不了']",0.0,283,-1
2022/6/30,56,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '都', '在', '涨', '，', '就', '这个', '垃圾', '在', '这里', '磨', '磨蹭']",0.0,261,-1
2022/6/30,58,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '放着', '，', '慢慢', '熬', '呗', '！', '[', '滴汗', ']']",-1.0,152,-1
2022/6/30,59,"['感谢', '大盘', '吧', '，', '不然', '早就', '泄到', '不', '认识']",3.0,132,1
2022/6/30,60,"['大', '垃圾']",-1.0,131,-1
2022/6/30,61,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '我', '割肉', '了', '，', '兄弟', '们', '，', '留下', '的', '发财', '吧']",-1.0,293,-1
2022/6/30,62,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '高德头', '尖底', '的', '右肩', '已经', '构建', '完成', '，']",1.0,330,1
2022/6/30,63,"['垃圾', '高德', '，', '不', '给', '领导', '面积', '嘛']",-1.0,148,-1
2022/6/30,64,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '每天', '一毛钱', '玩', '的', '还', '贼', '嗨', '！']",0.0,127,-1
2022/6/30,65,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '真']",0.0,137,-1
2022/6/30,67,"['垃圾', '，', '全出', '了', '，', '留下', '的', '发财']",-1.0,137,-1
2022/6/30,68,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '高德头', '尖底', '的', '右肩', '已经', '构建', '完成', '，']",1.0,147,1
2022/6/30,69,"['本周', '高德', '红外', '根本', '不会', '有', '行情']",0.0,429,1
2022/6/30,70,"['今天', '又', '是', '关门', '放狗', '，', '吃', '大面', '的', '一天']",-1.0,303,1
2022/6/30,73,"['向下', '通道', '一年', '多', '了', '，', '地球', '都', '拿给', '你', '钻', '了', '一半', '了']",-1.0,153,-1
