time,no,review,score,read_volume,label
2022/6/30,1,"['性黄', '的', '不行', '！']",-7.0,246,-1
2022/6/30,15,"['主力', '控盘', '不给力', '，', '居然', '不', '跟', '上次', '一样', '是', '纺织', '线', '。', '[', '旺柴', ']']",5.0,352,1
2022/6/30,19,"['股东', '太', '多', '，', '涨', '不了']",6.0,303,1
2022/6/30,22,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '浪费', '行情']",-7.0,158,-1
2022/6/30,27,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '真', '不行']",-7.0,136,-1
2022/6/30,33,"['完美', '错过', '这轮']",8.0,142,1
2022/6/30,37,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '高', '恶心', '。', '。', '。']",-5.0,132,-1
2022/6/30,39,"['大盘', '都', '跑', '不', '赢', '，', '不', '值得', '拥有']",5.0,139,1
2022/6/30,40,"['大盘', '都', '跑', '不', '赢', '的', '股票', '真的', '不', '值得', '拥有']",5.0,138,1
2022/6/30,41,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '开', '砸', '泄洪', '[', '得意', ']', '[', '得意', ']']",10.0,150,1
2022/6/30,43,"['什么', '股', '？', '无语']",-5.0,122,-1
2022/6/30,46,"['韭菜', '我来', '了', '，', '主力', '开始', '干活', '吧', '。']",7.0,302,1
2022/6/30,49,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '注意', '，', '主力', '在', '13', '元', '附近', '吸筹', '，', '下周']",7.0,342,1
2022/6/30,53,"['你们', '这帮', '，', '主力', '在', '洗盘', '呀']",7.0,218,1
2022/6/30,54,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '浪费', '行情', '，', '大盘', '涨', '了', '这么', '多', '，', '你', '不']",-6.0,369,-1
2022/6/30,57,"['被', '主力', '抛弃', '的', '票', '，', '真的', '一钱不值', '。']",-7.0,143,-1
2022/6/30,66,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '管理层', '这帮', '罪人', '！', '垃圾', '团队', '！']",-8.0,133,-1
2022/6/30,71,"['被', '大家', '抛弃', '了', '！']",-7.0,128,-1
2022/6/30,72,"['还有', '太多', '的', '死', '多', '的', '散户', '洗不出', '，', '主力', '就', '不', '拉']",63.0,142,1
2022/6/29,95,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '今买', '的当', '储蓄', '了', '。', '军工', '没有', '淡旺季']",5.0,447,1
2022/6/29,98,"['可能', '下', '一个', '大方向', '：', '高端', '制造', '（', '附股', '）', '之前', '从', '新能源', '、', '以']",5.0,1021,1
2022/6/29,104,"['$', '高德', '红外', '(', 'SZ002414', ')', '$', '高德', '不仅仅', '在', '军工', '，', '主要', '业绩', '爆发']",-7.0,919,-1
2022/6/29,117,"['绝了', '，', '又', '套', '一批']",5.0,133,1
2022/6/29,127,"['哈哈', '有点', '意思']",7.0,126,1
2022/6/29,132,"['高德', '红外', '你', '还要', '脸', '不', '，', '我', '在', '最低', '位', '割肉', '，', '你', '又', '拉', '起来', '，', '被']",8.0,132,1
