time,all_num_高德红外,all_dic_score,高德红外舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-01-01,8,4.00,0.48,6,6.00,2,-2.00
2021-01-02,9,3.00,0.36,6,6.00,3,-3.00
2021-01-03,9,5.00,0.62,7,7.00,2,-2.00
2021-01-04,55,23.00,0.38,39,39.00,16,-16.00
2021-01-05,54,28.00,0.51,41,41.00,13,-13.00
2021-01-06,37,13.00,-0.63,25,25.00,12,-12.00
2021-01-07,73,29.00,0.41,51,51.00,22,-22.00
2021-01-08,64,30.00,0.40,47,47.00,17,-17.00
2021-01-09,9,7.00,0.69,8,8.00,1,-1.00
2021-01-10,7,7.00,1.00,7,7.00,0,0.00
2021-01-11,94,24.00,0.38,59,59.00,35,-35.00
2021-01-12,50,22.00,0.53,36,36.00,14,-14.00
2021-01-13,58,26.00,0.65,42,42.00,16,-16.00
2021-01-14,52,16.00,0.40,34,34.00,18,-18.00
2021-01-15,68,30.00,0.48,49,49.00,19,-19.00
2021-01-16,7,3.00,0.45,5,5.00,2,-2.00
2021-01-17,9,5.00,0.10,7,7.00,2,-2.00
2021-01-18,36,12.00,0.11,24,24.00,12,-12.00
2021-01-19,41,17.00,0.33,29,29.00,12,-12.00
2021-01-20,57,33.00,0.83,45,45.00,12,-12.00
2021-01-21,59,25.00,-0.07,42,42.00,17,-17.00
2021-01-22,50,22.00,0.77,36,36.00,14,-14.00
2021-01-23,11,7.00,0.57,9,9.00,2,-2.00
2021-01-24,8,4.00,0.22,6,6.00,2,-2.00
2021-01-25,50,8.00,0.16,29,29.00,21,-21.00
2021-01-26,58,14.00,0.52,36,36.00,22,-22.00
2021-01-27,43,11.00,0.33,27,27.00,16,-16.00
2021-01-28,62,24.00,0.72,43,43.00,19,-19.00
2021-01-29,54,14.00,0.27,34,34.00,20,-20.00
2021-01-30,4,-2.00,-0.38,1,1.00,3,-3.00
2021-01-31,11,5.00,0.53,8,8.00,3,-3.00
2021-02-01,37,1.00,-0.48,19,19.00,18,-18.00
2021-02-02,62,16.00,0.34,39,39.00,23,-23.00
2021-02-03,81,-3.00,0.74,39,39.00,42,-42.00
2021-02-04,56,0.00,-0.06,28,28.00,28,-28.00
2021-02-05,59,13.00,-0.57,36,36.00,23,-23.00
2021-02-06,18,4.00,0.05,11,11.00,7,-7.00
2021-02-07,15,9.00,0.56,12,12.00,3,-3.00
2021-02-08,32,14.00,0.17,23,23.00,9,-9.00
2021-02-09,37,3.00,-0.01,20,20.00,17,-17.00
2021-02-10,35,11.00,0.23,23,23.00,12,-12.00
2021-02-11,6,6.00,1.00,6,6.00,0,0.00
2021-02-12,4,2.00,0.42,3,3.00,1,-1.00
2021-02-13,2,0.00,0.11,1,1.00,1,-1.00
2021-02-15,1,1.00,1.00,1,1.00,0,0.00
2021-02-16,4,0.00,0.32,2,2.00,2,-2.00
2021-02-17,1,1.00,1.00,1,1.00,0,0.00
2021-02-18,54,2.00,-0.13,28,28.00,26,-26.00
2021-02-19,48,4.00,0.77,26,26.00,22,-22.00
2021-02-20,6,0.00,0.01,3,3.00,3,-3.00
2021-02-21,12,6.00,0.62,9,9.00,3,-3.00
2021-02-22,59,21.00,-0.20,40,40.00,19,-19.00
2021-02-23,64,12.00,0.49,38,38.00,26,-26.00
2021-02-24,87,1.00,0.50,44,44.00,43,-43.00
2021-02-25,55,5.00,-0.07,30,30.00,25,-25.00
2021-02-26,49,15.00,0.37,32,32.00,17,-17.00
2021-02-27,13,7.00,0.41,10,10.00,3,-3.00
2021-02-28,11,7.00,0.67,9,9.00,2,-2.00
2021-03-01,103,-3.00,-0.02,50,50.00,53,-53.00
2021-03-02,66,8.00,0.68,37,37.00,29,-29.00
2021-03-03,106,18.00,-0.69,62,62.00,44,-44.00
2021-03-04,72,-8.00,0.56,32,32.00,40,-40.00
2021-03-05,69,31.00,0.59,50,50.00,19,-19.00
2021-03-06,11,1.00,0.30,6,6.00,5,-5.00
2021-03-07,6,6.00,1.00,6,6.00,0,0.00
2021-03-08,125,5.00,-0.25,65,65.00,60,-60.00
2021-03-09,122,12.00,0.25,67,67.00,55,-55.00
2021-03-10,89,19.00,0.25,54,54.00,35,-35.00
2021-03-11,61,7.00,0.20,34,34.00,27,-27.00
2021-03-12,66,0.00,-0.37,33,33.00,33,-33.00
2021-03-13,7,-1.00,-0.49,3,3.00,4,-4.00
2021-03-14,13,7.00,0.37,10,10.00,3,-3.00
2021-03-15,62,12.00,0.55,37,37.00,25,-25.00
2021-03-16,78,-14.00,0.51,32,32.00,46,-46.00
2021-03-17,47,9.00,0.33,28,28.00,19,-19.00
2021-03-18,50,30.00,0.76,40,40.00,10,-10.00
2021-03-19,52,8.00,-0.09,30,30.00,22,-22.00
2021-03-20,4,-2.00,-0.80,1,1.00,3,-3.00
2021-03-21,4,2.00,0.92,3,3.00,1,-1.00
2021-03-22,49,-3.00,0.01,23,23.00,26,-26.00
2021-03-23,33,1.00,0.29,17,17.00,16,-16.00
